"","Tm","R/G","Outs","RC","RC/G","AIR","BAbip","BA","lgBA","OBP","lgOBP","SLG","lgSLG","OPS","lgOPS","OPS+","OWn%","BtRuns","BtWins","TotA","SecA","ISO","PwrSpd","Year"
"129","Cleveland Indians","5.30","4398","895","5.5","104",".305",".276",".263",".351",".330",".444",".423",".795",".753","111",".523","113.6","10.4",".765",".282",".168","124.4",2004
"130","Colorado Rockies","5.14","4345","903","5.6","122",".314",".275",".284",".345",".358",".455",".461",".800",".819","95",".547","-54.6","-5.5",".760",".284",".180","72.3",2004
"131","Detroit Tigers","5.10","4345","861","5.3","104",".308",".272",".263",".337",".330",".449",".423",".786",".753","108",".511","69.9","6.4",".748",".275",".177","120.5",2004
"132","Florida Marlins","4.43","4341","752","4.6","107",".295",".264",".264",".329",".334",".406",".427",".736",".762","94",".464","-46.2","-4.5",".683",".243",".143","116.5",2004
"133","Houston Astros","4.96","4318","859","5.3","112",".293",".267",".271",".342",".343",".436",".439",".778",".781","99",".527","-6.9","-0.9",".750",".288",".170","120.6",2004
"134","Kansas City Royals","4.44","4362","711","4.4","110",".293",".259",".272",".322",".340",".397",".436",".720",".776","86",".422","-122.3","-11.5",".655",".226",".139","92.6",2004
"135","Los Angeles Dodgers","4.70","4358","812","5.0","107",".291",".262",".264",".332",".334",".423",".427",".755",".762","98",".497","-15.1","-1.6",".716",".269",".161","135.8",2004
"136","Milwaukee Brewers","3.94","4381","722","4.4","111",".300",".248",".270",".321",".341",".387",".437",".708",".778","83",".441","-144.6","-13.9",".669",".256",".139","136.5",2004
"137","Minnesota Twins","4.81","4391","811","5.0","111",".290",".266",".273",".332",".341",".431",".438",".763",".779","96",".479","-41.0","-3.9",".724",".269",".166","144.3",2004
"138","Montreal Expos","3.92","4399","705","4.3","115",".273",".249",".274",".313",".347",".392",".445",".705",".791","79",".428","-191.4","-18.3",".653",".247",".143","126.6",2004
"139","New York Mets","4.22","4411","736","4.5","109",".282",".249",".267",".317",".339",".409",".433",".726",".772","88",".447","-102.5","-9.9",".682",".268",".160","135.6",2004
"140","New York Yankees","5.54","4321","914","5.7","108",".285",".268",".268",".353",".336",".458",".430",".811",".766","111",".54","103.9","9.5",".795",".320",".189","124.7",2004
"141","Oakland Athletics","4.90","4415","866","5.3","109",".300",".270",".269",".343",".337",".433",".432",".776",".770","102",".506","23.4","2.0",".733",".273",".163","75.3",2004
"142","Philadelphia Phillies","5.19","4398","912","5.6","115",".297",".267",".275",".345",".348",".443",".446",".788",".794","98",".546","-16.4","-1.8",".770",".303",".176","136.5",2004
"143","Pittsburgh Pirates","4.22","4333","726","4.5","110",".298",".260",".268",".321",".340",".401",".435",".722",".775","87",".448","-115.1","-11.1",".658",".220",".141","87.3",2004
"144","San Diego Padres","4.74","4323","825","5.1","102",".301",".273",".257",".342",".327",".414",".417",".756",".744","104",".508","58.8","5.3",".709",".247",".141","75.7",2004
"145","Seattle Mariners","4.31","4445","769","4.6","107",".308",".270",".267",".331",".334",".396",".428",".727",".763","91",".449","-66.1","-6.3",".672",".224",".127","121.6",2004
"146","San Francisco Giants","5.25","4354","924","5.7","112",".290",".270",".271",".357",".343",".438",".439",".795",".781","104",".556","45.6","3.6",".772",".298",".168","69.6",2004
"147","St. Louis Cardinals","5.28","4322","930","5.8","110",".307",".278",".268",".344",".340",".460",".435",".804",".775","107",".562","60.7","5.3",".781",".292",".182","146.2",2004
"148","Tampa Bay Devil Rays","4.43","4297","740","4.6","106",".286",".258",".266",".320",".333",".405",".427",".725",".760","91",".447","-69.5","-6.6",".684",".249",".147","138.2",2004
"149","Texas Rangers","5.31","4330","870","5.4","116",".291",".266",".280",".329",".349",".457",".449",".786",".798","96",".517","-46.7","-4.5",".752",".286",".191","105.8",2004
"150","Toronto Blue Jays","4.47","4325","742","4.6","113",".298",".260",".275",".328",".344",".403",".442",".732",".786","87",".445","-114.4","-10.8",".674",".241",".143","82.9",2004
"151","Arizona Diamondbacks","4.30","4405","811","4.9","111",".285",".256",".272",".332",".343",".421",".433",".754",".776","94",".507","-52.4","-5.3",".715",".282",".165","99.2",2005
"152","Atlanta Braves","4.75","4332","811","5.0","109",".298",".265",".270",".333",".340",".435",".430",".768",".770","99",".515","-13.5","-1.5",".726",".279",".170","122.7",2005
"153","Baltimore Orioles","4.50","4323","779","4.8","104",".289",".269",".267",".327",".330",".434",".423",".761",".753","102",".491","11.0","0.9",".706",".254",".165","115.3",2005
"154","Boston Red Sox","5.62","4271","943","5.9","108",".310",".281",".273",".357",".336",".454",".433",".811",".769","111",".584","104.0","9.7",".787",".296",".174","73.4",2005
"155","Chicago Cubs","4.34","4354","808","4.9","111",".291",".270",".273",".324",".344",".440",".435",".764",".779","95",".511","-53.3","-5.5",".704",".250",".170","97.4",2005
"156","Chicago White Sox","4.57","4370","762","4.7","108",".286",".262",".272",".322",".335",".425",".431",".747",".766","95",".476","-49.3","-4.8",".703",".254",".163","162.6",2005
"157","Cincinnati Reds","5.03","4333","886","5.5","108",".302",".261",".269",".339",".339",".446",".428",".785",".767","104",".555","35.6","3.2",".760",".304",".185","108.7",2005
"158","Cleveland Indians","4.88","4340","862","5.3","102",".302",".271",".263",".334",".326",".453",".418",".787",".743","111",".536","95.0","8.8",".743",".276",".181","95.4",2005
