"","Tm","R/G","Outs","RC","RC/G","AIR","BAbip","BA","lgBA","OBP","lgOBP","SLG","lgSLG","OPS","lgOPS","OPS+","OWn%","BtRuns","BtWins","TotA","SecA","ISO","PwrSpd","Year"
"485","Chicago Cubs","4.99","4314","857","5.3","106",".302",".256",".262",".343",".332",".429",".427",".772",".759","104",".558","40.5","3.7",".750",".298",".173","99.1",2016
"486","Chicago White Sox","4.23","4353","726","4.5","99",".304",".257",".253",".317",".316",".410",".416",".727",".733","99",".474","-5.6","-0.7",".668",".242",".153","105.6",2016
"487","Cincinnati Reds","4.42","4366","733","4.5","106",".303",".256",".262",".316",".332",".408",".427",".724",".759","91",".481","-77.9","-7.9",".676",".251",".152","150.5",2016
"488","Cleveland Indians","4.83","4308","801","5.0","110",".304",".262",".267",".329",".333",".430",".440",".759",".773","96",".524","-27.6","-2.8",".728",".284",".168","155.4",2016
"489","Colorado Rockies","5.22","4310","886","5.5","118",".326",".275",".278",".336",".350",".457",".454",".794",".804","97",".573","-36.6","-3.8",".750",".275",".182","99.7",2016
"490","Detroit Tigers","4.66","4269","810","5.1","102",".312",".267",".258",".331",".322",".438",".424",".769",".746","106",".533","46.8","4.3",".718",".265",".171","91.0",2016
"491","Houston Astros","4.47","4414","753","4.6","97",".298",".247",".250",".319",".314",".417",".412",".735",".726","103",".485","29.2","2.6",".692",".280",".170","134.6",2016
"492","Kansas City Royals","4.17","4343","683","4.2","104",".309",".261",".260",".312",".324",".400",".428",".712",".752","90",".448","-87.4","-8.6",".648",".223",".139","132.7",2016
"493","Los Angeles Angels","4.43","4287","720","4.5","98",".289",".260",".252",".322",".315",".405",".414",".726",".730","100",".478","9.1","0.7",".664",".239",".145","99.5",2016
"494","Los Angeles Dodgers","4.48","4350","747","4.6","102",".294",".249",".257",".319",".326",".409",".420",".728",".746","95",".492","-35.3","-3.6",".673",".258",".160","72.7",2016
"495","Miami Marlins","4.07","4339","720","4.4","99",".314",".263",".252",".322",".321",".394",".412",".716",".733","96",".476","-23.5","-2.5",".648",".219",".131","91.3",2016
"496","Milwaukee Brewers","4.14","4310","736","4.6","107",".304",".244",".263",".322",".333",".407",".429",".729",".762","92",".489","-65.7","-6.6",".708",".299",".163","187.3",2016
"497","Minnesota Twins","4.46","4407","771","4.7","102",".300",".251",".258",".316",".322",".421",".424",".738",".746","98",".496","-19.5","-2.0",".695",".272",".171","125.1",2016
"498","New York Mets","4.14","4334","738","4.6","101",".282",".246",".256",".316",".325",".417",".418",".733",".742","97",".488","-23.7","-2.4",".680",".270",".171","70.4",2016
"499","New York Yankees","4.20","4293","710","4.4","105",".289",".252",".261",".315",".326",".405",".429",".720",".755","91",".471","-73.4","-7.3",".663",".249",".153","103.3",2016
"500","Oakland Athletics","4.03","4360","658","4.0","99",".280",".246",".253",".304",".316",".395",".416",".699",".733","91",".429","-68.3","-6.8",".625",".234",".149","77.2",2016
"501","Philadelphia Phillies","3.77","4362","636","3.9","104",".291",".240",".259",".301",".329",".384",".424",".685",".752","82",".417","-148.3","-14.7",".622",".232",".144","120.3",2016
"502","Pittsburgh Pirates","4.50","4371","768","4.7","104",".311",".257",".259",".332",".329",".402",".423",".734",".752","96",".502","-26.2","-2.8",".694",".257",".144","128.0",2016
"503","San Diego Padres","4.23","4354","666","4.1","100",".291",".235",".255",".299",".323",".390",".416",".689",".739","86",".439","-107.0","-10.7",".642",".253",".155","146.5",2016
"504","Seattle Mariners","4.74","4368","793","4.8","99",".297",".259",".253",".326",".316",".430",".416",".756",".733","106",".513","54.7","5.1",".705",".267",".171","89.5",2016
"505","San Francisco Giants","4.41","4372","756","4.6","101",".299",".258",".256",".329",".325",".398",".418",".728",".743","97",".495","-17.3","-1.8",".679",".250",".140","98.3",2016
"506","St. Louis Cardinals","4.81","4354","810","5.0","103",".294",".255",".258",".325",".328",".442",".422",".767",".749","104",".528","31.8","3.0",".721",".284",".187","60.6",2016
"507","Tampa Bay Rays","4.15","4319","726","4.5","98",".293",".243",".252",".307",".315",".426",".414",".733",".730","100",".478","1.8","0.1",".681",".269",".182","93.9",2016
"508","Texas Rangers","4.72","4287","780","4.9","108",".298",".262",".265",".322",".331",".433",".437",".755",".767","96",".514","-36.4","-3.6",".709",".262",".172","135.6",2016
"509","Toronto Blue Jays","4.69","4364","789","4.8","104",".289",".248",".260",".330",".324",".426",".428",".755",".752","101",".511","14.6","1.2",".715",".299",".178","86.8",2016
"510","Washington Nationals","4.71","4339","808","5.0","107",".293",".256",".264",".326",".334",".426",".431",".751",".765","96",".529","-31.4","-3.3",".724",".283",".170","151.6",2016
"511","Arizona Diamondbacks","5.01","4322","845","5.2","116",".306",".254",".270",".329",".344",".445",".452",".774",".796","94",".533","-57.9","-5.8",".750",".308",".190","140.3",2017
"512","Atlanta Braves","4.52","4376","772","4.7","109",".305",".263",".261",".326",".334",".412",".437",".738",".771","92",".486","-67.2","-6.7",".681",".243",".150","105.0",2017
"513","Baltimore Orioles","4.59","4379","760","4.6","102",".306",".260",".253",".312",".321",".435",".424",".747",".745","100",".481","-6.9","-0.8",".677",".248",".175","56.2",2017
"514","Boston Red Sox","4.85","4425","772","4.7","109",".300",".258",".262",".329",".331",".407",".439",".736",".770","92",".483","-64.2","-6.2",".693",".263",".149","130.0",2017
"515","Chicago Cubs","5.07","4339","840","5.2","111",".302",".255",".265",".338",".338",".437",".443",".775",".781","99",".528","-10.3","-1.2",".744",".301",".182","97.0",2017
"516","Chicago White Sox","4.36","4324","727","4.5","102",".309",".256",".253",".314",".321",".417",".424",".731",".745","96",".467","-33.6","-3.4",".669",".241",".161","102.8",2017
"517","Cincinnati Reds","4.65","4341","838","5.2","110",".294",".253",".263",".329",".335",".433",".439",".761",".774","97",".527","-30.8","-3.3",".736",".297",".179","155.0",2017
"518","Cleveland Indians","5.05","4278","866","5.4","109",".295",".263",".263",".339",".332",".449",".441",".788",".773","104",".551","33.3","3.1",".764",".308",".186","124.4",2017
"519","Colorado Rockies","5.09","4304","844","5.2","123",".332",".273",".280",".338",".355",".444",".468",".781",".823","90",".534","-93.8","-9.2",".732",".269",".171","90.3",2017
"520","Detroit Tigers","4.54","4321","768","4.7","105",".306",".258",".257",".324",".326",".424",".432",".748",".758","98",".492","-22.1","-2.3",".695",".262",".166","96.5",2017
"521","Houston Astros","5.53","4283","937","5.8","99",".309",".282",".249",".346",".316",".478",".418",".823",".735","123",".586","200.0","18.9",".797",".297",".196","138.8",2017
"522","Kansas City Royals","4.33","4345","713","4.4","105",".295",".259",".257",".311",".326",".420",".432",".731",".758","93",".456","-66.6","-6.6",".664",".242",".160","123.7",2017
"523","Los Angeles Angels","4.38","4349","702","4.3","102",".277",".243",".253",".315",".321",".397",".424",".712",".745","92",".448","-56.0","-5.6",".672",".268",".155","157.1",2017
"524","Los Angeles Dodgers","4.75","4277","833","5.2","105",".293",".249",".257",".334",".328",".437",".429",".771",".758","104",".531","40.5","3.7",".749",".317",".188","114.2",2017
"525","Miami Marlins","4.80","4345","836","5.1","100",".313",".267",".249",".331",".320",".431",".417",".761",".737","107",".525","66.2","6.0",".718",".261",".163","123.9",2017
"526","Milwaukee Brewers","4.52","4329","783","4.8","110",".308",".249",".263",".322",".335",".429",".439",".751",".774","94",".497","-55.9","-5.5",".721",".296",".180","162.9",2017
"527","Minnesota Twins","5.03","4311","828","5.1","104",".306",".260",".256",".334",".325",".434",".430",".768",".754","104",".527","34.2","3.2",".740",".293",".174","130.0",2017
"528","New York Mets","4.54","4345","793","4.9","103",".286",".250",".254",".320",".325",".434",".425",".755",".751","101",".501","7.7","0.6",".711",".286",".184","92.1",2017
"529","New York Yankees","5.30","4346","886","5.4","108",".304",".262",".261",".339",".330",".447",".437",".785",".767","105",".554","40.9","3.7",".765",".307",".185","131.1",2017
"530","Oakland Athletics","4.56","4324","774","4.8","100",".294",".246",".251",".319",".318",".436",".420",".755",".738","104",".495","40.6","3.8",".713",".300",".190","91.7",2017
"531","Philadelphia Phillies","4.26","4363","728","4.5","107",".304",".250",".259",".315",".331",".409",".433",".723",".764","89",".46","-88.3","-8.6",".665",".255",".159","88.1",2017
"532","Pittsburgh Pirates","4.12","4353","694","4.3","106",".286",".244",".258",".318",".330",".386",".431",".704",".761","86",".44","-110.4","-10.8",".649",".243",".142","92.8",2017
"533","San Diego Padres","3.73","4322","649","4.0","104",".287",".234",".255",".299",".327",".393",".427",".692",".754","83",".413","-132.5","-12.9",".639",".256",".160","121.0",2017
"534","Seattle Mariners","4.63","4330","777","4.8","100",".300",".259",".250",".325",".318",".424",".420",".749",".738","103",".496","31.7","2.9",".702",".262",".165","123.2",2017
"535","San Francisco Giants","3.94","4422","669","4.0","107",".294",".249",".259",".309",".331",".380",".433",".689",".764","81",".416","-151.6","-14.7",".620",".223",".132","95.4",2017
"536","St. Louis Cardinals","4.70","4329","808","5.0","107",".304",".256",".259",".334",".331",".426",".433",".760",".764","99",".511","-0.1","-0.2",".724",".287",".170","114.6",2017
"537","Tampa Bay Rays","4.28","4351","744","4.6","101",".296",".245",".252",".317",".319",".422",".422",".739",".741","99",".474","-3.7","-0.5",".700",".287",".178","127.0",2017
"538","Texas Rangers","4.93","4324","767","4.7","113",".291",".244",".267",".320",".337",".430",".448",".750",".785","91",".491","-82.8","-8.1",".721",".299",".186","153.0",2017
"539","Toronto Blue Jays","4.28","4416","717","4.3","105",".276",".240",".257",".312",".326",".412",".432",".724",".758","91",".451","-71.8","-7.1",".668",".276",".172","85.6",2017
"540","Washington Nationals","5.06","4310","872","5.4","112",".311",".266",".266",".332",".339",".449",".445",".782",".784","99",".548","-12.4","-1.5",".752",".295",".183","143.8",2017
"541","Arizona Diamondbacks","4.28","4395","716","4.4","106",".286",".235",".259",".310",".333",".397",".426",".707",".760","86",".48","-116.8","-11.8",".663",".275",".162","109.1",2018
"542","Atlanta Braves","4.69","4376","800","4.9","103",".302",".257",".255",".324",".328",".417",".419",".742",".747","98",".533","-13.5","-1.6",".700",".262",".161","118.9",2018
"543","Baltimore Orioles","3.84","4392","650","4.0","98",".286",".239",".248",".298",".316",".391",".413",".689",".729","89",".429","-89.0","-8.9",".625",".239",".152","113.2",2018
"544","Boston Red Sox","5.41","4330","905","5.6","103",".309",".268",".254",".339",".324",".453",".424",".792",".748","112",".585","96.0","9.0",".772",".303",".185","156.2",2018
"545","Chicago Cubs","4.67","4402","806","4.9","105",".313",".258",".258",".333",".332",".410",".424",".744",".756","97",".534","-22.4","-2.4",".702",".259",".152","94.6",2018
"546","Chicago White Sox","4.05","4387","678","4.1","98",".304",".241",".248",".302",".316",".401",".413",".703",".729","93",".448","-63.5","-6.3",".648",".248",".160","127.4",2018
"547","Cincinnati Reds","4.30","4373","758","4.7","104",".307",".254",".256",".328",".330",".401",".421",".729",".750","95",".509","-42.0","-4.4",".681",".257",".148","106.4",2018
"548","Cleveland Indians","5.05","4351","847","5.2","102",".291",".259",".253",".332",".323",".434",".422",".766",".745","106",".553","46.8","4.4",".747",".292",".176","166.2",2018
"549","Colorado Rockies","4.79","4349","807","5.0","116",".304",".256",".272",".322",".348",".435",".447",".757",".795","90",".54","-94.3","-9.6",".718",".282",".179","130.8",2018
"550","Detroit Tigers","3.89","4363","640","3.9","102",".293",".241",".253",".300",".323",".380",".422",".680",".745","83",".425","-137.0","-13.7",".612",".223",".138","92.2",2018
"551","Houston Astros","4.92","4304","772","4.8","98",".289",".255",".249",".329",".318",".425",".415",".754",".732","106",".516","52.6","5.0",".710",".282",".170","105.5",2018
"552","Kansas City Royals","3.94","4380","672","4.1","99",".293",".245",".250",".305",".319",".392",".417",".697",".735","90",".445","-81.2","-8.2",".641",".238",".146","133.3",2018
"553","Los Angeles Angels","4.45","4328","751","4.6","98",".277",".242",".248",".313",".316",".413",".413",".726",".729","99",".501","-7.8","-1.1",".686",".277",".171","125.7",2018
"554","Los Angeles Dodgers","4.93","4399","861","5.3","100",".294",".250",".252",".333",".324",".442",".413",".774",".737","109",".564","77.6","7.4",".751",".317",".191","113.7",2018
"555","Miami Marlins","3.66","4398","612","3.7","97",".293",".237",".247",".303",".319",".357",".406",".659",".724","83",".409","-127.7","-12.9",".584",".205",".119","66.6",2018
"556","Milwaukee Brewers","4.63","4374","795","4.9","104",".302",".252",".256",".323",".330",".424",".421",".747",".750","99",".53","-16.2","-1.9",".714",".286",".172","158.1",2018
"557","Minnesota Twins","4.56","4320","733","4.5","100",".298",".250",".251",".318",".320",".405",".418",".723",".738","96",".491","-28.1","-2.9",".670",".256",".155","73.3",2018
"558","New York Mets","4.17","4411","695","4.2","95",".283",".234",".244",".312",".316",".389",".402",".701",".718","96",".465","-22.2","-2.4",".653",".264",".154","100.2",2018
"559","New York Yankees","5.25","4338","855","5.3","99",".285",".249",".250",".329",".319",".451",".417",".781",".735","112",".559","93.2","8.9",".759",".323",".202","101.9",2018
"560","Oakland Athletics","5.02","4379","806","4.9","97",".294",".252",".246",".325",".315",".439",".411",".764",".726","110",".528","84.8","8.2",".719",".288",".187","60.6",2018
"561","Philadelphia Phillies","4.18","4346","709","4.4","104",".289",".234",".256",".314",".330",".393",".421",".707",".750","89",".481","-92.8","-9.3",".664",".274",".158","100.7",2018
"562","Pittsburgh Pirates","4.30","4308","729","4.6","98",".298",".254",".249",".317",".322",".407",".409",".725",".731","98",".498","-11.8","-1.4",".668",".247",".154","96.8",2018
"563","San Diego Padres","3.81","4426","637","3.9","96",".294",".235",".246",".297",".317",".380",".404",".677",".721","88",".424","-92.4","-9.3",".616",".242",".145","119.8",2018
"564","Seattle Mariners","4.18","4346","712","4.4","94",".295",".254",".243",".314",".311",".408",".405",".722",".716","102",".475","15.4","1.4",".662",".239",".154","109.1",2018
"565","San Francisco Giants","3.72","4439","629","3.8","96",".299",".239",".246",".300",".317",".368",".404",".667",".721","85",".417","-107.8","-10.8",".599",".217",".129","97.5",2018
"566","St. Louis Cardinals","4.69","4347","759","4.7","99",".294",".249",".250",".321",".323",".409",".411",".730",".734","99",".512","-6.1","-0.7",".686",".261",".160","96.4",2018
"567","Tampa Bay Rays","4.42","4311","766","4.8","97",".317",".258",".246",".333",".315",".406",".411",".740",".726","105",".512","46.9","4.4",".707",".261",".148","138.1",2018
"568","Texas Rangers","4.55","4351","727","4.5","108",".292",".240",".261",".318",".331",".404",".435",".722",".766","89",".484","-90.0","-9.0",".682",".273",".164","107.1",2018
"569","Toronto Blue Jays","4.38","4331","728","4.5","98",".286",".244",".248",".312",".316",".427",".413",".739",".729","102",".486","16.5","1.5",".686",".277",".183","77.3",2018
"570","Washington Nationals","4.76","4333","829","5.2","107",".297",".254",".260",".335",".335",".419",".428",".753",".763","98",".554","-15.7","-1.9",".733",".294",".164","146.6",2018
"571","Arizona Diamondbacks","5.02","4419","831","5.0","111",".293",".252",".259",".323",".332",".434",".447",".757",".779","94",".507","-51.3","-5.1",".723",".291",".182","125.7",2019
"572","Atlanta Braves","5.28","4320","898","5.6","115",".305",".258",".265",".336",".339",".452",".457",".789",".795","98",".553","-18.7","-2.0",".770",".317",".195","131.1",2019
"573","Baltimore Orioles","4.50","4417","737","4.5","107",".293",".246",".254",".310",".323",".415",".440",".725",".763","90",".447","-85.5","-8.2",".674",".260",".168","120.5",2019
"574","Boston Red Sox","5.56","4437","941","5.7","112",".313",".269",".260",".340",".331",".466",".452",".806",".783","106",".557","50.4","4.5",".776",".305",".197","106.5",2019
"575","Chicago Cubs","5.02","4303","848","5.3","110",".297",".252",".258",".331",".331",".452",".445",".783",".776","102",".528","13.2","1.0",".750",".310",".200","76.5",2019
"576","Chicago White Sox","4.40","4296","730","4.6","105",".329",".261",".252",".314",".321",".414",".436",".728",".757","93",".456","-59.3","-5.8",".661",".228",".153","93.6",2019
"577","Cincinnati Reds","4.33","4334","747","4.6","115",".288",".244",".265",".315",".339",".422",".457",".736",".795","85",".467","-134.0","-12.9",".693",".276",".178","118.3",2019
"578","Cleveland Indians","4.75","4302","787","4.9","110",".289",".250",".258",".323",".328",".432",".448",".756",".776","95",".489","-41.1","-4.1",".726",".299",".183","140.9",2019
"579","Colorado Rockies","5.15","4394","872","5.3","124",".321",".265",".275",".326",".351",".456",".475",".782",".826","89",".531","-109.0","-10.6",".740",".284",".190","107.8",2019
"580","Detroit Tigers","3.61","4395","644","3.9","107",".308",".240",".255",".294",".325",".388",".442",".682",".767","78",".39","-181.1","-17.3",".610",".225",".148","82.5",2019
"581","Houston Astros","5.68","4315","1004","6.2","109",".296",".274",".257",".352",".327",".495",".446",".848",".773","119",".598","163.1","15.1",".838",".343",".221","108.7",2019
"582","Kansas City Royals","4.27","4358","705","4.3","108",".301",".247",".256",".309",".326",".401",".444",".710",".770","85",".433","-123.7","-11.9",".661",".251",".154","135.9",2019
"583","Los Angeles Angels","4.75","4383","794","4.9","107",".281",".247",".254",".324",".323",".422",".440",".746",".763","96",".485","-28.2","-3.0",".705",".289",".175","100.4",2019
"584","Los Angeles Dodgers","5.47","4289","930","5.8","107",".291",".257",".254",".338",".327",".472",".439",".810",".766","111",".572","94.8","8.7",".797",".334",".215","94.7",2019
"585","Miami Marlins","3.80","4419","625","3.8","106",".300",".241",".253",".298",".326",".375",".437",".673",".763","77",".379","-182.1","-17.5",".594",".210",".134","79.9",2019
"586","Milwaukee Brewers","4.75","4379","855","5.2","111",".296",".246",".259",".329",".332",".438",".447",".767",".779","97",".524","-23.0","-2.5",".748",".319",".192","143.9",2019
"587","Minnesota Twins","5.80","4358","967","5.9","106",".300",".270",".253",".338",".322",".494",".438",".832",".760","118",".577","146.7","13.6",".805",".317",".224","51.3",2019
"588","New York Mets","4.88","4390","840","5.1","104",".299",".257",".250",".328",".321",".442",".431",".770",".752","105",".515","46.5","4.2",".727",".282",".185","91.0",2019
"589","New York Yankees","5.82","4268","944","5.9","105",".306",".267",".251",".339",".321",".490",".436",".829",".757","118",".575","146.1","13.6",".807",".330",".222","93.2",2019
"590","Oakland Athletics","5.22","4381","830","5.1","101",".282",".249",".247",".327",".315",".448",".428",".776",".743","108",".505","79.4","7.3",".739",".308",".199","82.3",2019
"591","Philadelphia Phillies","4.78","4385","799","4.9","111",".293",".246",".259",".319",".332",".427",".447",".746",".779","92",".492","-71.8","-7.0",".712",".293",".181","114.5",2019
"592","Pittsburgh Pirates","4.68","4389","782","4.8","107",".309",".265",".254",".321",".327",".420",".439",".741",".766","94",".482","-49.4","-4.9",".680",".237",".156","91.9",2019
"593","San Diego Padres","4.21","4335","697","4.3","105",".293",".238",".251",".308",".323",".410",".433",".718",".756","90",".436","-77.9","-7.6",".665",".272",".172","106.1",2019
"594","Seattle Mariners","4.68","4376","766","4.7","101",".287",".237",".247",".316",".315",".424",".428",".740",".743","99",".469","1.8","0.0",".715",".306",".187","155.3",2019
"595","San Francisco Giants","4.19","4452","677","4.1","106",".290",".239",".252",".302",".324",".392",".435",".694",".759","83",".411","-131.8","-12.7",".629",".241",".153","73.4",2019
"596","St. Louis Cardinals","4.72","4331","764","4.7","106",".292",".245",".253",".322",".326",".415",".437",".737",".763","94",".478","-43.7","-4.3",".709",".288",".170","149.4",2019
"597","Tampa Bay Rays","4.75","4394","810","4.9","103",".306",".254",".249",".325",".318",".431",".432",".757",".750","102",".493","23.8","2.1",".721",".284",".178","131.2",2019
"598","Texas Rangers","5.00","4363","799","4.9","116",".304",".248",".266",".319",".337",".431",".461",".750",".798","88",".49","-105.5","-10.2",".725",".296",".183","165.0",2019
"599","Toronto Blue Jays","4.48","4363","733","4.5","104",".280",".236",".250",".305",".319",".428",".434",".733",".753","94",".45","-48.6","-4.8",".684",".290",".192","84.5",2019
"600","Washington Nationals","5.39","4288","907","5.7","112",".306",".265",".260",".342",".334",".454",".449",".796",".783","104",".56","33.1","2.8",".783",".311",".190","154.4",2019
"601","Arizona Diamondbacks","4.48","1583","258","4.2","101",".282",".241",".245",".312",".324",".391",".419",".704",".743","90",".447","-27.6","-2.7",".655",".248",".150","32.9",2020
"602","Atlanta Braves","5.80","1569","369","6.0","107",".322",".268",".253",".349",".333",".483",".432",".832",".765","117",".613","49.6","4.6",".824",".339",".215","37.6",2020
"603","Baltimore Orioles","4.57","1574","286","4.7","101",".309",".258",".246",".321",".322",".429",".420",".750",".742","102",".518","1.9","0.1",".697",".255",".171","30.5",2020
"604","Boston Red Sox","4.87","1604","312","5.1","105",".321",".265",".251",".330",".329",".445",".429",".775",".757","104",".549","10.0","0.9",".733",".280",".180","44.8",2020
"605","Chicago Cubs","4.42","1562","250","4.1","102",".270",".220",".247",".318",".325",".387",".421",".705",".746","90",".439","-26.7","-2.6",".676",".294",".167","36.2",2020
"606","Chicago White Sox","5.10","1579","307","5.1","99",".314",".261",".243",".326",".318",".453",".414",".779",".733","112",".549","30.5","2.9",".735",".286",".192","33.1",2020
"607","Cincinnati Reds","4.05","1512","245","4.2","110",".245",".212",".256",".312",".337",".403",".438",".715",".774","85",".445","-44.4","-4.3",".693",".332",".191","43.9",2020
"608","Cleveland Indians","4.13","1586","248","4.1","99",".277",".228",".244",".317",".320",".372",".416",".689",".736","88",".45","-28.0","-2.9",".651",".274",".144","35.1",2020
"609","Colorado Rockies","4.58","1605","269","4.3","114",".316",".257",".261",".311",".343",".405",".447",".716",".789","81",".46","-62.2","-6.0",".662",".243",".148","50.4",2020
"610","Detroit Tigers","4.29","1493","236","4.1","99",".314",".245",".243",".303",".319",".397",".414",".700",".733","91",".454","-26.7","-2.7",".633",".237",".152","29.1",2020
"611","Houston Astros","4.65","1583","262","4.3","100",".273",".240",".245",".312",".321",".408",".418",".720",".739","95",".475","-16.0","-1.6",".671",".270",".168","33.4",2020
"612","Kansas City Royals","4.13","1569","258","4.3","102",".297",".244",".247",".309",".324",".402",".422",".711",".745","91",".472","-29.0","-2.9",".670",".260",".158","57.0",2020
"613","Los Angeles Angels","4.90","1600","302","4.9","99",".284",".248",".244",".332",".320",".430",".416",".763",".736","107",".535","22.6","2.1",".732",".307",".182","33.7",2020
"614","Los Angeles Dodgers","5.82","1588","339","5.5","101",".276",".256",".245",".338",".324",".483",".419",".821",".743","119",".57","55.1","5.2",".809",".349",".227","46.6",2020
"615","Miami Marlins","4.38","1529","250","4.2","102",".306",".244",".246",".319",".325",".384",".421",".703",".746","89",".449","-30.1","-2.9",".668",".258",".141","55.1",2020
"616","Milwaukee Brewers","4.12","1565","236","3.9","104",".278",".223",".249",".313",".328",".389",".425",".702",".753","87",".412","-36.0","-3.5",".655",".283",".166","25.0",2020
"617","Minnesota Twins","4.48","1530","267","4.5","97",".283",".242",".241",".315",".316",".427",".410",".743",".726","104",".5","9.8","0.9",".698",".285",".186","24.3",2020
"618","New York Mets","4.77","1549","329","5.5","98",".320",".272",".241",".348",".319",".459",".412",".807",".730","121",".568","62.5","5.9",".776",".289",".187","32.5",2020
"619","New York Yankees","5.25","1512","305","5.2","96",".280",".247",".239",".342",".315",".447",".409",".789",".723","118",".565","51.7","4.9",".776",".342",".200","42.0",2020
"620","Oakland Athletics","4.57","1541","259","4.4","95",".271",".225",".238",".322",".313",".396",".407",".718",".720","100",".482","5.5","0.5",".694",".308",".171","38.1",2020
"621","Philadelphia Phillies","5.10","1514","307","5.2","102",".299",".257",".247",".342",".325",".439",".421",".781",".746","109",".547","27.1","2.5",".767",".314",".183","49.1",2020
"622","Pittsburgh Pirates","3.65","1574","206","3.4","101",".268",".220",".244",".284",".323",".357",".417",".641",".740","74",".351","-74.3","-7.2",".570",".226",".137","25.2",2020
"623","San Diego Padres","5.42","1542","321","5.3","96",".291",".257",".239",".333",".316",".466",".408",".798",".724","120",".559","55.8","5.2",".795",".334",".209","69.7",2020
"624","Seattle Mariners","4.23","1560","235","3.9","94",".281",".226",".237",".309",".312",".370",".405",".678",".717","90",".433","-21.6","-2.2",".647",".269",".144","54.5",2020
"625","San Francisco Giants","4.98","1563","317","5.2","98",".311",".263",".241",".335",".319",".451",".412",".785",".730","115",".547","42.3","3.9",".745",".289",".187","30.8",2020
"626","St. Louis Cardinals","4.14","1410","221","4.0","97",".290",".234",".240",".323",".317",".371",".410",".694",".727","92",".43","-12.4","-1.2",".652",".259",".137","26.6",2020
"627","Tampa Bay Rays","4.82","1566","291","4.8","93",".300",".238",".236",".328",".311",".425",".403",".753",".713","111",".528","35.7","3.4",".746",".330",".187","60.0",2020
"628","Texas Rangers","3.73","1583","210","3.4","98",".266",".217",".242",".285",".317",".364",".412",".648",".730","78",".377","-60.4","-6.0",".604",".251",".147","54.7",2020
"629","Toronto Blue Jays","5.03","1574","301","5.0","99",".297",".255",".243",".325",".319",".441",".414",".766",".733","108",".541","22.9","2.2",".735",".300",".186","48.0",2020
"630","Washington Nationals","4.88","1529","303","5.1","101",".308",".264",".245",".336",".324",".433",".419",".769",".743","107",".536","22.3","2.0",".739",".278",".170","44.0",2020
"631","Arizona Diamondbacks","4.19","4367","685","4.1","102",".295",".236",".248",".309",".325",".382",".419",".692",".743","87",".455","-104.9","-10.4",".635",".249",".146","66.2",2021
"632","Atlanta Braves","4.91","4231","801","5.0","106",".288",".244",".253",".319",".331",".435",".428",".754",".759","98",".541","-22.0","-2.5",".724",".301",".191","94.6",2021
"633","Baltimore Orioles","4.07","4297","678","4.2","99",".290",".239",".247",".304",".318",".402",".418",".705",".735","92",".461","-67.1","-6.8",".646",".251",".163","84.6",2021
"634","Boston Red Sox","5.12","4234","835","5.2","104",".309",".261",".254",".328",".325",".449",".428",".777",".754","106",".563","43.3","4.1",".736",".285",".188","67.6",2021
"635","Chicago Cubs","4.35","4291","697","4.3","102",".296",".237",".248",".312",".325",".407",".418",".719",".743","93",".471","-57.0","-5.8",".673",".275",".171","122.0",2021
"636","Chicago White Sox","4.91","4206","777","4.9","100",".310",".256",".248",".336",".319",".422",".419",".758",".738","106",".533","51.6","4.9",".720",".282",".166","87.7",2021
"637","Cincinnati Reds","4.85","4304","800","4.9","111",".296",".249",".260",".328",".339",".431",".439",".759",".778","95",".532","-40.8","-4.3",".718",".286",".182","62.0",2021
"638","Cleveland Indians","4.43","4241","683","4.2","98",".282",".238",".246",".303",".316",".407",".416",".710",".732","94",".47","-51.1","-5.2",".668",".271",".169","141.8",2021
"639","Colorado Rockies","4.59","4241","742","4.6","113",".299",".249",".263",".317",".343",".414",".444",".731",".786","86",".505","-122.7","-12.2",".686",".267",".165","107.2",2021
"640","Detroit Tigers","4.30","4282","679","4.2","96",".300",".242",".243",".308",".313",".399",".410",".707",".723","96",".463","-31.3","-3.2",".657",".260",".158","118.0",2021
"641","Houston Astros","5.33","4312","864","5.3","99",".303",".267",".247",".339",".318",".444",".418",".783",".735","113",".57","108.7","10.5",".747",".285",".177","85.5",2021
"642","Kansas City Royals","4.23","4294","675","4.1","101",".292",".249",".249",".306",".320",".396",".421",".702",".741","90",".459","-84.6","-8.5",".652",".241",".147","140.9",2021
"643","Los Angeles Angels","4.46","4294","708","4.3","101",".294",".245",".249",".310",".320",".407",".421",".717",".741","93",".481","-58.1","-6.0",".664",".257",".162","111.6",2021
"644","Los Angeles Dodgers","5.12","4305","837","5.1","105",".284",".244",".252",".330",".330",".429",".426",".759",".756","101",".553","3.7","0.0",".737",".306",".185","102.0",2021
"645","Miami Marlins","3.85","4288","630","3.9","102",".296",".233",".248",".298",".325",".372",".418",".671",".743","81",".425","-152.9","-15.2",".618",".238",".139","126.9",2021
"646","Milwaukee Brewers","4.56","4294","721","4.4","102",".283",".233",".248",".317",".325",".396",".418",".713",".743","92",".486","-57.1","-5.8",".680",".283",".163","115.3",2021
"647","Minnesota Twins","4.50","4306","746","4.6","97",".282",".241",".244",".314",".314",".423",".412",".738",".726","103",".504","23.1","2.1",".693",".286",".182","87.3",2021
"648","New York Mets","3.93","4173","663","4.2","99",".291",".239",".244",".315",".321",".391",".413",".705",".734","93",".461","-52.9","-5.4",".651",".252",".152","82.6",2021
