"","Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","Pull%","Cent%","Oppo%","WPA","cWPA","RE24","RS%","SB%","XBT%","Year","EV","HardH%"
"526","Los Angeles Dodgers",".325","96",".294",".160","3.1%","21.4%","8.5%","25.8%","46.3%","20.3%","0.89","28.1%","52.4%","19.5%","1.5","1.5%","17.2","30%","63%","43%",2016,"89.7","41.9%"
"527","Miami Marlins",".321","97",".314",".131","2.1%","19.8%","7.3%","26.5%","48.6%","17.3%","0.99","24.9%","54.2%","21.0%","-1.5","-2.2%","-33.2","28%","72%","39%",2016,"88.7","38.2%"
"528","Milwaukee Brewers",".326","90",".304",".163","3.2%","25.5%","9.9%","25.6%","46.4%","19.6%","0.91","25.2%","52.2%","22.5%","-9.2","-1.7%","-49.8","27%","76%","40%",2016,"88.9","39.8%"
"529","Minnesota Twins",".324","97",".300",".171","3.2%","22.8%","8.2%","24.1%","42.3%","24.2%","0.76","30.0%","51.0%","18.9%","-8.8","-1.8%","-21.5","29%","74%","43%",2016,"88.7","39.5%"
"530","New York Mets",".324","96",".282",".171","3.6%","21.3%","8.5%","26.7%","39.8%","24.0%","0.68","30.1%","52.6%","17.3%","-5.8","-3.9%","-28.5","26%","70%","34%",2016,"88.5","37.7%"
"531","New York Yankees",".318","89",".289",".153","3.0%","19.6%","7.8%","24.2%","45.1%","22.3%","0.84","31.5%","52.4%","16.2%","-3.3","-3.7%","-57.8","29%","77%","37%",2016,"88.4","36.7%"
"532","Oakland Athletics",".310","91",".280",".149","2.8%","19.0%","7.3%","26.4%","42.6%","22.6%","0.76","29.8%","49.5%","20.8%","-5.7","-1.7%","-61.8","29%","68%","38%",2016,"88.1","36.7%"
"533","Philadelphia Phillies",".307","81",".291",".144","2.7%","23.0%","7.1%","24.9%","46.5%","19.4%","0.92","27.6%","53.2%","19.2%","-7.7","-3.8%","-100.4","27%","68%","39%",2016,"88.6","39.3%"
"534","Pittsburgh Pirates",".330","98",".311",".144","2.4%","21.3%","9.0%","26.0%","46.8%","19.8%","0.91","28.2%","51.1%","20.6%","0.3","-0.8%","10.7","30%","71%","35%",2016,"88.3","38.7%"
"535","San Diego Padres",".308","85",".291",".155","3.0%","25.0%","7.5%","25.6%","44.8%","20.3%","0.84","29.4%","51.3%","19.3%","-8.6","-3.7%","-18.5","31%","74%","50%",2016,"87.5","36.0%"
"536","Seattle Mariners",".330","106",".297",".171","3.6%","20.7%","8.1%","25.0%","46.0%","20.0%","0.89","31.7%","49.0%","19.2%","2.1","0.6%","47.7","30%","67%","38%",2016,"89.6","41.6%"
"537","San Francisco Giants",".325","97",".299",".140","2.1%","17.7%","9.1%","27.0%","45.1%","19.7%","0.85","28.6%","50.6%","20.8%","-3.3","-3.4%","4.7","30%","69%","39%",2016,"87.8","36.5%"
"538","St. Louis Cardinals",".339","106",".294",".187","3.6%","21.2%","8.5%","25.2%","42.7%","23.9%","0.77","29.5%","51.6%","18.9%","6.5","4.0%","72.2","30%","57%","38%",2016,"89.2","41.1%"
"539","Tampa Bay Rays",".319","100",".293",".182","3.6%","24.5%","7.4%","23.2%","41.4%","25.5%","0.72","33.6%","47.4%","19.0%","-8.9","-1.7%","-43.0","28%","62%","40%",2016,"89.7","41.5%"
"540","Texas Rangers",".332","96",".298",".172","3.5%","20.0%","7.2%","24.7%","44.9%","21.3%","0.83","32.1%","49.4%","18.5%","9.4","5.2%","23.2","31%","73%","43%",2016,"89.3","40.2%"
"541","Toronto Blue Jays",".332","102",".289",".178","3.6%","21.9%","10.1%","24.4%","43.0%","22.4%","0.77","28.4%","50.4%","21.2%","-1.4","-0.6%","15.5","29%","69%","38%",2016,"89.6","42.1%"
"542","Washington Nationals",".331","94",".293",".170","3.3%","20.2%","8.6%","26.2%","43.5%","21.4%","0.80","28.9%","52.6%","18.5%","4.5","2.6%","42.9","31%","76%","43%",2016,"90.0","42.3%"
"543","League Average",".327","97",".300",".162","3.0%","21.1%","8.2%","25.7%","44.5%","21.2%","0.83","29.0%","51.3%","19.7%","-1","-0%","2","30%","72%","40%",2016,"88.9","39.2%"
"544","",".327","97",".300",".162","3.0%","21.1%","8.2%","25.7%","44.5%","21.2%","0.83","29.0%","51.3%","19.7%","-35.8","-12.0%","60.9","30%","72%","40%",2016,"88.9","39.2%"
"545","Arizona Diamondbacks",".339","93",".306",".190","3.5%","23.4%","9.3%","25.5%","44.8%","22.0%","0.84","27.4%","54.7%","17.9%","0.1","-0.6%","48.4","32%","77%","45%",2017,"88.2","40.3%"
"546","Atlanta Braves",".325","90",".305",".150","2.7%","19.1%","7.6%","25.5%","46.1%","20.9%","0.90","27.6%","53.5%","19.0%","-1.9","0.1%","-11.8","30%","71%","45%",2017,"86.8","33.6%"
"547","Baltimore Orioles",".326","100",".306",".175","3.8%","23.0%","6.4%","25.7%","43.9%","21.6%","0.79","29.3%","52.7%","18.0%","-2.1","-0.1%","-11.1","30%","71%","37%",2017,"88.6","41.1%"
"548","Boston Red Sox",".326","91",".300",".149","2.7%","19.3%","9.0%","25.1%","45.4%","20.8%","0.84","27.2%","53.9%","18.9%","-2.4","-1.4%","-6.1","32%","77%","43%",2017,"87.4","36.1%"
"549","Chicago Cubs",".341","100",".302",".182","3.6%","22.3%","9.9%","24.6%","44.8%","21.8%","0.84","31.9%","51.2%","16.9%","1.8","2.5%","69.7","32%","67%","42%",2017,"87.6","38.8%"
"550","Chicago White Sox",".322","97",".309",".161","3.1%","23.1%","6.6%","24.4%","46.8%","20.6%","0.91","27.9%","52.5%","19.7%","-6.7","-2.1%","-42.8","30%","70%","39%",2017,"87.1","36.6%"
"551","Cincinnati Reds",".334","96",".294",".179","3.5%","21.4%","9.1%","25.1%","42.1%","23.0%","0.76","29.4%","52.3%","18.3%","-6.0","-1.2%","4.2","29%","75%","33%",2017,"85.5","30.8%"
"552","Cleveland Indians",".344","103",".295",".186","3.4%","18.5%","9.7%","25.5%","42.9%","23.1%","0.77","31.6%","51.8%","16.6%","-1.3","-2.9%","48.4","31%","79%","38%",2017,"88.3","39.5%"
"553","Colorado Rockies",".341","88",".332",".171","3.1%","22.7%","8.4%","25.8%","45.5%","20.9%","0.87","25.8%","54.3%","19.9%","-2.5","-0.9%","30.2","33%","63%","44%",2017,"86.9","35.4%"
"554","Detroit Tigers",".328","98",".306",".166","3.0%","21.4%","8.2%","27.7%","42.8%","22.8%","0.75","26.7%","52.1%","21.2%","-6.5","-0.6%","-28.2","30%","66%","37%",2017,"87.7","39.0%"
"555","Houston Astros",".357","126",".309",".196","3.8%","17.3%","8.1%","24.8%","43.8%","23.0%","0.79","29.1%","53.4%","17.5%","13.6","5.5%","166.7","34%","70%","39%",2017,"88.4","39.3%"
"556","Kansas City Royals",".321","91",".295",".160","3.2%","19.4%","6.5%","27.6%","41.1%","22.4%","0.71","27.5%","53.3%","19.2%","-2.6","-0.8%","-58.0","30%","75%","40%",2017,"87.8","36.6%"
"557","Los Angeles Angels",".316","92",".277",".155","3.1%","19.7%","8.6%","23.3%","46.3%","22.5%","0.88","29.7%","53.0%","17.3%","-1.1","-1.8%","-32.0","30%","76%","42%",2017,"87.1","35.8%"
"558","Los Angeles Dodgers",".337","104",".293",".188","3.6%","22.3%","10.5%","25.0%","42.8%","24.6%","0.77","29.4%","52.3%","18.3%","6.8","3.7%","47.6","30%","73%","38%",2017,"88.5","40.1%"
"559","Miami Marlins",".332","107",".313",".163","3.1%","20.5%","7.8%","24.1%","48.7%","18.6%","1.00","26.6%","54.4%","19.0%","4.4","0.1%","65.4","31%","75%","39%",2017,"87.2","35.9%"
"560","Milwaukee Brewers",".330","93",".308",".180","3.7%","25.6%","8.9%","25.2%","45.2%","21.7%","0.86","27.6%","52.7%","19.6%","-0.6","-3.2%","-15.9","29%","76%","35%",2017,"87.2","37.0%"
"561","Minnesota Twins",".337","104",".306",".174","3.3%","21.4%","9.5%","25.6%","41.3%","23.5%","0.73","31.4%","50.8%","17.8%","5.2","3.6%","60.2","32%","77%","42%",2017,"87.7","37.0%"
"562","New York Mets",".329","101",".286",".184","3.6%","20.9%","8.6%","25.2%","40.2%","24.8%","0.69","29.1%","53.6%","17.3%","-2.1","-0.7%","13.9","29%","72%","35%",2017,"87.3","37.0%"
"563","New York Yankees",".348","108",".304",".185","3.8%","21.8%","9.7%","25.1%","43.0%","23.2%","0.77","30.1%","52.3%","17.6%","2.7","2.1%","88.9","32%","80%","39%",2017,"87.8","37.0%"
"564","Oakland Athletics",".330","105",".294",".190","3.8%","24.3%","9.2%","27.2%","38.3%","25.8%","0.63","28.5%","52.5%","19.0%","4.9","-1.0%","3.4","29%","72%","35%",2017,"88.7","40.1%"
"565","Philadelphia Phillies",".320","90",".304",".159","2.8%","23.1%","8.1%","25.4%","45.5%","20.7%","0.86","28.1%","51.9%","20.0%","-8.5","-1.3%","-49.8","29%","70%","37%",2017,"87.7","37.3%"
"566","Pittsburgh Pirates",".313","86",".286",".142","2.5%","19.8%","8.5%","25.1%","46.6%","20.9%","0.90","26.5%","53.7%","19.9%","-5.1","-1.7%","-70.9","29%","65%","40%",2017,"86.3","33.7%"
"567","San Diego Padres",".306","82",".287",".160","3.2%","25.2%","7.7%","24.4%","42.1%","21.4%","0.77","29.5%","52.1%","18.4%","-6.9","-2.0%","-129.6","26%","73%","43%",2017,"86.2","33.3%"
"568","Seattle Mariners",".328","103",".300",".165","3.2%","20.6%","7.9%","24.9%","44.0%","22.7%","0.80","28.4%","54.1%","17.6%","1.2","-0.3%","9.5","30%","72%","37%",2017,"88.2","38.4%"
"569","San Francisco Giants",".305","79",".294",".132","2.1%","19.6%","7.6%","24.0%","46.5%","20.7%","0.90","27.1%","53.7%","19.1%","-14.3","-2.9%","-116.1","29%","69%","41%",2017,"86.9","33.6%"
"570","St. Louis Cardinals",".334","99",".304",".170","3.2%","21.7%","9.5%","25.8%","42.6%","23.1%","0.77","28.3%","54.4%","17.3%","-2.4","-2.0%","18.9","30%","72%","40%",2017,"87.4","37.5%"
"571","Tampa Bay Rays",".321","98",".296",".178","3.7%","25.0%","8.9%","23.9%","43.1%","23.5%","0.78","29.7%","52.3%","17.9%","-5.3","-3.5%","-53.9","27%","72%","40%",2017,"87.5","38.5%"
"572","Texas Rangers",".329","90",".291",".186","3.9%","24.4%","8.9%","23.5%","43.1%","24.1%","0.78","32.3%","51.7%","16.1%","-1.6","-1.1%","12.9","32%","72%","44%",2017,"88.0","39.0%"
"573","Toronto Blue Jays",".318","90",".276",".172","3.6%","21.6%","8.8%","23.7%","43.7%","23.5%","0.79","28.0%","54.0%","17.9%","-7.9","-2.5%","-83.8","27%","69%","35%",2017,"87.6","38.0%"
"574","Washington Nationals",".341","98",".311",".183","3.5%","21.4%","8.7%","25.4%","43.3%","22.9%","0.79","28.3%","53.0%","18.7%","3.4","4.6%","74.2","32%","78%","41%",2017,"88.4","40.3%"
"575","League Average",".329","97",".300",".171","3.3%","21.6%","8.5%","25.1%","43.9%","22.4%","0.81","28.7%","52.9%","18.4%","-1","-0%","2","30%","73%","40%",2017,"87.5","37.2%"
"576","",".329","97",".300",".171","3.3%","21.6%","8.5%","25.1%","43.9%","22.4%","0.81","28.7%","52.9%","18.4%","-43.5","-12.3%","52.4","30%","73%","40%",2017,"87.5","37.2%"
"577","Arizona Diamondbacks",".317","84",".286",".162","2.9%","23.7%","9.1%","25.5%","43.3%","22.6%","0.79","29.4%","52.4%","18.2%","-2.5","-2.1%","-30.1","30%","76%","45%",2018,"88.5","38.2%"
"578","Atlanta Braves",".330","98",".302",".161","2.8%","20.6%","8.2%","26.0%","42.3%","23.1%","0.76","30.8%","51.1%","18.1%","2.5","2.3%","54.7","31%","71%","44%",2018,"88.2","36.5%"
"579","Baltimore Orioles",".305","88",".286",".152","3.1%","23.4%","7.0%","24.0%","44.2%","22.9%","0.81","27.4%","53.0%","19.7%","-19.2","-1.8%","-115.5","27%","79%","41%",2018,"88.7","38.9%"
"580","Boston Red Sox",".350","113",".309",".185","3.3%","19.9%","9.0%","25.2%","43.7%","23.5%","0.78","29.5%","51.9%","18.6%","15.0","6.8%","136.0","34%","80%","37%",2018,"90.3","43.2%"
"581","Chicago Cubs",".330","96",".313",".152","2.6%","21.8%","9.0%","25.4%","45.8%","20.1%","0.88","29.2%","52.1%","18.7%","0.3","-2.6%","44.1","30%","63%","43%",2018,"89.0","40.3%"
"582","Chicago White Sox",".311","92",".304",".160","3.0%","26.3%","7.0%","25.3%","44.8%","21.6%","0.83","28.1%","52.7%","19.3%","-9.2","-2.1%","-80.4","28%","71%","41%",2018,"88.6","39.4%"
"583","Cincinnati Reds",".325","93",".307",".148","2.8%","22.1%","9.0%","27.0%","40.4%","23.7%","0.71","27.6%","53.2%","19.2%","-6.5","-1.9%","-15.0","28%","70%","35%",2018,"87.3","34.3%"
"584","Cleveland Indians",".339","106",".291",".176","3.4%","18.9%","8.8%","26.3%","40.5%","24.3%","0.70","30.6%","52.8%","16.6%","-0.9","0.7%","73.5","31%","79%","41%",2018,"89.1","40.2%"
"585","Colorado Rockies",".337","89",".304",".179","3.4%","22.6%","8.2%","24.9%","45.5%","21.9%","0.87","26.9%","53.7%","19.5%","5.9","2.8%","30.4","32%","74%","47%",2018,"89.2","40.4%"
"586","Detroit Tigers",".304","83",".293",".138","2.2%","22.2%","7.1%","26.2%","42.5%","21.8%","0.76","28.5%","51.8%","19.7%","-10.8","-3.5%","-113.6","29%","70%","39%",2018,"87.8","36.5%"
"587","Houston Astros",".333","107",".289",".170","3.3%","19.5%","9.2%","24.2%","42.0%","24.4%","0.74","29.8%","54.0%","16.1%","3.2","3.1%","74.5","32%","73%","39%",2018,"88.3","37.8%"
"588","Kansas City Royals",".311","89",".293",".146","2.6%","21.6%","7.0%","25.8%","41.2%","24.3%","0.72","28.8%","52.8%","18.5%","-14.3","-2.3%","-103.5","29%","75%","41%",2018,"88.4","37.9%"
"589","Los Angeles Angels",".320","98",".277",".171","3.5%","21.3%","8.4%","25.3%","41.6%","24.2%","0.72","31.0%","52.8%","16.2%","-0.4","-0.3%","-4.6","29%","80%","42%",2018,"88.6","39.7%"
"590","Los Angeles Dodgers",".344","111",".294",".191","3.7%","22.6%","10.2%","25.2%","40.3%","25.2%","0.69","29.4%","52.7%","17.9%","2.3","5.8%","99.8","30%","76%","45%",2018,"89.6","41.5%"
"591","Miami Marlins",".301","85",".293",".119","2.1%","22.8%","7.5%","24.6%","47.3%","19.4%","0.93","25.4%","55.7%","18.9%","-10.5","-1.7%","-91.0","27%","59%","40%",2018,"87.6","35.3%"
"592","Milwaukee Brewers",".335","100",".302",".172","3.5%","23.5%","8.7%","24.5%","45.8%","21.8%","0.87","26.5%","54.4%","19.1%","7.4","6.5%","46.7","30%","79%","39%",2018,"89.0","41.0%"
"593","Minnesota Twins",".317","94",".298",".155","2.7%","21.6%","8.7%","25.2%","40.2%","25.2%","0.68","30.2%","52.1%","17.7%","-0.6","-2.3%","-0.1","32%","64%","46%",2018,"88.2","37.2%"
"594","New York Mets",".315","97",".283",".154","2.8%","22.7%","9.2%","23.7%","41.8%","24.4%","0.73","28.8%","53.2%","18.0%","-7.3","-1.3%","-8.4","29%","65%","44%",2018,"88.0","36.2%"
"595","New York Yankees",".341","112",".285",".202","4.3%","22.7%","10.0%","23.3%","41.8%","26.1%","0.73","29.2%","53.2%","17.6%","10.3","5.6%","120.1","32%","75%","41%",2018,"89.8","41.4%"
"596","Oakland Athletics",".334","111",".294",".187","3.6%","22.1%","8.8%","25.6%","40.1%","25.8%","0.67","28.6%","52.7%","18.7%","3.8","0.3%","86.7","32%","63%","45%",2018,"89.9","42.3%"
"597","Philadelphia Phillies",".316","87",".289",".158","3.0%","24.8%","9.5%","23.2%","42.5%","23.9%","0.76","30.5%","51.2%","18.2%","-5.6","-4.2%","-29.8","28%","73%","38%",2018,"88.6","39.2%"
"598","Pittsburgh Pirates",".321","97",".298",".154","2.6%","20.3%","7.8%","25.1%","43.6%","22.6%","0.80","27.9%","52.0%","20.1%","-1.0","0.1%","9.8","30%","65%","41%",2018,"88.4","37.8%"
"599","San Diego Padres",".303","86",".294",".145","2.7%","25.1%","7.8%","24.0%","46.2%","20.1%","0.89","27.8%","54.0%","18.1%","-9.7","-1.9%","-74.7","28%","73%","39%",2018,"88.7","37.7%"
"600","Seattle Mariners",".318","102",".295",".154","2.9%","20.1%","7.1%","24.5%","45.1%","22.6%","0.85","29.0%","53.0%","18.0%","1.4","0.6%","-36.4","28%","68%","38%",2018,"89.1","39.1%"
"601","San Francisco Giants",".299","84",".299",".129","2.2%","24.0%","7.3%","25.6%","44.3%","21.7%","0.82","27.0%","52.8%","20.2%","-8.8","-2.0%","-83.3","28%","69%","40%",2018,"87.6","36.2%"
"602","St. Louis Cardinals",".324","98",".294",".160","3.3%","22.3%","8.5%","24.9%","42.6%","24.0%","0.77","28.1%","53.1%","18.9%","6.6","4.0%","67.0","31%","66%","41%",2018,"88.9","39.9%"
"603","Tampa Bay Rays",".328","105",".317",".148","2.4%","22.4%","8.7%","25.2%","45.5%","20.8%","0.86","26.8%","52.2%","21.0%","-3.3","-3.2%","-3.6","29%","72%","40%",2018,"87.8","36.1%"
"604","Texas Rangers",".321","88",".292",".164","3.2%","24.1%","9.0%","24.2%","43.4%","23.3%","0.80","28.7%","53.0%","18.3%","-7.2","-1.7%","-27.4","30%","68%","42%",2018,"88.4","37.4%"
"605","Toronto Blue Jays",".324","102",".286",".183","3.6%","22.8%","8.2%","25.0%","41.5%","24.9%","0.71","29.0%","52.3%","18.8%","-0.7","-0.4%","-15.8","29%","61%","35%",2018,"89.8","43.6%"
"606","Washington Nationals",".335","96",".297",".164","3.0%","20.5%","10.0%","25.0%","43.5%","22.0%","0.80","27.7%","53.4%","18.9%","-1.9","-4.1%","55.9","30%","78%","39%",2018,"88.4","39.0%"
"607","League Average",".323","97",".296",".161","3.0%","22.3%","8.5%","25.0%","43.1%","23.1%","0.78","28.6%","52.8%","18.5%","-2","-0%","2","30%","72%","41%",2018,"88.7","38.8%"
"608","",".323","97",".296",".161","3.0%","22.3%","8.5%","25.0%","43.1%","23.1%","0.78","28.6%","52.8%","18.5%","-61.8","-0.8%","65.6","30%","72%","41%",2018,"88.7","38.8%"
"609","Arizona Diamondbacks",".329","93",".293",".182","3.5%","21.5%","8.6%","24.4%","43.0%","24.2%","0.78","29.8%","52.9%","17.3%","-1.8","-2.7%","38.0","32%","86%","44%",2019,"88.1","37.5%"
"610","Atlanta Braves",".342","98",".305",".195","4.0%","23.3%","9.8%","27.4%","40.3%","25.0%","0.69","30.7%","50.5%","18.8%","7.1","6.5%","80.4","32%","76%","45%",2019,"89.6","41.7%"
"611","Baltimore Orioles",".316","90",".293",".168","3.4%","23.2%","7.5%","24.4%","43.6%","22.7%","0.80","29.9%","53.1%","17.1%","-11.5","-2.3%","-80.7","30%","74%","40%",2019,"88.0","36.7%"
"612","Boston Red Sox",".347","107",".313",".197","3.8%","21.3%","9.1%","24.7%","43.0%","24.9%","0.76","28.5%","52.8%","18.7%","1.3","1.1%","78.3","33%","69%","44%",2019,"90.3","44.7%"
"613","Chicago Cubs",".337","101",".297",".200","4.1%","23.6%","9.4%","24.6%","45.3%","22.3%","0.85","28.6%","52.9%","18.5%","1.7","1.2%","52.5","31%","65%","44%",2019,"89.2","40.2%"
"614","Chicago White Sox",".318","94",".329",".153","3.0%","25.6%","6.3%","25.9%","45.6%","20.8%","0.86","27.2%","52.9%","20.0%","-4.6","-0.3%","-70.2","30%","69%","40%",2019,"89.3","40.8%"
"615","Cincinnati Reds",".320","83",".288",".178","3.7%","23.5%","8.1%","24.7%","41.5%","24.9%","0.73","28.7%","51.2%","20.1%","-13.2","-4.5%","-78.9","28%","68%","38%",2019,"87.6","35.8%"
"616","Cleveland Indians",".326","93",".289",".183","3.6%","21.8%","9.2%","23.7%","42.3%","24.6%","0.76","31.5%","51.6%","17.0%","-2.5","-2.8%","-30.8","31%","75%","42%",2019,"89.6","41.0%"
"617","Colorado Rockies",".337","86",".321",".190","3.6%","23.9%","7.8%","26.2%","41.9%","23.4%","0.75","27.0%","53.4%","19.6%","-2.1","0.3%","10.3","34%","70%","46%",2019,"88.5","38.6%"
"618","Detroit Tigers",".297","76",".308",".148","2.5%","26.4%","6.5%","26.4%","41.7%","23.7%","0.73","27.4%","53.5%","19.1%","-21.5","-3.1%","-228.8","26%","74%","42%",2019,"88.4","39.4%"
"619","Houston Astros",".360","119",".296",".221","4.5%","18.2%","10.1%","25.6%","41.0%","24.2%","0.71","30.5%","53.1%","16.5%","6.6","3.1%","119.5","32%","71%","33%",2019,"88.7","39.5%"
"620","Kansas City Royals",".310","84",".301",".154","2.7%","23.1%","7.5%","25.0%","43.8%","22.7%","0.80","28.6%","52.7%","18.7%","-12.4","-1.4%","-113.1","31%","75%","40%",2019,"88.1","36.3%"
"621","Los Angeles Angels",".324","96",".281",".175","3.5%","20.4%","9.4%","25.1%","43.1%","23.4%","0.76","31.8%","51.1%","17.2%","-5.7","-0.8%","-32.3","30%","76%","37%",2019,"88.4","37.4%"
"622","Los Angeles Dodgers",".347","111",".291",".215","4.4%","21.6%","9.7%","25.3%","40.1%","25.7%","0.69","31.0%","51.6%","17.4%","11.9","5.2%","139.0","33%","85%","40%",2019,"89.6","42.0%"
"623","Miami Marlins",".297","76",".300",".134","2.4%","24.3%","6.5%","23.8%","48.1%","21.3%","0.95","24.1%","55.8%","20.1%","-17.5","-3.1%","-147.7","28%","65%","36%",2019,"88.5","38.3%"
"624","Milwaukee Brewers",".332","96",".296",".192","4.0%","24.8%","10.0%","24.5%","43.4%","24.4%","0.78","27.5%","52.8%","19.6%","1.0","-0.9%","-4.0","28%","80%","39%",2019,"90.1","43.5%"
"625","Minnesota Twins",".353","118",".300",".224","4.8%","20.9%","8.2%","26.7%","38.4%","26.0%","0.63","31.6%","51.9%","16.5%","10.0","7.1%","147.8","34%","57%","40%",2019,"90.2","43.3%"
"626","New York Mets",".334","106",".299",".185","3.9%","22.0%","8.2%","25.3%","44.5%","22.5%","0.83","27.3%","54.0%","18.7%","3.6","0.1%","45.9","30%","67%","38%",2019,"89.3","41.0%"
"627","New York Yankees",".352","118",".306",".222","4.9%","23.0%","9.1%","25.4%","41.7%","24.9%","0.72","27.5%","54.1%","18.4%","13.6","8.4%","172.3","35%","71%","40%",2019,"90.5","44.2%"
"628","Oakland Athletics",".335","110",".282",".199","4.1%","21.3%","9.2%","24.9%","41.2%","25.4%","0.71","30.1%","52.1%","17.8%","6.9","5.9%","70.9","33%","70%","42%",2019,"89.8","42.2%"
"629","Philadelphia Phillies",".324","90",".293",".181","3.4%","23.2%","9.0%","24.8%","42.0%","22.9%","0.75","28.4%","53.4%","18.3%","-1.7","-0.1%","0.2","31%","81%","40%",2019,"89.1","40.5%"
"630","Pittsburgh Pirates",".323","94",".309",".156","2.6%","19.5%","6.8%","25.5%","46.1%","20.7%","0.88","27.0%","53.1%","19.9%","-0.5","-0.3%","-4.2","32%","69%","42%",2019,"88.5","37.6%"
"631","San Diego Padres",".312","89",".293",".172","3.6%","26.3%","8.4%","22.4%","45.3%","22.4%","0.86","27.3%","54.7%","18.0%","-10.3","-2.7%","-62.4","28%","65%","45%",2019,"89.1","40.7%"
"632","Seattle Mariners",".321","100",".287",".187","3.9%","25.5%","9.5%","24.9%","40.5%","25.5%","0.69","29.5%","51.5%","19.0%","-3.2","0.1%","-19.5","30%","71%","40%",2019,"87.6","35.5%"
"633","San Francisco Giants",".304","83",".290",".153","2.7%","23.3%","7.7%","25.6%","42.5%","23.7%","0.76","28.7%","52.2%","19.2%","-11.0","-4.0%","-84.6","30%","63%","41%",2019,"87.9","38.8%"
"634","St. Louis Cardinals",".327","96",".292",".170","3.4%","23.0%","9.1%","24.9%","40.8%","24.5%","0.71","28.1%","54.6%","17.3%","0.7","2.0%","20.5","31%","80%","43%",2019,"87.9","37.5%"
"635","Tampa Bay Rays",".327","102",".306",".178","3.5%","23.8%","8.6%","25.6%","44.5%","22.6%","0.81","28.3%","52.5%","19.3%","-2.1","-1.1%","-15.6","30%","72%","41%",2019,"89.8","42.1%"
"636","Texas Rangers",".328","88",".304",".183","3.6%","25.4%","8.6%","25.6%","42.9%","23.1%","0.77","28.7%","52.7%","18.7%","-3.8","-1.1%","-21.4","33%","78%","41%",2019,"89.7","42.3%"
"637","Toronto Blue Jays",".316","93",".280",".192","4.1%","24.9%","8.4%","24.4%","39.9%","25.9%","0.67","30.9%","52.8%","16.3%","-10.1","-3.3%","-65.6","29%","72%","38%",2019,"89.1","40.5%"
"638","Washington Nationals",".346","104",".306",".190","3.7%","20.9%","9.3%","25.0%","40.4%","24.5%","0.71","29.6%","52.4%","18.0%","8.9","4.9%","113.5","34%","80%","41%",2019,"88.7","41.0%"
"639","League Average",".328","97",".298",".183","3.6%","23.0%","8.5%","25.1%","42.6%","23.8%","0.76","28.9%","52.8%","18.3%","-2","0%","1","31%","73%","41%",2019,"89.0","40.0%"
"640","",".328","97",".298",".183","3.6%","23.0%","8.5%","25.1%","42.6%","23.8%","0.76","28.9%","52.8%","18.3%","-62.1","11.4%","29.2","31%","73%","41%",2019,"89.0","40.0%"
"641","Arizona Diamondbacks",".313","89",".282",".150","2.6%","20.6%","8.1%","27.8%","43.7%","20.4%","0.79","31.3%","53.0%","15.7%","-2.3","-1.8%","-11.7","32%","77%","48%",2020,"87.6","35.8%"
"642","Atlanta Braves",".364","117",".322",".215","4.4%","24.5%","10.2%","31.2%","39.0%","22.8%","0.64","30.7%","51.6%","17.7%","1.9","1.3%","52.3","34%","85%","46%",2020,"89.4","43.0%"
"643","Baltimore Orioles",".330","102",".309",".171","3.4%","22.9%","7.3%","29.0%","40.5%","18.8%","0.71","31.0%","52.0%","17.0%","-3.5","-1.9%","-15.4","30%","58%","39%",2020,"85.6","33.7%"
"644","Boston Red Sox",".340","103",".321",".180","3.5%","23.7%","8.1%","27.6%","44.8%","21.4%","0.82","28.4%","55.9%","15.7%","-0.6","-1.3%","-5.1","31%","78%","42%",2020,"88.3","36.9%"
"645","Chicago Cubs",".319","93",".270",".167","3.3%","25.7%","10.3%","26.4%","46.5%","19.1%","0.88","29.6%","55.9%","14.5%","-2.9","-0.6%","-20.1","30%","71%","53%",2020,"88.5","40.4%"
"646","Chicago White Sox",".342","112",".314",".192","4.2%","25.2%","7.9%","28.4%","45.8%","18.3%","0.85","26.6%","54.5%","18.9%","1.6","1.4%","22.8","32%","71%","43%",2020,"88.6","40.3%"
"647","Cincinnati Reds",".319","83",".245",".191","4.2%","25.2%","11.3%","26.9%","41.0%","26.5%","0.70","31.6%","52.8%","15.6%","-3.3","-2.4%","-40.4","26%","76%","40%",2020,"87.9","37.5%"
"648","Cleveland Indians",".308","87",".277",".144","2.6%","23.0%","10.6%","27.4%","43.8%","19.3%","0.80","30.7%","50.8%","18.5%","-4.3","-2.7%","-41.7","28%","71%","40%",2020,"87.4","35.9%"
"649","Colorado Rockies",".317","77",".316",".148","2.8%","24.1%","7.1%","28.9%","40.6%","21.4%","0.70","27.1%","53.5%","19.4%","-4.0","-2.5%","-33.9","33%","82%","52%",2020,"86.1","31.9%"
"650","Detroit Tigers",".310","89",".314",".152","3.0%","27.3%","7.1%","29.6%","43.6%","18.9%","0.78","27.6%","54.5%","17.8%","-2.1","-0.1%","-20.6","32%","76%","42%",2020,"88.4","39.7%"
"651","Houston Astros",".320","95",".273",".168","3.1%","19.7%","8.6%","28.5%","40.7%","21.8%","0.70","32.7%","52.3%","15.1%","-2.1","-1.3%","-11.3","33%","67%","40%",2020,"87.8","35.3%"
