"","Tm","IP","G","GS","R","RA9","RA9opp","RA9def","RA9role","PPFp","RA9avg","RAA","WAA","gmLI","WAAadj","WAR","RAR","waaWL%","162WL%","Salary","Year","RA9extras"
"460","Detroit Tigers","1447.0","666","161","803","4.99","4.34","-0.07","0.00","99.8","4.41","-115","-10.8","1.06","-0.9","2.6","43",".484",".498","$92,365,000",2015,NA
"461","Houston Astros","1441.0","644","162","618","3.86","4.40","0.14","0.01","97.1","4.15","26","3.5","1.19","-1.0","16.7","183",".505",".502","$47,178,100",2015,NA
"462","Kansas City Royals","1452.0","655","162","641","3.97","4.31","0.13","-0.01","104.5","4.36","41","4.9","1.15","-0.6","18.7","199",".507",".503","$56,575,000",2015,NA
"463","Los Angeles Angels of Anaheim","1440.2","680","162","675","4.22","4.41","-0.01","0.00","94.3","4.17","-28","-2.8","1.12","-1.2","10.3","129",".496",".499","$65,626,000",2015,NA
"464","Los Angeles Dodgers","1445.2","677","162","595","3.70","4.20","0.02","0.01","94.9","3.97","43","6.9","1.24","-1.7","18.1","164",".510",".504","$101,703,929",2015,NA
"465","Miami Marlins","1427.0","648","162","678","4.28","4.18","0.14","0.00","96.6","3.90","-60","-5.9","1.13","-1.0","5.9","60",".491",".499","$40,835,000",2015,NA
"466","Milwaukee Brewers","1435.0","658","162","737","4.62","4.15","-0.19","-0.01","101.1","4.38","-39","-3.5",".92","-1.5","8.0","81",".495",".501","$35,176,000",2015,NA
"467","Minnesota Twins","1443.0","682","162","700","4.37","4.33","-0.19","-0.01","102.0","4.61","18","2.4","1.13","-0.6","16.2","175",".504",".501","$56,257,500",2015,NA
"468","New York Mets","1462.2","647","162","613","3.77","4.16","-0.12","0.02","96.7","4.15","62","7.9","1.14","-1.0","20.0","184",".512",".503","$34,140,075",2015,NA
"469","New York Yankees","1457.2","659","162","698","4.31","4.45","-0.18","-0.01","101.6","4.70","42","5.3","1.09","0.7","20.5","200",".508",".504","$80,137,400",2015,NA
"470","Oakland Athletics","1444.2","649","162","729","4.54","4.40","-0.09","0.00","96.4","4.33","-55","-4.6","1.02","-0.9","8.8","103",".493",".499","$31,980,001",2015,NA
"471","Philadelphia Phillies","1436.1","665","162","809","5.07","4.20","-0.48","-0.01","98.0","4.57","-80","-6.8",".92","-0.9","5.3","40",".490",".500","$14,579,000",2015,NA
"472","Pittsburgh Pirates","1489.2","662","162","596","3.60","4.14","0.16","0.00","99.1","3.94","56","6.9","1.22","-1.2","19.1","181",".510",".503","$45,029,166",2015,NA
"473","San Diego Padres","1440.1","678","162","731","4.57","4.22","-0.04","0.00","96.2","4.10","-75","-7.0","1.02","-0.1","5.9","46",".490",".499","$55,561,100",2015,NA
"474","Seattle Mariners","1463.0","671","162","726","4.47","4.43","-0.42","-0.01","95.2","4.61","2","0.8","1.27","-1.2","14.1","161",".501",".501","$50,837,900",2015,NA
"475","San Francisco Giants","1444.1","719","162","627","3.91","4.23","0.16","0.00","99.0","4.03","19","2.6","1.19","-1.2","14.3","140",".504",".502","$94,895,000",2015,NA
"476","St. Louis Cardinals","1464.2","677","162","525","3.23","4.19","0.02","0.01","100.1","4.18","154","18.0","1.25","-1.2","29.9","277",".527",".505","$59,055,500",2015,NA
"477","Tampa Bay Rays","1453.1","692","162","642","3.98","4.50","0.17","-0.01","97.8","4.22","18","2.4","1.31","-0.9","16.0","177",".504",".501","$19,333,167",2015,NA
"478","Texas Rangers","1442.2","660","162","733","4.57","4.41","-0.09","0.00","104.3","4.69","-2","0.4","1.17","-0.5","14.3","155",".501",".502","$64,809,900",2015,NA
"479","Toronto Blue Jays","1441.0","631","162","670","4.18","4.34","0.13","0.01","102.6","4.32","1","1.3","1.04","-1.1","14.5","158",".502",".501","$45,266,800",2015,NA
"480","Washington Nationals","1434.2","630","162","635","3.98","4.17","-0.21","0.01","100.5","4.42","69","8.3","1.21","-1.7","19.5","189",".513",".503","$94,508,300",2015,NA
"481","Arizona Diamondbacks","1451.1","737","162","890","5.52","4.52","-0.12","-0.01","107.8","5.00","-65","-6.2","1.11","-1.1","5.7","45",".492",".499","$51,074,300",2016,NA
"482","Atlanta Braves","1447.2","748","161","779","4.84","4.44","-0.03","-0.01","99.0","4.41","-50","-4.0","1.15","-1.2","7.8","60",".495",".500","$14,107,750",2016,NA
"483","Baltimore Orioles","1432.0","605","162","715","4.49","4.59","0.01","-0.01","101.9","4.66","26","3.6","1.04","-0.3","17.6","168",".506",".504","$54,778,000",2016,NA
"484","Boston Red Sox","1439.2","625","162","694","4.34","4.50","0.43","0.01","105.4","4.30","-6","0.1","1.22","-1.1","13.3","137",".500",".501","$102,406,750",2016,NA
"485","Chicago Cubs","1459.2","665","162","556","3.43","4.47","0.59","0.02","99.6","3.88","93","10.7","1.05","-1.5","22.3","204",".516",".503","$115,155,500",2016,NA
"486","Chicago White Sox","1446.2","643","162","715","4.45","4.56","-0.02","0.02","96.8","4.45","1","1.5","1.18","-0.8","15.1","144",".502",".502","$57,309,000",2016,NA
"487","Cincinnati Reds","1442.0","646","162","854","5.33","4.52","-0.02","-0.01","102.0","4.61","-96","-7.5","1.00","-0.9","4.5","13",".488",".501","$31,689,561",2016,NA
"488","Cleveland Indians","1445.0","665","161","676","4.21","4.53","0.24","0.00","106.9","4.59","61","7.1","1.03","-0.8","20.7","204",".511",".504","$34,977,600",2016,NA
"489","Colorado Rockies","1429.1","695","162","860","5.42","4.50","0.13","0.00","116.0","5.07","-37","-2.9","1.01","-1.1","8.9","71",".496",".500","$39,801,000",2016,NA
"490","Detroit Tigers","1428.0","637","161","721","4.54","4.51","-0.33","0.00","101.2","4.90","57","7.1","1.11","-1.1","20.2","198",".511",".502","$89,828,000",2016,NA
"491","Houston Astros","1468.0","662","162","701","4.30","4.60","0.44","-0.01","93.3","3.88","-68","-6.5","1.13","-1.2","7.0","77",".490",".499","$37,881,000",2016,NA
"492","Kansas City Royals","1440.0","634","162","712","4.45","4.57","0.11","-0.01","102.0","4.54","15","2.4","1.17","-0.7","16.1","157",".504",".502","$66,887,500",2016,NA
"493","Los Angeles Angels","1421.1","689","162","727","4.60","4.61","0.23","-0.01","94.6","4.13","-74","-6.6","1.00","-1.6","6.0","66",".490",".499","$53,649,500",2016,NA
"494","Los Angeles Dodgers","1453.0","768","162","638","3.95","4.50","0.29","-0.02","97.2","4.07","39","5.6","1.08","-1.4","17.3","149",".507",".503","$127,951,096",2016,NA
"495","Miami Marlins","1435.0","720","161","682","4.28","4.39","0.02","-0.01","94.2","4.11","-8","0.0","1.16","-1.6","11.3","100",".500",".502","$36,370,000",2016,NA
"496","Milwaukee Brewers","1434.1","675","162","733","4.60","4.56","0.18","-0.01","101.9","4.46","-3","0.6","1.09","-0.5","13.0","105",".501",".502","$22,832,900",2016,NA
"497","Minnesota Twins","1443.0","695","162","889","5.54","4.53","-0.39","-0.02","100.7","4.93","-98","-9.1","1.06","-1.3","4.0","45",".487",".499","$48,130,000",2016,NA
"498","New York Mets","1447.0","700","162","617","3.84","4.38","0.02","0.00","96.0","4.19","76","8.8","1.17","-0.4","21.4","185",".513",".504","$40,289,500",2016,NA
"499","New York Yankees","1428.1","645","162","702","4.42","4.63","0.10","0.00","102.9","4.66","38","4.4","1.11","-0.6","18.1","179",".507",".502","$68,305,750",2016,NA
"500","Oakland Athletics","1433.1","654","162","761","4.78","4.65","-0.40","-0.02","96.3","4.85","12","2.6","1.07","-0.9","16.0","154",".504",".503","$16,890,067",2016,NA
"501","Philadelphia Phillies","1437.0","667","162","796","4.99","4.45","-0.08","0.00","99.5","4.51","-57","-5.2","1.12","-1.3","6.4","51",".492",".500","$25,916,500",2016,NA
"502","Pittsburgh Pirates","1450.2","687","162","758","4.70","4.52","-0.04","-0.02","99.5","4.52","-11","-0.4","1.07","-1.0","11.7","99",".499",".501","$30,134,600",2016,NA
"503","San Diego Padres","1440.0","672","162","770","4.81","4.51","0.06","-0.01","96.0","4.27","-68","-5.8","1.06","-1.3","5.8","41",".491",".499","$24,321,500",2016,NA
"504","Seattle Mariners","1457.0","638","162","707","4.37","4.58","0.06","0.00","95.3","4.31","-8","-0.5","1.19","-1.1","12.9","136",".499",".501","$55,013,200",2016,NA
"505","San Francisco Giants","1460.1","737","162","631","3.89","4.52","0.41","0.02","97.2","4.02","40","5.3","1.41","-1.3","17.0","150",".507",".502","$102,618,333",2016,NA
"506","St. Louis Cardinals","1448.1","643","162","712","4.42","4.48","-0.14","0.01","96.9","4.48","28","4.0","1.05","-0.3","16.7","137",".506",".503","$65,387,000",2016,NA
"507","Tampa Bay Rays","1426.1","647","162","713","4.50","4.61","0.13","0.00","96.5","4.33","-27","-2.3","1.09","-0.9","11.0","114",".496",".500","$19,103,191",2016,NA
"508","Texas Rangers","1443.0","641","162","757","4.72","4.61","0.03","0.00","106.8","4.89","27","4.2","1.23","-0.8","17.8","169",".507",".504","$66,558,810",2016,NA
"509","Toronto Blue Jays","1459.1","649","162","666","4.11","4.59","0.30","0.02","101.8","4.38","45","5.4","1.16","-0.6","19.4","189",".508",".503","$81,880,167",2016,NA
"510","Washington Nationals","1459.2","670","162","612","3.77","4.37","0.05","0.01","101.2","4.39","119","13.3","1.18","-1.4","25.1","229",".520",".505","$80,475,700",2016,NA
"511","Arizona Diamondbacks","1441.0","675","162","659","4.12","4.63","0.12","0.02","108.2","4.89","130","14.5","1.13","-1.0","26.4","256",".521",".505","$58,082,100",2017,NA
"512","Atlanta Braves","1441.1","692","162","821","5.13","4.76","-0.07","0.01","99.1","4.79","-48","-3.8","1.03","-1.0","8.1","78",".494",".500","$50,545,250",2017,NA
"513","Baltimore Orioles","1441.0","654","162","841","5.25","4.74","-0.07","-0.01","99.6","4.79","-80","-6.8","1.01","-0.7","6.8","74",".490",".501","$58,996,500",2017,NA
"514","Boston Red Sox","1482.1","677","162","668","4.06","4.78","0.51","0.01","104.1","4.46","61","7.3","1.17","-1.5","20.5","219",".511",".503","$99,834,750",2017,NA
"515","Chicago Cubs","1447.1","693","162","695","4.32","4.64","0.26","0.00","100.9","4.41","21","2.7","1.07","-0.8","14.9","148",".504",".502","$121,579,000",2017,NA
"516","Chicago White Sox","1421.2","682","162","820","5.19","4.81","-0.04","0.00","99.7","4.84","-61","-5.2","1.01","-0.4","8.6","91",".492",".498","$49,845,000",2017,NA
"517","Cincinnati Reds","1430.0","666","162","869","5.47","4.67","0.30","-0.02","102.9","4.47","-152","-13.8",".86","-0.7","-1.5","-27",".479",".498","$36,483,286",2017,NA
"518","Cleveland Indians","1440.2","659","162","564","3.52","4.75","0.34","0.02","104.9","4.65","174","18.7","1.03","-1.5","31.5","328",".528",".506","$53,510,700",2017,NA
"519","Colorado Rockies","1437.2","711","162","757","4.74","4.62","-0.03","0.00","115.8","5.37","108","11.4","1.06","-0.8","23.6","234",".516",".504","$34,184,000",2017,NA
"520","Detroit Tigers","1420.1","672","162","894","5.66","4.79","-0.62","0.00","102.9","5.57","-20","-0.9",".99","-0.3","12.9","132",".499",".501","$49,563,600",2017,NA
"521","Houston Astros","1446.0","681","162","700","4.36","4.75","0.11","0.00","92.9","4.31","-14","-0.4","1.02","-0.4","13.6","141",".499",".500","$75,757,000",2017,NA
"522","Kansas City Royals","1437.2","700","162","791","4.95","4.84","-0.29","-0.01","102.0","5.23","39","5.0","1.13","-0.6","18.7","193",".507",".503","$57,240,900",2017,NA
"523","Los Angeles Angels","1440.2","705","162","709","4.43","4.90","0.36","-0.01","95.8","4.34","-20","-1.6","1.11","-1.9","10.9","135",".498",".500","$45,780,500",2017,NA
"524","Los Angeles Dodgers","1444.2","698","162","580","3.61","4.55","0.42","-0.01","96.9","4.00","68","7.6","1.07","-0.8","19.8","195",".511",".503","$93,808,596",2017,NA
"525","Miami Marlins","1442.2","742","162","822","5.13","4.68","0.14","-0.02","91.4","4.13","-154","-14.4","1.05","-1.6","-3.0","-27",".481",".497","$61,406,100",2017,NA
"526","Milwaukee Brewers","1445.2","712","162","697","4.34","4.69","0.12","-0.01","101.3","4.61","50","5.9","1.19","-0.7","18.3","177",".508",".503","$32,577,500",2017,NA
"527","Minnesota Twins","1436.0","682","162","788","4.94","4.71","0.17","-0.01","101.2","4.59","-62","-4.9","1.05","-0.3","9.1","92",".493",".500","$56,147,500",2017,NA
"528","New York Mets","1434.2","730","162","863","5.41","4.74","-0.34","-0.01","94.3","4.78","-95","-8.6","1.10","-0.9","3.5","31",".488",".499","$39,459,150",2017,NA
"529","New York Yankees","1448.2","639","162","660","4.10","4.73","0.16","0.00","102.8","4.70","91","9.8","1.06","-1.1","23.2","246",".515",".504","$98,840,900",2017,NA
"530","Oakland Athletics","1431.0","687","162","826","5.19","4.85","-0.25","0.00","94.2","4.81","-67","-5.9","1.09","-0.5","7.9","86",".491",".499","$20,017,500",2017,NA
"531","Philadelphia Phillies","1441.0","668","162","782","4.88","4.78","-0.17","0.00","98.6","4.88","5","1.4","1.05","-1.2","13.2","131",".502",".502","$55,714,500",2017,NA
"532","Pittsburgh Pirates","1440.2","664","162","731","4.57","4.70","0.09","0.00","98.7","4.56","5","1.2","1.06","-1.2","12.9","131",".502",".502","$36,295,500",2017,NA
"533","San Diego Padres","1430.2","679","162","816","5.13","4.68","0.07","0.00","98.8","4.55","-87","-7.5","1.08","-0.2","5.3","38",".489",".500","$22,965,700",2017,NA
"534","Seattle Mariners","1440.1","689","162","772","4.82","4.87","0.11","-0.01","95.3","4.53","-53","-4.3","1.27","-0.7","9.3","101",".494",".500","$93,382,500",2017,NA
"535","San Francisco Giants","1452.0","664","162","776","4.81","4.69","-0.21","0.02","99.5","4.90","20","2.6","1.14","-1.6","14.0","148",".504",".501","$98,839,833",2017,NA
"536","St. Louis Cardinals","1450.1","708","162","705","4.37","4.65","0.12","0.00","97.5","4.42","13","1.8","1.13","-1.5","13.3","140",".503",".501","$63,969,500",2017,NA
"537","Tampa Bay Rays","1445.0","673","162","704","4.38","4.81","0.32","0.00","96.4","4.33","-15","-1.1","1.25","-1.9","11.4","140",".498",".500","$25,504,566",2017,NA
"538","Texas Rangers","1434.1","626","162","816","5.12","4.90","-0.01","0.01","108.5","5.33","28","3.9","1.06","-1.4","16.8","181",".506",".503","$71,054,970",2017,NA
"539","Toronto Blue Jays","1465.0","740","162","784","4.82","4.85","0.09","-0.01","102.2","4.85","0","1.0","1.17","-1.5","14.2","156",".501",".502","$54,412,967",2017,NA
"540","Washington Nationals","1446.2","649","162","672","4.18","4.72","-0.05","0.03","101.6","4.87","117","14.3","1.12","-1.2","26.0","244",".522",".505","$85,436,701",2017,NA
"541","Arizona Diamondbacks","1463.0","735","162","644","3.96","4.42","0.71","0.01","104.3","3.88","6","2.0","1.25","-2.2","12.9","111",".503",".501","$77,331,100",2018,NA
"542","Atlanta Braves","1456.2","715","162","657","4.06","4.36","0.33","0.00","100.6","4.06","20","3.1","1.13","-1.2","14.9","124",".504",".502","$33,786,667",2018,NA
"543","Baltimore Orioles","1431.0","652","162","892","5.61","4.75","-0.25","-0.01","100.0","4.99","-99","-9.0","1.02","-0.6","4.6","46",".486",".498","$52,424,000",2018,NA
"544","Boston Red Sox","1458.2","697","162","647","3.99","4.56","0.07","0.00","102.5","4.60","98","11.1","1.14","-1.1","24.5","246",".516",".503","$99,531,500",2018,NA
"545","Chicago Cubs","1476.1","763","163","645","3.93","4.39","0.51","-0.01","102.7","3.98","27","3.6","1.21","-0.9","15.9","134",".505",".502","$141,206,714",2018,NA
"546","Chicago White Sox","1437.0","715","162","848","5.31","4.56","-0.18","0.01","99.7","4.73","-93","-8.5","1.11","-1.5","4.3","52",".488",".498","$41,397,000",2018,NA
"547","Cincinnati Reds","1441.0","706","162","819","5.12","4.45","-0.06","-0.01","103.0","4.63","-58","-4.6","1.03","-0.3","8.0","46",".494",".501","$48,179,286",2018,NA
"548","Cleveland Indians","1457.1","671","162","648","4.00","4.46","0.01","0.04","101.5","4.55","88","10.3","1.08","-1.2","23.5","235",".515",".503","$63,746,633",2018,NA
"549","Colorado Rockies","1452.1","681","163","745","4.62","4.41","0.19","0.02","116.1","4.91","67","8.3","1.14","-0.7","20.5","172",".512",".503","$53,399,500",2018,NA
"550","Detroit Tigers","1425.1","704","162","796","5.03","4.58","-0.14","-0.01","105.0","4.95","-13","-0.3","1.13","-1.1","12.8","131",".500",".501","$43,673,000",2018,NA
"551","Houston Astros","1455.0","672","162","534","3.30","4.59","0.35","0.03","97.6","4.17","139","15.1","1.17","-1.1","28.3","286",".522",".505","$90,389,300",2018,NA
"552","Kansas City Royals","1432.0","645","162","833","5.24","4.57","-0.17","0.01","101.3","4.81","-68","-6.1","1.12","-0.6","7.5","76",".491",".499","$51,422,000",2018,NA
"553","Los Angeles Angels","1437.1","763","162","722","4.52","4.64","0.05","-0.02","98.3","4.49","-6","0.1","1.04","-0.4","14.0","139",".500",".501","$28,689,500",2018,NA
"554","Los Angeles Dodgers","1476.0","756","163","610","3.72","4.30","0.35","0.00","96.9","3.82","37","4.8","1.09","-2.0","16.0","143",".506",".502","$90,419,429",2018,NA
"555","Miami Marlins","1442.0","707","161","809","5.05","4.46","0.10","-0.01","95.0","4.12","-129","-13.0","1.04","-0.8","-0.8","-25",".482",".497","$42,218,000",2018,NA
"556","Milwaukee Brewers","1461.0","722","163","659","4.06","4.38","0.72","-0.01","101.0","3.68","-42","-3.7","1.18","-1.4","7.9","63",".495",".500","$37,548,300",2018,NA
"557","Minnesota Twins","1443.1","728","162","775","4.83","4.51","0.03","-0.01","100.4","4.50","-55","-4.3","1.09","-0.8","9.2","91",".494",".500","$51,432,500",2018,NA
"558","New York Mets","1460.2","663","162","707","4.36","4.41","-0.21","0.01","92.9","4.29","9","3.2","1.14","-1.6","14.6","115",".505",".502","$53,627,275",2018,NA
"559","New York Yankees","1456.1","670","162","669","4.13","4.53","0.16","0.00","97.7","4.27","21","2.6","1.07","-0.8","16.3","168",".504",".502","$82,107,575",2018,NA
"560","Oakland Athletics","1465.2","740","162","674","4.14","4.56","0.11","-0.02","97.3","4.31","28","3.7","1.09","0.2","18.5","176",".505",".503","$31,135,000",2018,NA
"561","Philadelphia Phillies","1445.2","758","162","728","4.53","4.43","-0.46","0.00","101.8","4.97","90","11.3","1.16","-0.9","23.3","194",".515",".504","$59,234,000",2018,NA
"562","Pittsburgh Pirates","1434.0","641","161","693","4.35","4.39","0.06","0.00","97.5","4.22","-1","0.8","1.06","-0.8","12.8","102",".501",".502","$26,393,167",2018,NA
"563","San Diego Padres","1457.0","697","162","767","4.74","4.39","0.18","-0.02","95.8","4.01","-98","-9.2","1.10","-0.7","3.1","7",".487",".500","$29,026,700",2018,NA
"564","Seattle Mariners","1448.2","699","162","711","4.42","4.64","0.02","0.01","95.7","4.43","1","0.8","1.21","-0.8","14.4","147",".501",".501","$70,707,000",2018,NA
"565","San Francisco Giants","1461.1","711","162","699","4.30","4.43","-0.03","0.00","94.6","4.22","5","1.4","1.24","-0.7","13.7","110",".502",".502","$92,394,333",2018,NA
"566","St. Louis Cardinals","1455.1","727","162","691","4.27","4.36","0.02","0.00","96.7","4.19","6","1.4","1.07","-1.7","12.7","110",".502",".500","$88,371,500",2018,NA
"567","Tampa Bay Rays","1448.1","715","162","646","4.01","4.64","0.33","-0.04","95.7","4.09","11","2.1","1.28","-1.4","15.2","158",".503",".501","$16,923,200",2018,NA
"568","Texas Rangers","1431.0","668","162","848","5.33","4.68","-0.23","0.00","109.7","5.38","7","1.3","1.07","-1.1","14.4","151",".502",".501","$39,285,234",2018,NA
"569","Toronto Blue Jays","1433.2","752","162","832","5.22","4.67","-0.28","-0.01","98.5","4.86","-59","-5.6",".99","-1.0","7.7","86",".493",".499","$65,448,800",2018,NA
"570","Washington Nationals","1446.0","724","162","682","4.24","4.35","0.03","0.01","104.1","4.51","61","7.7","1.08","-1.2","19.4","166",".511",".503","$93,447,699",2018,NA
"571","Arizona Diamondbacks","1465.0","719","162","743","4.56","4.82","0.56","-0.01","101.1","4.30","-22","-1.2","1.20","-0.9","11.0","94",".498",".500","$67,385,200",2019,NA
"572","Atlanta Braves","1450.2","737","162","743","4.61","4.77","0.12","0.00","103.1","4.79","50","6.1","1.15","-1.4","17.7","164",".508",".503","$65,591,667",2019,NA
"573","Baltimore Orioles","1443.0","695","162","981","6.12","5.07","-0.25","-0.01","102.3","5.43","-110","-8.9","1.05","-0.6","4.8","46",".487",".499","$58,756,000",2019,NA
"574","Boston Red Sox","1471.0","794","162","828","5.07","4.96","0.02","-0.02","104.4","5.13","12","1.7","1.11","-0.6","15.7","171",".502",".502","$102,890,500",2019,NA
"575","Chicago Cubs","1442.0","738","162","717","4.48","4.79","0.19","0.01","100.2","4.61","43","4.7","1.17","-1.5","16.1","156",".506",".502","$146,933,500",2019,NA
"576","Chicago White Sox","1412.2","697","161","832","5.30","4.89","-0.15","0.01","99.8","5.04","-40","-2.9","1.00","-0.8","10.4","113",".496",".501","$38,565,000",2019,NA
"577","Cincinnati Reds","1438.0","697","162","711","4.45","4.86","0.24","0.01","105.0","4.86","86","9.7","1.22","-1.4","21.1","199",".514",".504","$49,726,785",2019,NA
"578","Cleveland Indians","1437.2","684","162","657","4.11","4.84","0.46","0.03","102.2","4.51","64","6.9","1.07","-2.0","19.1","220",".510",".502","$61,518,983",2019,NA
"579","Colorado Rockies","1448.2","752","162","958","5.95","4.86","0.22","-0.01","115.7","5.35","-75","-6.5","1.03","-1.4","5.1","39",".491",".499","$75,201,500",2019,NA
"580","Detroit Tigers","1433.0","738","161","915","5.75","5.00","-0.60","-0.02","103.0","5.75","1","1.0","1.06","-0.9","14.4","156",".501",".502","$46,369,200",2019,NA
"581","Houston Astros","1462.1","654","162","640","3.94","4.94","0.58","0.02","100.5","4.39","75","8.7","1.09","-0.2","23.0","233",".513",".504","$84,856,400",2019,NA
"582","Kansas City Royals","1425.0","682","162","869","5.49","4.92","-0.07","0.01","103.1","5.16","-52","-4.4","1.10","-0.8","9.0","103",".494",".500","$68,348,225",2019,NA
"583","Los Angeles Angels","1442.2","751","162","868","5.41","5.07","-0.09","-0.03","99.9","5.13","-44","-3.6","1.04","-1.7","9.1","112",".495",".500","$48,021,250",2019,NA
"584","Los Angeles Dodgers","1445.2","707","162","613","3.82","4.70","0.62","0.01","95.2","3.89","33","4.0","1.09","-1.1","15.8","147",".506",".501","$120,163,333",2019,NA
"585","Miami Marlins","1444.1","701","162","808","5.03","4.89","0.04","0.00","96.9","4.70","-32","-2.8","1.05","-1.5","8.7","81",".496",".499","$31,866,500",2019,NA
"586","Milwaukee Brewers","1459.1","750","162","766","4.72","4.85","0.22","-0.03","100.6","4.63","5","1.7","1.21","-0.3","14.6","120",".502",".501","$38,051,100",2019,NA
"587","Minnesota Twins","1463.1","686","162","754","4.64","4.71","-0.15","0.02","98.3","4.80","27","3.6","1.20","-1.1","17.0","185",".505",".502","$37,517,500",2019,NA
"588","New York Mets","1461.0","664","162","737","4.54","4.79","-0.14","0.03","93.3","4.62","34","4.5","1.16","-1.0","16.5","149",".507",".502","$47,303,466",2019,NA
"589","New York Yankees","1443.0","707","162","739","4.61","4.87","-0.01","-0.01","95.8","4.66","8","1.4","1.10","-0.7","15.1","164",".502",".502","$115,303,550",2019,NA
"590","Oakland Athletics","1465.0","709","162","680","4.18","4.95","0.03","0.02","93.4","4.60","70","7.6","1.27","-0.9","21.2","229",".511",".503","$58,067,500",2019,NA
"591","Philadelphia Phillies","1453.2","726","162","794","4.92","4.77","0.35","0.00","101.3","4.48","-50","-4.6","1.10","-0.6","7.9","64",".494",".500","$77,883,500",2019,NA
"592","Pittsburgh Pirates","1440.0","712","162","911","5.69","4.77","-0.24","-0.02","98.6","4.93","-101","-9.1",".99","0.1","3.8","12",".487",".500","$24,293,667",2019,NA
"593","San Diego Padres","1432.0","705","162","789","4.96","4.86","0.06","-0.02","95.9","4.57","-40","-3.4","1.19","-0.3","9.2","72",".495",".500","$26,913,700",2019,NA
"594","Seattle Mariners","1439.1","700","162","893","5.58","5.00","-0.30","0.01","94.3","5.01","-91","-8.0","1.07","-0.5","5.7","65",".489",".499","$72,528,000",2019,NA
"595","San Francisco Giants","1469.0","749","162","773","4.74","4.90","0.16","-0.01","95.6","4.52","-15","-0.8","1.25","0.0","12.5","101",".499",".501","$93,699,583",2019,NA
"596","St. Louis Cardinals","1444.0","704","162","662","4.13","4.77","0.39","0.00","95.6","4.19","32","3.7","1.16","-1.2","15.4","145",".505",".502","$63,155,100",2019,NA
"597","Tampa Bay Rays","1474.1","765","162","656","4.00","5.01","0.32","-0.03","94.5","4.41","67","7.0","1.27","-1.9","19.8","226",".509",".502","$25,192,100",2019,NA
"598","Texas Rangers","1438.0","661","162","878","5.50","5.06","-0.34","0.00","111.3","6.01","84","9.9",".98","-1.1","23.1","239",".515",".504","$46,549,666",2019,NA
"599","Toronto Blue Jays","1440.1","753","162","828","5.17","5.02","0.17","-0.03","98.2","4.73","-71","-5.3","1.00","-1.1","8.0","85",".493",".500","$36,349,100",2019,NA
"600","Washington Nationals","1439.1","692","162","724","4.53","4.72","0.10","0.03","101.5","4.72","51","7.2","1.10","-0.7","19.4","164",".510",".503","$123,512,661",2019,NA
"601","Arizona Diamondbacks","518.1","260","60","295","5.12","5.16","0.09","0.00","98.6","5.03","-6","0.1","1.07","-1.3","4.0","47",".500",".500","$30,625,000",2020,"0.03"
"602","Atlanta Braves","524.1","288","60","288","4.94","5.05","-0.10","-0.05","103.5","5.38","25","4.0","1.04","-0.9","8.3","79",".514",".502","$55,605,000",2020,"0.10"
"603","Baltimore Orioles","518.2","267","60","294","5.10","5.44","0.07","-0.01","105.5","5.78","35","4.1","1.24","-0.2","8.9","91",".515",".502","$19,390,000",2020,"0.12"
"604","Boston Red Sox","524.0","292","60","351","6.03","5.42","-0.02","-0.05","106.9","5.83","-16","-0.3","1.02","-0.9","3.9","41",".499",".500","$35,963,000",2020,"0.08"
"605","Chicago Cubs","518.1","248","60","240","4.17","4.36","0.38","0.03","102.8","4.18","0","0.6","1.06","-0.3","5.4","53",".503",".501","$96,975,000",2020,"0.07"
"606","Chicago White Sox","527.0","284","60","246","4.20","4.32","0.41","0.00","102.1","4.02","-15","-0.8","1.08","-0.6","3.8","42",".497",".500","$53,333,000",2020,"0.03"
"607","Cincinnati Reds","504.0","228","60","243","4.34","4.34","0.04","0.02","107.7","4.69","19","2.4","1.12","-0.5","6.9","71",".511",".501","$50,930,951",2020,"0.02"
"608","Cleveland Indians","536.0","241","60","209","3.51","4.52","0.39","0.05","100.1","4.28","41","4.8","1.27","-0.5","9.4","99",".520",".501","$23,058,334",2020,"0.08"
"609","Colorado Rockies","526.1","249","60","353","6.04","5.21","0.41","0.02","113.1","5.53","-30","-2.1","1.08","-0.7","2.4","24",".492",".500","$31,355,000",2020,"0.06"
"610","Detroit Tigers","492.1","276","58","318","5.81","4.51","-0.24","-0.03","102.4","4.88","-55","-4.8",".96","-0.5","-0.4","-2",".483",".499","$38,710,000",2020,"0.05"
"611","Houston Astros","524.0","253","60","275","4.72","4.87","0.21","0.02","99.0","4.84","2","0.8","1.37","-0.6","5.4","59",".503",".501","$97,750,000",2020,"0.19"
"612","Kansas City Royals","517.0","292","60","272","4.74","4.56","0.03","-0.01","105.1","4.78","-2","0.4",".98","-0.6","4.8","54",".501",".501","$35,050,000",2020,"0.03"
"613","Los Angeles Angels","525.1","288","60","321","5.50","4.86","-0.43","-0.01","101.1","5.46","-7","0.3","1.17","-1.2","4.2","50",".501",".500","$26,650,000",2020,"0.12"
"614","Los Angeles Dodgers","538.2","309","60","213","3.56","4.94","0.50","-0.02","97.1","4.39","49","5.2","1.12","-1.5","9.0","104",".517",".501","$79,808,333",2020,"0.11"
