"","Tm","IP","G","GS","R","RA9","RA9opp","RA9def","RA9role","PPFp","RA9avg","RAA","WAA","gmLI","WAAadj","WAR","RAR","waaWL%","162WL%","Salary","Year","RA9extras"
"63","Atlanta Braves","1467.1","630","161","565","3.47","4.56","0.47","0.00","100.6","4.11","101","11.1","1.24","-0.4","23.4","230",".518",".506","$42,410,367",2002,NA
"64","Baltimore Orioles","1450.2","569","162","773","4.80","5.01","0.27","-0.01","96.4","4.57","-43","-3.4","1.23","-0.8","11.0","125",".494",".501","$19,030,863",2002,NA
"65","Boston Red Sox","1446.0","500","162","665","4.14","4.83","0.39","0.01","100.9","4.49","51","6.2","1.14","-1.4","19.9","218",".512",".503","$52,373,333",2002,NA
"66","Chicago Cubs","1441.1","552","162","759","4.74","4.50","-0.35","0.01","98.5","4.77","1","1.5","1.03","-1.1","12.8","127",".503",".502","$27,313,333",2002,NA
"67","Chicago White Sox","1423.0","585","162","798","5.05","4.74","0.08","0.00","101.0","4.71","-59","-4.9","1.08","-1.1","8.9","105",".492",".500","$13,395,833",2002,NA
"68","Cincinnati Reds","1453.2","624","162","774","4.79","4.51","0.00","-0.03","104.0","4.66","-26","-2.0","1.14","-1.4","9.2","101",".497",".500","$13,774,667",2002,NA
"69","Cleveland Indians","1424.2","583","162","837","5.29","4.83","-0.31","0.00","99.3","5.10","-36","-1.8","1.02","-1.0","12.1","129",".497",".500","$37,593,448",2002,NA
"70","Colorado Rockies","1426.2","668","162","898","5.66","4.65","0.22","-0.01","115.1","5.09","-95","-9.1","1.04","-1.2","2.1","30",".486",".498","$31,025,376",2002,NA
"71","Detroit Tigers","1414.0","533","161","864","5.50","4.93","-0.26","0.00","96.0","4.98","-87","-7.1","1.14","-0.7","7.0","76",".487",".499","$21,795,500",2002,NA
"72","Florida Marlins","1456.1","623","162","763","4.72","4.48","-0.08","-0.01","97.3","4.43","-51","-4.7","1.12","-1.0","6.9","77",".492",".500","$11,358,250",2002,NA
"73","Houston Astros","1445.0","642","162","695","4.33","4.48","-0.27","-0.01","105.2","4.98","101","11.6","1.05","-0.6","23.6","227",".518",".506","$25,466,667",2002,NA
"74","Kansas City Royals","1441.0","583","162","891","5.56","4.91","-0.13","-0.01","110.3","5.54","-9","0.0","1.13","-1.3","13.8","157",".500",".501","$16,590,000",2002,NA
"75","Los Angeles Dodgers","1457.2","585","162","643","3.97","4.59","0.27","0.01","93.0","4.02","5","1.0","1.22","0.2","13.8","132",".502",".502","$41,482,619",2002,NA
"76","Milwaukee Brewers","1432.1","608","162","821","5.16","4.51","-0.09","-0.01","99.7","4.58","-96","-8.7",".96","-0.7","2.9","29",".486",".499","$12,260,000",2002,NA
"77","Minnesota Twins","1444.2","596","161","712","4.44","4.79","0.13","-0.02","100.0","4.64","27","3.1","1.23","0.0","18.2","193",".505",".504","$29,702,500",2002,NA
"78","Montreal Expos","1453.0","599","162","718","4.45","4.50","-0.08","0.00","101.9","4.67","32","3.9","1.31","-1.7","14.7","159",".507",".502","$11,707,500",2002,NA
"79","New York Mets","1442.2","612","161","703","4.39","4.55","-0.14","0.00","96.5","4.52","18","2.2","1.18","-0.8","13.8","144",".504",".502","$36,283,333",2002,NA
"80","New York Yankees","1452.0","495","161","697","4.32","4.81","-0.35","0.02","99.2","5.14","126","13.2","1.30","0.1","28.4","294",".527",".507","$60,407,219",2002,NA
"81","Oakland Athletics","1452.0","570","162","654","4.05","4.94","-0.04","0.02","96.9","4.85","122","13.2","1.35","-1.2","27.1","290",".523",".506","$13,330,000",2002,NA
"82","Philadelphia Phillies","1449.2","611","161","724","4.49","4.48","0.15","0.00","93.8","4.06","-74","-7.0","1.26","-1.8","3.8","53",".489",".498","$20,578,333",2002,NA
"83","Pittsburgh Pirates","1412.2","619","161","730","4.65","4.50","0.07","-0.01","103.1","4.56","-19","-1.6","1.19","-0.5","10.1","105",".497",".500","$11,775,667",2002,NA
"84","San Diego Padres","1436.1","621","162","815","5.11","4.64","-0.45","0.00","92.6","4.71","-68","-5.9","1.23","0.1","6.6","57",".490",".500","$16,235,000",2002,NA
"85","Seattle Mariners","1445.1","505","162","699","4.35","4.92","0.03","0.01","95.4","4.67","45","5.5","1.30","-0.5","20.0","212",".511",".505","$30,283,333",2002,NA
"86","San Francisco Giants","1437.1","579","162","616","3.86","4.54","0.24","0.02","94.9","4.10","35","3.9","1.18","-1.1","15.2","161",".507",".502","$32,200,667",2002,NA
"87","St. Louis Cardinals","1446.1","634","162","648","4.03","4.40","0.30","-0.01","98.3","4.01","-8","0.2","1.07","-1.0","11.7","119",".500",".501","$39,994,209",2002,NA
"88","Tampa Bay Devil Rays","1440.1","467","161","918","5.74","4.98","-0.05","0.00","99.7","5.01","-122","-11.3","1.12","-1.8","1.9","45",".476",".496","$13,528,000",2002,NA
"89","Texas Rangers","1439.2","649","162","882","5.51","4.93","-0.14","-0.02","105.6","5.34","-34","-2.4","1.32","-1.9","10.8","132",".496",".500","$30,104,803",2002,NA
"90","Toronto Blue Jays","1438.1","623","162","828","5.18","4.93","-0.05","-0.02","103.0","5.11","-18","-0.7","1.17","-1.4","13.0","149",".499",".501","$25,272,333",2002,NA
"91","Anaheim Angels","1431.1","537","162","743","4.67","4.89","0.13","-0.01","97.1","4.60","-9","-0.1",".98","-1.1","13.7","151",".500",".502","$37,001,667",2003,NA
"92","Arizona Diamondbacks","1455.0","614","162","685","4.24","4.63","-0.17","0.01","109.3","5.25","157","17.3","1.19","-0.8","29.0","291",".528",".506","$44,658,333",2003,NA
"93","Atlanta Braves","1456.1","651","162","740","4.57","4.62","0.21","0.00","99.4","4.39","-37","-3.4","1.11","-0.2","8.9","97",".495",".499","$47,487,167",2003,NA
"94","Baltimore Orioles","1449.2","588","163","820","5.09","5.10","-0.02","0.00","99.1","5.07","-1","0.7","1.42","-1.2","14.6","161",".501",".501","$21,812,500",2003,NA
