"Tm","Attendance","Attend/G","BatAge","PAge","BPF","PPF","#HOF","#A-S","#a-tA-S","Est. Payroll","Time","Managers","Year","Chall","Succ","Succ%"
"Minnesota Twins","2,034,243","25,114",27.6,27.9,102,102,1,2,13,"$56,186,000","2:43","Gardenhire",2005,NA,NA,NA
"New York Mets","2,829,929","34,937",28.8,31.9,97,97,3,3,13,"$101,305,821","2:50","Randolph",2005,NA,NA,NA
"New York Yankees","4,090,696","50,502",32.4,34.2,98,97,4,3,23,"$208,306,817","3:02","Torre",2005,NA,NA,NA
"Oakland Athletics","2,109,118","26,038",28.6,26.6,100,100,0,1,7,"$55,425,762","2:45","Macha",2005,NA,NA,NA
"Philadelphia Phillies","2,665,304","32,905",30,29.7,105,104,2,3,16,"$95,522,000","2:51","Manuel",2005,NA,NA,NA
"Pittsburgh Pirates","1,817,245","22,435",27.4,28.7,99,99,0,1,13,"$38,133,000","2:46","McClendon and Mackanin",2005,NA,NA,NA
"San Diego Padres","2,869,787","35,429",31.1,31,91,91,1,1,12,"$63,290,833","2:47","Bochy",2005,NA,NA,NA
"Seattle Mariners","2,725,459","33,648",28.7,31.4,95,96,2,1,21,"$87,754,334","2:47","Hargrove",2005,NA,NA,NA
"San Francisco Giants","3,181,023","39,272",32.2,30,101,101,0,1,11,"$90,199,500","2:46","Alou",2005,NA,NA,NA
"St. Louis Cardinals","3,538,988","43,691",30.8,29.7,101,100,2,6,14,"$92,106,833","2:48","La Russa",2005,NA,NA,NA
"Tampa Bay Devil Rays","1,141,669","14,095",27.5,27.4,98,100,0,1,6,"$29,679,067","2:48","Piniella",2005,NA,NA,NA
"Texas Rangers","2,525,221","31,176",27.9,30.5,106,105,0,4,17,"$55,849,000","2:52","Showalter",2005,NA,NA,NA
"Toronto Blue Jays","2,014,995","24,876",28,28.2,102,102,1,2,8,"$45,719,500","2:46","Gibbons",2005,NA,NA,NA
"Washington Nationals","2,731,993","33,728",29.3,28.9,95,96,0,2,14,"$48,581,500","2:55","Robinson",2005,NA,NA,NA
"Arizona Diamondbacks","2,091,685","25,823",29.7,28.8,105,105,0,1,14,"$59,984,226","2:52","Melvin",2006,NA,NA,NA
"Atlanta Braves","2,550,524","31,488",27.5,29.4,100,99,2,3,12,"$90,156,876","2:50","Cox",2006,NA,NA,NA
"Baltimore Orioles","2,153,139","26,582",30.4,27.9,99,99,0,1,9,"$72,585,582","2:53","Perlozzo",2006,NA,NA,NA
"Boston Red Sox","2,930,588","36,180",30.5,31.1,105,104,1,4,18,"$120,099,824","3:08","Francona",2006,NA,NA,NA
"Chicago Cubs","3,123,215","38,558",28.6,28,103,103,1,1,13,"$94,424,499","2:50","Baker",2006,NA,NA,NA
"Chicago White Sox","2,957,414","36,511",29.8,27.9,104,104,1,7,16,"$102,750,667","2:49","Guillén",2006,NA,NA,NA
"Cincinnati Reds","2,134,607","26,353",29.6,29.5,104,104,1,1,13,"$60,909,519","2:50","Narron",2006,NA,NA,NA
"Cleveland Indians","1,997,995","24,667",27.7,28.6,99,98,1,1,14,"$56,031,500","2:54","Wedge",2006,NA,NA,NA
"Colorado Rockies","2,104,362","25,980",27.8,28.8,109,109,1,2,10,"$41,233,000","2:51","Hurdle",2006,NA,NA,NA
"Detroit Tigers","2,595,937","32,049",29.3,28.8,100,99,1,3,15,"$82,612,866","2:46","Leyland",2006,NA,NA,NA
"Florida Marlins","1,164,134","14,372",25.5,25.9,95,96,0,2,6,"$14,671,500","2:51","Girardi",2006,NA,NA,NA
"Houston Astros","3,022,763","37,318",30.5,29.8,100,99,1,2,9,"$100,894,435","2:54","Garner",2006,NA,NA,NA
"Kansas City Royals","1,372,638","16,946",29.7,27.7,101,103,0,1,9,"$47,694,000","2:56","Bell",2006,NA,NA,NA
"Los Angeles Angels of Anaheim","3,406,790","42,059",28.8,27.9,100,99,1,1,15,"$103,472,000","2:48","Scioscia",2006,NA,NA,NA
"Los Angeles Dodgers","3,758,545","46,402",29.9,30.4,101,100,1,2,23,"$98,447,187","2:53","Little",2006,NA,NA,NA
"Milwaukee Brewers","2,335,643","28,835",28.8,28.3,101,101,0,3,13,"$57,970,333","2:52","Yost",2006,NA,NA,NA
"Minnesota Twins","2,285,018","28,210",28.3,26.9,98,98,1,3,17,"$63,396,006","2:46","Gardenhire",2006,NA,NA,NA
"New York Mets","3,379,535","41,723",30.2,32.2,98,97,3,6,15,"$101,584,963","2:54","Randolph",2006,NA,NA,NA
"New York Yankees","4,248,067","52,445",30.9,32.5,101,99,4,4,15,"$194,663,079","3:08","Torre",2006,NA,NA,NA
"Oakland Athletics","1,976,625","24,403",29.7,27,97,97,1,1,10,"$64,843,079","2:47","Macha",2006,NA,NA,NA
"Philadelphia Phillies","2,701,815","33,356",29.3,30.5,105,104,0,3,18,"$88,273,333","2:56","Manuel",2006,NA,NA,NA
"Pittsburgh Pirates","1,861,549","22,982",27.8,27,98,99,0,2,13,"$46,717,750","2:48","Tracy",2006,NA,NA,NA
