"...1","Batting Against...2","Batting Against...3","Batting Against...4","Batting Against...5","Batting Against...6","Pitching Ratios...7","Pitching Ratios...8","Pitching Ratios...9","Batted Ball...10","Batted Ball...11","Batted Ball...12","Batted Ball...13","Win Probability...14","Win Probability...15","Win Probability...16","Year","Batted Ball...14","Batted Ball...15","Win Probability...17","Win Probability...18"
"Anaheim Angels",".247",".314",".392",".706",".271","2.8%","16.4%","8.4%","26.3%","37.0%","29.3%","0.60","12.7","11.8%","140.8",2002,NA,NA,NA,NA
"Arizona Diamondbacks",".247",".305",".397",".702",".292","2.8%","21.5%","6.9%","26.7%","39.1%","25.8%","0.67","11.5","6.2%","81.5",2002,NA,NA,NA,NA
"Atlanta Braves",".240",".313",".364",".677",".275","2.0%","17.3%","9.0%","24.7%","42.9%","25.2%","0.79","20.3","9.5%","167.5",2002,NA,NA,NA,NA
"Baltimore Orioles",".266",".336",".435",".770",".288","3.3%","15.5%","8.8%","26.2%","41.3%","26.2%","0.72","-3.2","-0.2%","-7.2",2002,NA,NA,NA,NA
"Boston Red Sox",".246",".308",".385",".693",".284","2.4%","19.1%","7.1%","25.4%","41.4%","26.3%","0.72","8.5","5.0%","120.2",2002,NA,NA,NA,NA
"Chicago Cubs",".253",".331",".407",".738",".303","2.7%","21.4%","9.7%","28.4%","37.7%","24.8%","0.64","-7.9","-1.2%","-51.1",2002,NA,NA,NA,NA
"Chicago White Sox",".260",".330",".423",".753",".282","3.1%","15.4%","8.6%","25.2%","38.8%","28.1%","0.66","-2.9","-3.4%","-29.9",2002,NA,NA,NA,NA
"Cincinnati Reds",".269",".338",".426",".764",".297","2.8%","15.6%","8.7%","26.4%","40.8%","25.5%","0.72","0.2","-0.2%","-39.4",2002,NA,NA,NA,NA
"Cleveland Indians",".274",".348",".423",".771",".312","2.3%","16.9%","9.6%","27.4%","40.7%","25.6%","0.71","-6.7","-0.8%","-76.5",2002,NA,NA,NA,NA
"Colorado Rockies",".277",".349",".466",".816",".295","3.6%","14.5%","9.2%","27.1%","39.0%","26.3%","0.66","-8.4","-2.0%","-140.8",2002,NA,NA,NA,NA
"Detroit Tigers",".285",".343",".455",".798",".305","2.6%","12.8%","7.5%","27.4%","37.9%","27.3%","0.63","-11.4","-2.0%","-130.0",2002,NA,NA,NA,NA
"Florida Marlins",".262",".341",".415",".756",".300","2.4%","17.4%","10.0%","27.2%","37.9%","26.5%","0.64","0.3","-0.9%","-50.1",2002,NA,NA,NA,NA
"Houston Astros",".260",".330",".410",".740",".306","2.4%","19.7%","8.8%","27.7%","39.6%","24.1%","0.69","5.5","3.8%","44.2",2002,NA,NA,NA,NA
"Kansas City Royals",".281",".349",".464",".812",".299","3.3%","14.2%","9.0%","26.7%","38.3%","27.1%","0.64","-10.2","-1.7%","-81.1",2002,NA,NA,NA,NA
"Los Angeles Dodgers",".242",".315",".387",".702",".275","2.7%","18.4%","9.0%","25.6%","38.6%","27.5%","0.66","10.3","5.6%","52.7",2002,NA,NA,NA,NA
"Milwaukee Brewers",".268",".352",".442",".794",".296","3.1%","16.2%","10.5%","27.2%","37.5%","26.8%","0.64","-8.6","-1.0%","-116.7",2002,NA,NA,NA,NA
"Minnesota Twins",".261",".318",".421",".739",".288","3.0%","16.7%","7.2%","25.3%","34.5%","31.6%","0.54","12.1","3.7%","66.4",2002,NA,NA,NA,NA
"Montreal Expos",".265",".329",".421",".751",".301","2.6%","17.4%","8.1%","27.5%","41.5%","24.1%","0.74","-0.5","-2.2%","9.5",2002,NA,NA,NA,NA
"New York Mets",".256",".327",".403",".730",".292","2.6%","17.8%","8.7%","25.4%","39.0%","26.9%","0.67","2.2","2.0%","-1.7",2002,NA,NA,NA,NA
"New York Yankees",".256",".309",".395",".705",".295","2.3%","18.4%","6.5%","27.5%","38.9%","25.9%","0.66","12.4","4.8%","86.7",2002,NA,NA,NA,NA
"Oakland Athletics",".252",".315",".384",".699",".284","2.2%","16.6%","7.7%","25.7%","42.6%","24.7%","0.77","14.5","10.8%","122.7",2002,NA,NA,NA,NA
"Philadelphia Phillies",".252",".328",".401",".730",".286","2.5%","17.3%","9.2%","25.2%","42.7%","24.3%","0.78","-4.7","-2.7%","-28.0",2002,NA,NA,NA,NA
"Pittsburgh Pirates",".268",".342",".423",".765",".294","2.7%","15.0%","9.3%","26.5%","43.9%","22.7%","0.82","-1.3","0.6%","-21.9",2002,NA,NA,NA,NA
"San Diego Padres",".274",".346",".442",".788",".310","2.8%","17.5%","9.2%","28.4%","38.5%","25.7%","0.66","-11.3","-0.7%","-134.7",2002,NA,NA,NA,NA
"Seattle Mariners",".257",".315",".410",".724",".286","2.9%","17.4%","7.2%","27.4%","35.8%","29.5%","0.57","7.3","5.2%","66.2",2002,NA,NA,NA,NA
"San Francisco Giants",".251",".319",".372",".691",".286","1.9%","16.4%","8.6%","27.1%","37.1%","27.8%","0.62","8.4","6.2%","82.5",2002,NA,NA,NA,NA
"St. Louis Cardinals",".251",".323",".386",".709",".282","2.3%","16.5%","8.9%","27.0%","39.1%","26.5%","0.67","9.0","4.7%","67.9",2002,NA,NA,NA,NA
"Tampa Bay Devil Rays",".279",".357",".463",".820",".298","3.4%","14.4%","9.7%","28.1%","34.2%","29.9%","0.53","-16.0","-1.7%","-154.0",2002,NA,NA,NA,NA
"Texas Rangers",".272",".355",".451",".806",".301","3.0%","16.0%","10.4%","29.1%","38.4%","25.8%","0.64","-10.8","-2.5%","-85.8",2002,NA,NA,NA,NA
"Toronto Blue Jays",".269",".344",".431",".775",".297","2.8%","15.6%","9.3%","26.5%","39.2%","27.4%","0.67","-3.7","-2.7%","-38.3",2002,NA,NA,NA,NA
"League Average",".261",".331",".417",".748",".293","2.7%","16.8%","8.7%","26.7%","39.1%","26.5%","0.67","","","",2002,NA,NA,NA,NA
"",".261",".331",".417",".748",".293","2.7%","16.8%","8.7%","26.7%","39.1%","26.5%","0.67","","","",2002,NA,NA,NA,NA
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","WPA","cWPA","RE24",2002,NA,NA,NA,NA
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","WPA","cWPA","RE24",2003,NA,NA,NA,NA
"Anaheim Angels",".261",".327",".421",".748",".285","3.1%","15.9%","7.9%","20.0%","39.8%","29.5%","0.68","0.1","-0.9%","24.7",2003,NA,NA,NA,NA
"Arizona Diamondbacks",".250",".322",".388",".710",".299","2.4%","20.7%","8.4%","19.5%","46.0%","23.8%","0.91","14.0","6.6%","97.9",2003,NA,NA,NA,NA
"Atlanta Braves",".257",".327",".401",".728",".287","2.4%","15.9%","8.9%","18.6%","48.0%","25.1%","0.96","6.4","3.7%","12.1",2003,NA,NA,NA,NA
"Baltimore Orioles",".278",".346",".446",".792",".304","3.1%","15.4%","8.3%","18.2%","43.2%","29.6%","0.78","-3.6","-1.9%","-42.8",2003,NA,NA,NA,NA
"Boston Red Sox",".263",".327",".415",".742",".302","2.4%","18.0%","7.7%","15.8%","45.7%","29.4%","0.87","0.5","2.0%","1.0",2003,NA,NA,NA,NA
"Chicago Cubs",".241",".324",".372",".697",".297","2.3%","22.6%","9.9%","18.0%","47.1%","24.3%","0.95","11.9","12.0%","75.1",2003,NA,NA,NA,NA
"Chicago White Sox",".253",".322",".404",".725",".284","2.7%","17.4%","8.5%","18.6%","42.4%","28.7%","0.77","8.2","4.1%","68.8",2003,NA,NA,NA,NA
"Cincinnati Reds",".278",".349",".463",".812",".299","3.3%","14.5%","9.2%","22.2%","42.7%","25.7%","0.78","-10.8","-4.4%","-155.7",2003,NA,NA,NA,NA
"Cleveland Indians",".264",".329",".426",".755",".287","2.9%","15.1%","8.0%","17.9%","44.5%","27.4%","0.84","-2.8","-1.1%","2.0",2003,NA,NA,NA,NA
"Colorado Rockies",".290",".359",".470",".829",".310","3.1%","13.6%","8.7%","20.4%","44.3%","25.4%","0.83","-8.8","-3.6%","-106.2",2003,NA,NA,NA,NA
"Detroit Tigers",".286",".352",".461",".813",".299","3.1%","12.0%","8.7%","18.7%","43.5%","28.0%","0.80","-15.3","-0.9%","-171.2",2003,NA,NA,NA,NA
"Florida Marlins",".258",".325",".396",".722",".301","2.1%","18.4%","8.6%","17.8%","43.0%","28.4%","0.79","11.8","9.2%","50.3",2003,NA,NA,NA,NA
"Houston Astros",".248",".326",".397",".722",".285","2.6%","18.4%","9.2%","15.2%","46.6%","26.6%","0.92","8.8","8.5%","85.4",2003,NA,NA,NA,NA
"Kansas City Royals",".279",".348",".450",".798",".297","3.0%","13.6%","8.9%","18.7%","42.1%","28.9%","0.75","-1.4","-2.1%","-63.1",2003,NA,NA,NA,NA
"Los Angeles Dodgers",".234",".306",".354",".660",".285","2.1%","21.5%","8.8%","18.4%","48.2%","22.8%","0.99","20.6","11.8%","177.6",2003,NA,NA,NA,NA
"Milwaukee Brewers",".279",".348",".462",".810",".305","3.4%","16.0%","8.9%","20.8%","41.2%","26.4%","0.74","-11.8","-1.9%","-130.6",2003,NA,NA,NA,NA
"Minnesota Twins",".268",".319",".428",".747",".294","3.0%","16.0%","6.4%","16.6%","39.2%","32.7%","0.67","6.2","8.8%","37.3",2003,NA,NA,NA,NA
"Montreal Expos",".264",".327",".423",".750",".293","2.9%","16.7%","7.5%","18.4%","46.5%","25.8%","0.91","5.4","0.4%","40.8",2003,NA,NA,NA,NA
"New York Mets",".273",".345",".438",".783",".299","2.7%","14.6%","9.3%","17.5%","42.9%","28.9%","0.79","-4.0","-1.6%","-35.2",2003,NA,NA,NA,NA
