"...1","Batting Against...2","Batting Against...3","Batting Against...4","Batting Against...5","Batting Against...6","Pitching Ratios...7","Pitching Ratios...8","Pitching Ratios...9","Batted Ball...10","Batted Ball...11","Batted Ball...12","Batted Ball...13","Win Probability...14","Win Probability...15","Win Probability...16","Year","Batted Ball...14","Batted Ball...15","Win Probability...17","Win Probability...18"
"Arizona Diamondbacks",".263",".330",".419",".749",".303","2.7%","18.5%","8.4%","19.5%","42.4%","28.6%","0.78","-4.8","-0.7%","-45.7",2009,NA,NA,NA,NA
"Atlanta Braves",".254",".323",".390",".713",".305","1.9%","19.9%","8.5%","18.2%","44.8%","28.4%","0.86","8.0","3.0%","85.7",2009,NA,NA,NA,NA
"Baltimore Orioles",".288",".353",".476",".828",".309","3.4%","14.7%","8.6%","18.6%","42.2%","30.2%","0.75","-8.7","-1.7%","-102.8",2009,NA,NA,NA,NA
"Boston Red Sox",".267",".335",".422",".757",".313","2.7%","19.6%","8.4%","18.5%","40.7%","30.6%","0.71","8.4","9.0%","57.6",2009,NA,NA,NA,NA
"Chicago Cubs",".246",".324",".391",".715",".291","2.6%","20.6%","9.5%","16.9%","42.2%","29.6%","0.77","8.4","3.6%","67.8",2009,NA,NA,NA,NA
"Chicago White Sox",".261",".325",".414",".739",".297","2.8%","18.2%","8.2%","17.8%","44.1%","28.3%","0.82","6.0","1.2%","58.5",2009,NA,NA,NA,NA
"Cincinnati Reds",".258",".333",".418",".751",".287","3.0%","17.1%","9.2%","20.0%","41.5%","28.5%","0.74","4.1","0.5%","4.8",2009,NA,NA,NA,NA
"Cleveland Indians",".280",".351",".443",".793",".308","2.9%","15.5%","9.4%","18.9%","42.6%","29.0%","0.77","-11.3","-3.2%","-110.6",2009,NA,NA,NA,NA
"Colorado Rockies",".261",".328",".405",".733",".304","2.3%","18.7%","8.6%","19.6%","46.3%","25.3%","0.91","8.5","8.7%","42.7",2009,NA,NA,NA,NA
"Detroit Tigers",".263",".336",".422",".759",".296","2.9%","17.7%","9.5%","20.2%","42.4%","27.9%","0.76","6.1","3.0%","34.5",2009,NA,NA,NA,NA
"Florida Marlins",".257",".333",".408",".741",".304","2.5%","19.8%","9.5%","19.9%","42.3%","28.0%","0.77","-1.6","-2.4%","-37.0",2009,NA,NA,NA,NA
"Houston Astros",".275",".344",".440",".784",".317","2.8%","18.3%","8.8%","16.6%","45.3%","28.8%","0.87","-4.8","-2.0%","-63.7",2009,NA,NA,NA,NA
"Kansas City Royals",".269",".343",".422",".765",".310","2.7%","18.4%","9.6%","18.4%","43.0%","29.1%","0.79","-7.1","-1.4%","-86.7",2009,NA,NA,NA,NA
"Los Angeles Angels of Anaheim",".272",".338",".432",".770",".305","2.9%","17.0%","8.4%","17.1%","41.4%","31.4%","0.73","4.2","2.1%","9.7",2009,NA,NA,NA,NA
"Los Angeles Dodgers",".233",".312",".361",".673",".280","2.1%","20.6%","9.5%","17.3%","42.9%","27.8%","0.79","9.3","7.5%","106.5",2009,NA,NA,NA,NA
"Milwaukee Brewers",".268",".345",".450",".795",".299","3.3%","17.4%","9.6%","18.6%","42.0%","29.7%","0.76","-9.2","-5.4%","-108.9",2009,NA,NA,NA,NA
"Minnesota Twins",".272",".331",".431",".762",".303","3.0%","16.8%","7.4%","17.5%","41.1%","30.8%","0.71","2.8","3.4%","7.9",2009,NA,NA,NA,NA
"New York Mets",".264",".342",".418",".759",".297","2.5%","16.4%","9.8%","19.5%","41.8%","27.7%","0.75","-6.9","-1.9%","-56.3",2009,NA,NA,NA,NA
"New York Yankees",".251",".327",".408",".734",".292","2.9%","20.2%","9.2%","19.6%","42.5%","28.3%","0.76","9.4","5.9%","48.2",2009,NA,NA,NA,NA
"Oakland Athletics",".265",".329",".413",".742",".304","2.5%","18.0%","8.4%","18.2%","43.7%","29.1%","0.80","0.7","0.1%","8.9",2009,NA,NA,NA,NA
"Philadelphia Phillies",".265",".329",".427",".757",".300","3.0%","18.4%","7.8%","19.7%","40.2%","28.6%","0.70","-0.4","1.8%","18.7",2009,NA,NA,NA,NA
"Pittsburgh Pirates",".276",".346",".442",".788",".305","2.5%","15.0%","9.2%","17.1%","43.4%","29.9%","0.80","-10.2","-1.3%","-67.9",2009,NA,NA,NA,NA
"San Diego Padres",".258",".333",".406",".739",".298","2.7%","18.9%","9.6%","18.5%","42.4%","29.2%","0.77","-4.6","-2.0%","-80.6",2009,NA,NA,NA,NA
"Seattle Mariners",".247",".316",".394",".710",".274","2.8%","16.9%","8.7%","20.0%","40.9%","29.9%","0.71","9.2","3.3%","64.5",2009,NA,NA,NA,NA
"San Francisco Giants",".236",".314",".372",".686",".284","2.3%","21.3%","9.6%","18.5%","42.1%","28.8%","0.77","13.6","10.0%","111.9",2009,NA,NA,NA,NA
"St. Louis Cardinals",".258",".319",".386",".706",".296","2.0%","17.2%","7.6%","18.6%","49.1%","22.8%","1.02","6.9","5.7%","68.9",2009,NA,NA,NA,NA
"Tampa Bay Rays",".257",".324",".417",".741",".291","3.0%","18.3%","8.4%","20.9%","40.8%","29.2%","0.71","0.8","0.8%","10.6",2009,NA,NA,NA,NA
"Texas Rangers",".260",".331",".416",".747",".289","2.8%","16.5%","8.6%","20.7%","42.5%","27.4%","0.76","6.3","6.9%","46.6",2009,NA,NA,NA,NA
"Toronto Blue Jays",".270",".339",".434",".772",".310","2.9%","18.8%","8.8%","20.1%","44.4%","27.3%","0.82","-2.0","1.1%","8.6",2009,NA,NA,NA,NA
"Washington Nationals",".276",".352",".450",".802",".302","2.7%","14.4%","9.9%","20.6%","43.6%","26.3%","0.81","-17.8","-3.7%","-167.9",2009,NA,NA,NA,NA
"League Average",".262",".333",".418",".751",".299","2.7%","18.0%","8.9%","18.9%","42.8%","28.6%","0.78","","","",2009,NA,NA,NA,NA
"",".262",".333",".418",".751",".299","2.7%","18.0%","8.9%","18.9%","42.8%","28.6%","0.78","","","",2009,NA,NA,NA,NA
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","WPA","cWPA","RE24",2009,NA,NA,NA,NA
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","WPA","cWPA","RE24",2010,NA,NA,NA,NA
"Arizona Diamondbacks",".271",".340",".448",".788",".300","3.4%","17.1%","8.8%","19.7%","40.8%","29.7%","0.72","-11.2","-3.9%","-122.4",2010,NA,NA,NA,NA
"Atlanta Braves",".246",".314",".376",".690",".295","2.1%","20.5%","8.3%","17.0%","48.4%","26.2%","0.99","4.9","8.5%","61.7",2010,NA,NA,NA,NA
"Baltimore Orioles",".270",".336",".434",".770",".298","3.0%","16.1%","8.3%","17.8%","41.5%","30.9%","0.73","-7.4","-2.0%","-75.7",2010,NA,NA,NA,NA
"Boston Red Sox",".253",".327",".399",".726",".295","2.4%","19.3%","9.3%","18.9%","42.9%","28.5%","0.78","0.7","0.9%","-2.8",2010,NA,NA,NA,NA
"Chicago Cubs",".255",".334",".398",".732",".303","2.5%","20.1%","9.6%","18.5%","42.4%","29.1%","0.77","3.5","0.0%","-54.2",2010,NA,NA,NA,NA
"Chicago White Sox",".264",".325",".395",".720",".308","2.2%","18.6%","7.9%","18.7%","44.1%","28.1%","0.82","2.7","-0.1%","21.3",2010,NA,NA,NA,NA
"Cincinnati Reds",".254",".323",".396",".719",".292","2.6%","18.3%","8.5%","19.3%","42.7%","28.6%","0.77","3.5","3.1%","28.5",2010,NA,NA,NA,NA
"Cleveland Indians",".269",".342",".416",".758",".300","2.4%","15.5%","9.2%","18.3%","47.5%","26.6%","0.93","-6.0","-2.4%","-64.6",2010,NA,NA,NA,NA
"Colorado Rockies",".257",".326",".397",".724",".307","2.3%","20.1%","8.6%","21.1%","45.3%","24.2%","0.87","3.8","1.1%","30.6",2010,NA,NA,NA,NA
"Detroit Tigers",".262",".332",".400",".732",".299","2.3%","17.0%","8.7%","19.7%","43.4%","27.3%","0.79","-3.2","-2.0%","-25.1",2010,NA,NA,NA,NA
"Florida Marlins",".261",".331",".398",".728",".306","2.2%","18.8%","8.8%","19.0%","42.8%","28.1%","0.79","-1.3","-2.2%","-8.3",2010,NA,NA,NA,NA
"Houston Astros",".261",".330",".402",".732",".309","2.3%","19.5%","8.8%","17.6%","43.8%","29.2%","0.82","-0.8","-1.0%","-35.8",2010,NA,NA,NA,NA
"Kansas City Royals",".276",".342",".435",".777",".307","2.8%","16.3%","8.7%","19.8%","41.3%","29.2%","0.73","-8.4","-2.4%","-138.2",2010,NA,NA,NA,NA
"Los Angeles Angels of Anaheim",".256",".327",".403",".731",".295","2.4%","18.1%","9.0%","17.2%","42.3%","31.3%","0.76","5.7","0.8%","2.7",2010,NA,NA,NA,NA
"Los Angeles Dodgers",".244",".316",".378",".694",".292","2.2%","20.8%","8.8%","18.2%","43.9%","26.5%","0.82","5.6","2.4%","-4.3",2010,NA,NA,NA,NA
"Milwaukee Brewers",".267",".338",".427",".765",".313","2.7%","19.9%","9.2%","21.0%","41.2%","27.9%","0.73","-7.3","-3.4%","-104.3",2010,NA,NA,NA,NA
"Minnesota Twins",".266",".317",".417",".734",".302","2.5%","17.2%","6.3%","17.5%","44.5%","28.4%","0.83","4.9","4.4%","38.4",2010,NA,NA,NA,NA
"New York Mets",".260",".330",".394",".723",".301","2.2%","17.7%","8.7%","19.7%","43.6%","26.3%","0.82","6.7","2.4%","43.3",2010,NA,NA,NA,NA
"New York Yankees",".249",".322",".399",".721",".283","2.9%","18.9%","8.9%","17.8%","43.4%","29.3%","0.79","4.9","4.7%","41.5",2010,NA,NA,NA,NA
"Oakland Athletics",".245",".313",".379",".692",".277","2.6%","17.8%","8.5%","18.4%","45.3%","26.8%","0.86","6.4","1.8%","76.8",2010,NA,NA,NA,NA
"Philadelphia Phillies",".254",".311",".405",".716",".294","2.8%","19.4%","6.8%","18.5%","45.4%","26.4%","0.87","10.2","10.2%","79.2",2010,NA,NA,NA,NA
"Pittsburgh Pirates",".282",".348",".449",".798",".316","2.7%","16.3%","8.5%","18.2%","43.0%","28.9%","0.79","-13.0","-1.8%","-185.9",2010,NA,NA,NA,NA
"San Diego Padres",".240",".308",".368",".676",".289","2.3%","21.4%","8.5%","18.3%","44.6%","28.4%","0.84","15.0","17.0%","97.4",2010,NA,NA,NA,NA
"Seattle Mariners",".255",".313",".401",".714",".281","2.6%","16.0%","7.4%","20.1%","42.2%","28.3%","0.76","-1.8","-1.2%","-10.4",2010,NA,NA,NA,NA
"San Francisco Giants",".236",".313",".370",".683",".286","2.2%","21.6%","9.4%","17.6%","41.4%","29.4%","0.74","13.3","18.3%","120.7",2010,NA,NA,NA,NA
"St. Louis Cardinals",".256",".319",".387",".706",".296","2.2%","17.8%","7.8%","18.4%","48.7%","24.7%","0.99","4.8","2.3%","58.7",2010,NA,NA,NA,NA
"Tampa Bay Rays",".244",".308",".404",".711",".280","2.9%","19.5%","7.8%","18.4%","40.5%","31.2%","0.70","7.7","7.9%","56.3",2010,NA,NA,NA,NA
"Texas Rangers",".246",".319",".390",".709",".283","2.6%","19.0%","8.9%","17.7%","40.6%","31.3%","0.71","5.9","5.0%","63.5",2010,NA,NA,NA,NA
"Toronto Blue Jays",".255",".326",".405",".731",".299","2.4%","19.2%","8.7%","19.2%","45.0%","26.8%","0.84","1.8","-0.5%","-8.4",2010,NA,NA,NA,NA
"Washington Nationals",".266",".330",".410",".740",".302","2.4%","17.2%","8.2%","20.7%","42.8%","26.5%","0.78","-6.4","-2.1%","-48.8",2010,NA,NA,NA,NA
"League Average",".257",".325",".403",".728",".297","2.5%","18.5%","8.5%","18.8%","43.5%","28.1%","0.80","","","",2010,NA,NA,NA,NA
"",".257",".325",".403",".728",".297","2.5%","18.5%","8.5%","18.8%","43.5%","28.1%","0.80","","","",2010,NA,NA,NA,NA
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","WPA","cWPA","RE24",2010,NA,NA,NA,NA
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","WPA","cWPA","RE24",2011,NA,NA,NA,NA
"Arizona Diamondbacks",".257",".316",".409",".725",".290","2.6%","17.3%","7.2%","18.0%","41.0%","30.1%","0.73","5.6","3.3%","9.6",2011,NA,NA,NA,NA
"Atlanta Braves",".240",".310",".361",".671",".293","2.0%","21.4%","8.4%","16.4%","46.7%","28.4%","0.92","11.3","10.3%","73.0",2011,NA,NA,NA,NA
"Baltimore Orioles",".277",".341",".460",".801",".305","3.3%","16.5%","8.5%","17.1%","43.0%","31.2%","0.78","-9.7","-1.1%","-131.9",2011,NA,NA,NA,NA
"Boston Red Sox",".247",".322",".392",".714",".288","2.5%","19.4%","8.7%","16.3%","41.6%","30.9%","0.74","3.3","0.2%","9.2",2011,NA,NA,NA,NA
"Chicago Cubs",".262",".335",".413",".748",".307","2.6%","19.6%","9.3%","19.9%","42.1%","27.0%","0.77","-10.3","-3.3%","-92.9",2011,NA,NA,NA,NA
"Chicago White Sox",".261",".317",".397",".714",".306","2.4%","19.7%","7.1%","19.6%","43.7%","26.7%","0.81","8.2","3.1%","40.5",2011,NA,NA,NA,NA
"Cincinnati Reds",".255",".325",".415",".740",".286","3.0%","17.8%","8.6%","18.6%","44.2%","27.5%","0.83","-6.0","-3.3%","-40.9",2011,NA,NA,NA,NA
"Cleveland Indians",".263",".323",".413",".737",".295","2.5%","16.4%","7.4%","19.0%","45.2%","26.8%","0.85","0.7","2.2%","-59.6",2011,NA,NA,NA,NA
"Colorado Rockies",".265",".331",".431",".763",".301","2.8%","18.0%","8.4%","18.1%","45.5%","27.1%","0.87","-4.1","-1.4%","-51.4",2011,NA,NA,NA,NA
"Detroit Tigers",".257",".321",".396",".717",".295","2.4%","18.3%","8.1%","18.0%","44.4%","28.7%","0.82","7.0","5.0%","9.8",2011,NA,NA,NA,NA
"Florida Marlins",".253",".316",".401",".718",".297","2.4%","19.7%","8.1%","19.5%","43.8%","26.7%","0.82","-3.6","-1.7%","-34.1",2011,NA,NA,NA,NA
"Houston Astros",".266",".337",".432",".770",".307","3.0%","19.0%","8.9%","19.4%","42.7%","28.2%","0.78","-16.6","-3.2%","-150.4",2011,NA,NA,NA,NA
"Kansas City Royals",".267",".337",".425",".762",".303","2.6%","17.2%","8.9%","17.2%","43.4%","29.6%","0.80","-6.6","-1.8%","-41.7",2011,NA,NA,NA,NA
"Los Angeles Angels of Anaheim",".251",".313",".388",".700",".285","2.3%","17.3%","7.8%","15.9%","44.4%","30.2%","0.83","8.2","5.4%","63.4",2011,NA,NA,NA,NA
"Los Angeles Dodgers",".241",".310",".371",".681",".290","2.2%","21.1%","8.5%","17.6%","42.3%","28.6%","0.77","4.1","-1.5%","32.3",2011,NA,NA,NA,NA
"Milwaukee Brewers",".246",".304",".385",".689",".292","2.4%","20.8%","7.3%","19.2%","44.2%","27.5%","0.83","4.8","2.5%","35.8",2011,NA,NA,NA,NA
"Minnesota Twins",".281",".340",".435",".775",".310","2.6%","15.1%","7.7%","17.0%","43.9%","29.9%","0.81","-9.2","-1.3%","-100.1",2011,NA,NA,NA,NA
"New York Mets",".265",".332",".411",".743",".306","2.3%","17.8%","8.1%","17.2%","45.2%","27.1%","0.88","-10.2","-2.7%","-87.9",2011,NA,NA,NA,NA
"New York Yankees",".256",".322",".399",".721",".300","2.5%","19.7%","8.2%","18.9%","44.3%","28.1%","0.82","10.9","8.3%","86.5",2011,NA,NA,NA,NA
"Oakland Athletics",".250",".317",".378",".696",".292","2.2%","18.8%","8.4%","18.8%","43.4%","26.9%","0.79","4.6","2.3%","29.7",2011,NA,NA,NA,NA
"Philadelphia Phillies",".240",".296",".361",".657",".292","2.0%","21.4%","6.7%","17.7%","45.7%","24.7%","0.89","18.8","10.8%","147.7",2011,NA,NA,NA,NA
"Pittsburgh Pirates",".270",".338",".409",".747",".305","2.4%","16.3%","8.5%","19.0%","44.9%","26.5%","0.86","-6.0","0.6%","-66.3",2011,NA,NA,NA,NA
"San Diego Padres",".245",".314",".375",".689",".287","2.1%","18.8%","8.6%","18.4%","43.4%","27.6%","0.81","2.9","0.7%","31.4",2011,NA,NA,NA,NA
"Seattle Mariners",".251",".310",".386",".696",".287","2.4%","18.1%","7.3%","18.9%","43.4%","28.0%","0.80","-1.4","2.0%","-0.3",2011,NA,NA,NA,NA
"San Francisco Giants",".232",".309",".346",".655",".288","1.6%","21.5%","9.1%","17.7%","45.6%","26.7%","0.89","10.4","7.9%","69.2",2011,NA,NA,NA,NA
"St. Louis Cardinals",".261",".319",".398",".717",".300","2.2%","17.7%","7.2%","19.6%","46.7%","25.3%","0.92","-5.8","-8.0%","-31.2",2011,NA,NA,NA,NA
"Tampa Bay Rays",".234",".303",".383",".686",".267","2.7%","19.0%","8.4%","17.4%","41.6%","30.3%","0.73","6.3","5.1%","83.2",2011,NA,NA,NA,NA
"Texas Rangers",".244",".307",".392",".698",".280","2.8%","19.6%","7.7%","17.5%","42.5%","29.6%","0.77","6.8","5.5%","66.5",2011,NA,NA,NA,NA
"Toronto Blue Jays",".256",".328",".419",".747",".293","2.9%","18.6%","8.6%","18.8%","43.6%","28.5%","0.80","-0.7","-0.4%","-20.1",2011,NA,NA,NA,NA
"Washington Nationals",".256",".319",".382",".701",".293","2.1%","17.1%","7.8%","19.8%","43.5%","26.9%","0.81","4.8","0.1%","19.0",2011,NA,NA,NA,NA
"League Average",".255",".321",".399",".720",".295","2.5%","18.6%","8.1%","18.2%","43.9%","28.1%","0.82","","","",2011,NA,NA,NA,NA
"",".255",".321",".399",".720",".295","2.5%","18.6%","8.1%","18.2%","43.9%","28.1%","0.82","","","",2011,NA,NA,NA,NA
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","WPA","cWPA","RE24",2011,NA,NA,NA,NA
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","WPA","cWPA","RE24",2012,NA,NA,NA,NA
"Arizona Diamondbacks",".261",".317",".415",".732",".306","2.6%","19.8%","6.9%","18.2%","44.8%","27.6%","0.86","-1.1","-0.5%","2.6",2012,NA,NA,NA,NA
"Atlanta Braves",".243",".306",".378",".684",".288","2.4%","20.6%","7.7%","18.5%","46.1%","27.4%","0.90","10.7","5.4%","95.6",2012,NA,NA,NA,NA
"Baltimore Orioles",".252",".315",".403",".718",".287","2.9%","18.8%","7.7%","17.6%","44.4%","28.6%","0.83","11.9","13.2%","34.4",2012,NA,NA,NA,NA
"Boston Red Sox",".262",".331",".428",".759",".298","3.1%","18.9%","8.5%","18.5%","46.1%","27.0%","0.88","-10.1","-2.6%","-81.4",2012,NA,NA,NA,NA
"Chicago Cubs",".259",".335",".424",".759",".296","2.9%","18.4%","9.3%","19.8%","42.6%","27.5%","0.78","-10.1","-1.6%","-86.6",2012,NA,NA,NA,NA
"Chicago White Sox",".250",".319",".405",".724",".290","3.1%","20.4%","8.3%","19.4%","42.4%","28.8%","0.76","3.5","0.9%","50.8",2012,NA,NA,NA,NA
"Cincinnati Reds",".247",".305",".390",".695",".291","2.5%","20.6%","7.1%","19.7%","45.2%","25.5%","0.85","12.0","6.2%","109.9",2012,NA,NA,NA,NA
"Cleveland Indians",".268",".336",".430",".766",".302","2.8%","17.3%","8.6%","19.0%","45.6%","27.2%","0.86","-10.4","-3.6%","-153.4",2012,NA,NA,NA,NA
"Colorado Rockies",".290",".357",".470",".827",".331","3.1%","17.9%","8.9%","21.8%","43.7%","25.1%","0.82","-16.3","-3.6%","-160.4",2012,NA,NA,NA,NA
"Detroit Tigers",".256",".314",".402",".716",".310","2.5%","21.8%","7.3%","18.6%","43.4%","27.8%","0.79","4.8","6.2%","53.8",2012,NA,NA,NA,NA
"Houston Astros",".270",".337",".427",".765",".312","2.8%","18.8%","8.7%","18.2%","46.7%","26.0%","0.92","-12.4","-1.4%","-119.4",2012,NA,NA,NA,NA
"Kansas City Royals",".270",".339",".423",".762",".314","2.6%","18.8%","8.7%","18.0%","42.6%","29.3%","0.77","-0.7","-0.9%","-24.4",2012,NA,NA,NA,NA
"Los Angeles Angels of Anaheim",".246",".310",".403",".713",".279","3.1%","19.2%","8.0%","17.1%","43.8%","30.0%","0.80","-0.9","-3.0%","-13.0",2012,NA,NA,NA,NA
"Los Angeles Dodgers",".238",".310",".364",".675",".288","2.0%","21.0%","8.9%","18.0%","44.6%","26.7%","0.85","8.1","4.8%","74.2",2012,NA,NA,NA,NA
"Miami Marlins",".263",".327",".399",".726",".305","2.2%","18.0%","8.0%","20.3%","43.8%","26.6%","0.82","-4.1","-0.2%","-34.0",2012,NA,NA,NA,NA
"Milwaukee Brewers",".261",".326",".414",".740",".318","2.7%","22.5%","8.4%","21.3%","43.3%","27.0%","0.80","-4.6","-1.9%","-30.6",2012,NA,NA,NA,NA
"Minnesota Twins",".274",".333",".442",".775",".296","3.2%","15.2%","7.5%","17.4%","45.7%","28.8%","0.86","-10.8","-2.5%","-128.8",2012,NA,NA,NA,NA
"New York Mets",".251",".315",".401",".716",".295","2.7%","20.4%","8.0%","18.6%","41.7%","28.3%","0.75","-6.0","-5.5%","-42.9",2012,NA,NA,NA,NA
"New York Yankees",".253",".311",".419",".730",".298","3.1%","21.7%","7.1%","18.6%","44.7%","27.2%","0.83","5.4","5.9%","58.6",2012,NA,NA,NA,NA
"Oakland Athletics",".245",".306",".378",".684",".282","2.4%","18.5%","7.5%","19.4%","41.3%","28.1%","0.73","12.0","8.8%","93.0",2012,NA,NA,NA,NA
"Philadelphia Phillies",".251",".306",".407",".713",".303","2.9%","22.8%","6.7%","18.8%","42.3%","28.2%","0.77","0.6","-1.0%","15.8",2012,NA,NA,NA,NA
"Pittsburgh Pirates",".249",".314",".390",".703",".290","2.5%","19.6%","8.0%","18.6%","45.8%","27.0%","0.89","0.6","-0.1%","-7.9",2012,NA,NA,NA,NA
"San Diego Padres",".248",".319",".398",".718",".289","2.6%","19.6%","8.8%","17.9%","46.5%","26.1%","0.91","-4.7","-1.1%","-61.7",2012,NA,NA,NA,NA
"Seattle Mariners",".248",".308",".394",".702",".284","2.7%","19.2%","7.4%","19.1%","42.5%","28.5%","0.77","4.9","-0.5%","35.3",2012,NA,NA,NA,NA
"San Francisco Giants",".248",".313",".393",".706",".294","2.3%","20.2%","8.0%","18.7%","44.6%","27.1%","0.85","3.9","3.1%","1.6",2012,NA,NA,NA,NA
"St. Louis Cardinals",".255",".313",".387",".700",".302","2.2%","19.8%","7.1%","19.4%","47.6%","24.4%","0.96","2.6","0.7%","39.6",2012,NA,NA,NA,NA
"Tampa Bay Rays",".228",".294",".352",".646",".279","2.3%","23.1%","7.8%","16.8%","47.7%","26.6%","0.94","14.0","8.9%","129.6",2012,NA,NA,NA,NA
"Texas Rangers",".250",".309",".408",".716",".294","2.9%","21.2%","7.4%","19.1%","43.7%","27.9%","0.79","8.9","0.5%","29.9",2012,NA,NA,NA,NA
"Toronto Blue Jays",".261",".335",".438",".772",".294","3.3%","18.4%","9.2%","18.9%","45.8%","25.8%","0.88","-3.6","-2.3%","-61.7",2012,NA,NA,NA,NA
"Washington Nationals",".237",".303",".373",".676",".287","2.1%","21.6%","8.1%","19.6%","44.7%","26.4%","0.86","11.1","7.9%","109.3",2012,NA,NA,NA,NA
"League Average",".255",".319",".405",".724",".297","2.7%","19.8%","8.0%","18.8%","44.5%","27.3%","0.83","","","",2012,NA,NA,NA,NA
"",".255",".319",".405",".724",".297","2.7%","19.8%","8.0%","18.8%","44.5%","27.3%","0.83","","","",2012,NA,NA,NA,NA
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","WPA","cWPA","RE24",2012,NA,NA,NA,NA
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","WPA","cWPA","RE24",2013,NA,NA,NA,NA
"Arizona Diamondbacks",".257",".320",".411",".731",".296","2.8%","19.2%","7.7%","24.0%","45.3%","21.4%","0.87","-0.5","-1.5%","-28.8",2013,NA,NA,NA,NA
"Atlanta Braves",".244",".301",".370",".671",".292","2.1%","20.6%","6.8%","23.1%","45.2%","23.0%","0.86","9.4","3.6%","101.5",2013,NA,NA,NA,NA
"Baltimore Orioles",".259",".321",".428",".749",".293","3.3%","19.0%","7.7%","22.4%","42.1%","25.9%","0.76","-3.8","-3.2%","-4.0",2013,NA,NA,NA,NA
"Boston Red Sox",".248",".316",".393",".710",".295","2.5%","21.1%","8.5%","21.8%","42.7%","26.2%","0.77","4.8","4.6%","53.0",2013,NA,NA,NA,NA
"Chicago Cubs",".244",".318",".400",".718",".283","2.6%","19.3%","8.8%","23.0%","42.1%","25.1%","0.76","-7.6","-1.9%","-40.8",2013,NA,NA,NA,NA
"Chicago White Sox",".256",".322",".408",".730",".297","2.9%","20.1%","8.2%","21.2%","43.4%","25.8%","0.79","-2.4","0.4%","-12.3",2013,NA,NA,NA,NA
"Cincinnati Reds",".236",".298",".384",".683",".278","2.8%","21.3%","7.2%","26.5%","43.7%","20.4%","0.81","8.3","5.6%","69.4",2013,NA,NA,NA,NA
"Cleveland Indians",".249",".322",".386",".708",".305","2.4%","22.4%","9.0%","23.4%","44.3%","23.4%","0.83","3.2","1.5%","17.9",2013,NA,NA,NA,NA
"Colorado Rockies",".277",".340",".423",".763",".318","2.2%","17.0%","8.3%","25.1%","46.6%","20.4%","0.91","-5.5","-2.0%","-69.7",2013,NA,NA,NA,NA
"Detroit Tigers",".247",".308",".373",".681",".308","2.1%","23.3%","7.6%","20.9%","45.3%","25.0%","0.86","8.3","6.2%","85.8",2013,NA,NA,NA,NA
"Houston Astros",".272",".347",".445",".792",".305","3.0%","17.0%","9.7%","21.7%","44.0%","24.9%","0.81","-14.2","-2.0%","-162.6",2013,NA,NA,NA,NA
"Kansas City Royals",".250",".311",".387",".699",".292","2.6%","20.0%","7.8%","23.1%","41.7%","26.3%","0.73","9.8","2.2%","107.2",2013,NA,NA,NA,NA
"Los Angeles Angels of Anaheim",".261",".328",".408",".736",".303","2.7%","19.1%","8.5%","23.7%","41.7%","24.9%","0.74","-5.3","-2.0%","-58.6",2013,NA,NA,NA,NA
"Los Angeles Dodgers",".243",".306",".365",".670",".295","2.1%","21.4%","7.6%","23.6%","46.9%","20.6%","0.92","8.0","5.5%","50.3",2013,NA,NA,NA,NA
"Miami Marlins",".251",".319",".384",".703",".297","2.0%","19.1%","8.5%","22.8%","44.8%","23.9%","0.85","2.6","-0.7%","6.5",2013,NA,NA,NA,NA
"Milwaukee Brewers",".255",".317",".397",".713",".290","2.9%","18.4%","7.6%","23.5%","44.3%","23.4%","0.83","-8.0","-3.6%","-37.1",2013,NA,NA,NA,NA
"Minnesota Twins",".280",".336",".434",".770",".311","2.7%","15.7%","7.3%","22.3%","43.8%","25.1%","0.80","-7.9","-2.2%","-86.6",2013,NA,NA,NA,NA
"New York Mets",".256",".316",".393",".709",".299","2.4%","19.4%","7.3%","21.6%","44.1%","25.0%","0.83","-3.5","-2.8%","-47.7",2013,NA,NA,NA,NA
"New York Yankees",".261",".318",".413",".731",".305","2.8%","20.1%","7.1%","21.9%","44.1%","26.3%","0.81","6.9","2.9%","25.6",2013,NA,NA,NA,NA
"Oakland Athletics",".242",".299",".379",".678",".278","2.7%","19.5%","7.1%","23.1%","39.3%","26.6%","0.67","8.4","6.8%","63.2",2013,NA,NA,NA,NA
"Philadelphia Phillies",".265",".331",".415",".746",".310","2.5%","19.3%","8.1%","23.0%","44.1%","22.7%","0.83","-5.1","-1.8%","-114.4",2013,NA,NA,NA,NA
