"...1","Batting...2","Batting...3","Batting...4","Batting...5","Batting Ratios...6","Batting Ratios...7","Batting Ratios...8","Batted Ball...9","Batted Ball...10","Batted Ball...11","Batted Ball...12","Batted Ball...13","Batted Ball...14","Batted Ball...15","Win Probability...16","Win Probability...17","Win Probability...18","Baserunning...19","Baserunning...20","Baserunning...21","Year","Batted Ball...16","Batted Ball...17","Win Probability...19","Win Probability...20","Baserunning...22","Baserunning...23"
"Toronto Blue Jays",".345","113",".296",".200","4.3%","20.1%","8.2%","90.0","42.6%","24.5%","40.5%","27.1%","0.69","28.7%",NA,NA,"3.1",NA,NA,"33%",2021,"53.8%","17.6%","2.5%","96.8","80%","41%"
"Washington Nationals",".335","109",".307",".159","3.0%","21.3%","9.4%","87.6","39.4%","24.2%","47.0%","21.9%","0.92","26.4%",NA,NA,"-1.9",NA,NA,"29%",2021,"55.7%","17.9%","-1.1%","13.5","68%","36%"
"League Average",".321","97",".292",".167","3.3%","23.2%","8.7%","88.1","38.8%","23.6%","42.7%","25.7%","0.76","28.6%",NA,NA,"-3",NA,NA,"31%",2021,"53.8%","17.6%","-1%","-10","76%","40%"
"",".321","97",".292",".167","3.3%","23.2%","8.7%","88.1","38.8%","23.6%","42.7%","25.7%","0.76","28.6%",NA,NA,"-76.2",NA,NA,"31%",2021,"53.8%","17.6%","-15.4%","-292.7","76%","40%"
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","EV","HardH%","LD%","GB%","FB%","GB/FB","Pull%",NA,NA,"WPA",NA,NA,"RS%",2021,"Cent%","Oppo%","cWPA","RE24","SB%","XBT%"
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","EV","HardH%","LD%","GB%","FB%","GB/FB","Pull%",NA,NA,"WPA",NA,NA,"RS%",2022,"Cent%","Oppo%","cWPA","RE24","SB%","XBT%"
"Arizona Diamondbacks",".309","94",".272",".155","2.9%","22.3%","8.8%","87.1","36.0%","21.8%","43.9%","25.7%","0.81","32.7%",NA,NA,"-2.2",NA,NA,"32%",2022,"50.4%","16.9%","-1.2%","-11.0","78%","49%"
"Atlanta Braves",".334","108",".303",".190","4.0%","24.6%","7.7%","89.8","43.6%","23.0%","42.2%","27.6%","0.73","30.5%",NA,NA,"5.7",NA,NA,"32%",2022,"52.9%","16.6%","3.3%","64.9","74%","50%"
"Baltimore Orioles",".313","100",".284",".154","2.8%","23.0%","7.9%","88.0","39.2%","24.2%","38.9%","26.3%","0.65","30.5%",NA,NA,"-1.7",NA,NA,"30%",2022,"52.0%","17.5%","-1.4%","-14.1","75%","45%"
"Boston Red Sox",".325","101",".313",".152","2.5%","22.4%","7.8%","89.0","41.0%","25.3%","43.5%","24.1%","0.78","26.3%",NA,NA,"-3.1",NA,NA,"32%",2022,"54.2%","19.5%","-2.1%","17.9","72%","38%"
"Chicago Cubs",".314","94",".294",".148","2.6%","23.9%","8.4%","87.8","37.7%","23.2%","45.8%","23.6%","0.86","28.9%",NA,NA,"-12.4",NA,NA,"29%",2022,"51.3%","19.7%","-2.5%","-85.9","75%","44%"
"Chicago White Sox",".313","97",".304",".131","2.4%","20.7%","6.3%","88.9","41.0%","24.1%","45.3%","24.0%","0.84","27.1%",NA,NA,"-2.2",NA,NA,"30%",2022,"52.4%","20.6%","-1.2%","-21.3","85%","37%"
"Cincinnati Reds",".302","83",".290",".137","2.6%","23.9%","7.6%","86.8","35.0%","23.7%","43.3%","24.8%","0.78","30.2%",NA,NA,"-13.8",NA,NA,"29%",2022,"51.3%","18.5%","-1.9%","-90.6","64%","39%"
"Cleveland Guardians",".313","100",".294",".129","2.1%","18.2%","7.3%","86.7","33.3%","24.7%","44.1%","22.6%","0.80","28.0%",NA,NA,"0.7",NA,NA,"31%",2022,"52.6%","19.3%","0.1%","-1.2","82%","43%"
"Colorado Rockies",".318","90",".307",".144","2.4%","21.8%","7.4%","87.4","37.0%","24.5%","46.4%","23.3%","0.88","26.5%",NA,NA,"-6.8",NA,NA,"30%",2022,"54.2%","19.3%","-0.3%","-57.7","69%","43%"
"Detroit Tigers",".285","81",".290",".115","1.9%","24.1%","6.5%","87.3","36.7%","24.2%","44.5%","23.7%","0.81","28.8%",NA,NA,"-10.6",NA,NA,"28%",2022,"51.2%","20.0%","-2.2%","-128.0","66%","44%"
"Houston Astros",".329","110",".278",".176","3.5%","19.5%","8.7%","88.2","39.2%","23.8%","40.6%","28.3%","0.69","30.0%",NA,NA,"5.1",NA,NA,"30%",2022,"53.3%","16.7%","2.6%","57.7","79%","37%"
"Kansas City Royals",".308","93",".293",".136","2.3%","21.4%","7.7%","88.1","37.9%","23.8%","41.4%","27.2%","0.72","29.6%",NA,NA,"-8.3",NA,NA,"29%",2022,"52.0%","18.3%","-2.3%","-55.4","75%","46%"
"Los Angeles Angels",".305","91",".289",".157","3.2%","25.8%","7.5%","87.3","35.9%","23.2%","40.4%","27.4%","0.70","29.0%",NA,NA,"-11.5",NA,NA,"27%",2022,"53.0%","18.0%","-1.1%","-81.2","74%","41%"
"Los Angeles Dodgers",".344","115",".302",".185","3.4%","22.0%","9.7%","89.3","42.0%","24.9%","37.1%","31.6%","0.59","32.0%",NA,NA,"12.1",NA,NA,"34%",2022,"50.5%","17.5%","4.4%","132.5","84%","40%"
"Miami Marlins",".299","85",".284",".133","2.4%","24.0%","7.3%","87.9","37.4%","23.6%","44.5%","25.5%","0.81","27.3%",NA,NA,"-12.8",NA,NA,"27%",2022,"53.4%","19.3%","-2.5%","-134.0","81%","38%"
"Milwaukee Brewers",".322","102",".279",".174","3.6%","23.9%","9.4%","88.7","39.9%","22.7%","42.0%","27.9%","0.73","30.2%",NA,NA,"0.6",NA,NA,"29%",2022,"52.7%","17.1%","-1.2%","1.7","76%","40%"
"Minnesota Twins",".321","106",".295",".153","2.9%","22.1%","8.5%","89.3","41.2%","24.4%","41.8%","27.5%","0.72","30.2%",NA,NA,"-4.3",NA,NA,"29%",2022,"51.8%","18.0%","-0.6%","2.3","69%","40%"
"New York Mets",".331","113",".302",".153","2.8%","19.7%","8.3%","87.7","37.2%","24.2%","43.9%","24.6%","0.80","28.8%",NA,NA,"7.1",NA,NA,"31%",2022,"52.3%","18.9%","4.3%","81.6","74%","38%"
"New York Yankees",".335","113",".276",".185","4.1%","22.5%","10.1%","89.3","42.0%","23.2%","41.2%","27.4%","0.71","29.2%",NA,NA,"4.4",NA,NA,"31%",2022,"52.0%","18.9%","3.0%","105.0","76%","38%"
"Oakland Athletics",".283","83",".264",".130","2.3%","23.7%","7.4%","86.9","34.3%","22.9%","44.4%","24.4%","0.82","29.4%",NA,NA,"-12.1",NA,NA,"28%",2022,"51.4%","19.2%","-2.3%","-103.6","77%","44%"
"Philadelphia Phillies",".329","108",".299",".169","3.4%","22.4%","7.9%","88.9","41.3%","23.7%","42.8%","25.7%","0.76","28.2%",NA,NA,"3.6",NA,NA,"31%",2022,"51.7%","20.2%","0.8%","43.2","79%","39%"
"Pittsburgh Pirates",".295","84",".277",".141","2.7%","25.3%","8.1%","87.6","37.5%","23.1%","44.0%","25.1%","0.80","30.5%",NA,NA,"-11.3",NA,NA,"27%",2022,"52.0%","17.6%","-2.0%","-118.7","74%","42%"
"San Diego Padres",".314","104",".289",".141","2.5%","21.5%","9.3%","87.8","37.9%","23.5%","42.6%","25.5%","0.76","30.4%",NA,NA,"-1.7",NA,NA,"30%",2022,"50.9%","18.7%","0.2%","6.0","69%","44%"
"Seattle Mariners",".317","107",".272",".160","3.2%","22.8%","9.7%","87.9","36.9%","23.2%","40.2%","27.7%","0.68","30.2%",NA,NA,"1.0",NA,NA,"28%",2022,"52.4%","17.5%","-0.7%","15.9","75%","38%"
"San Francisco Giants",".316","100",".284",".156","3.0%","23.9%","9.3%","87.6","37.8%","22.7%","39.9%","28.4%","0.68","30.9%",NA,NA,"-1.4",NA,NA,"30%",2022,"50.9%","18.2%","-0.9%","7.7","80%","36%"
"St. Louis Cardinals",".332","113",".289",".168","3.2%","19.9%","8.7%","87.9","37.5%","23.3%","41.4%","26.3%","0.71","30.4%",NA,NA,"1.6",NA,NA,"31%",2022,"51.9%","17.6%","0.2%","70.5","79%","46%"
"Tampa Bay Rays",".307","99",".295",".138","2.3%","23.2%","8.3%","88.6","38.9%","24.4%","44.1%","23.0%","0.80","29.1%",NA,NA,"-4.8",NA,NA,"30%",2022,"51.8%","19.2%","-1.8%","-20.6","72%","47%"
"Texas Rangers",".311","96",".287",".157","3.3%","24.0%","7.6%","88.5","39.5%","23.1%","40.5%","27.1%","0.70","31.0%",NA,NA,"-4.0",NA,NA,"31%",2022,"51.8%","17.2%","-0.3%","3.0","76%","44%"
"Toronto Blue Jays",".336","118",".305",".168","3.3%","20.2%","8.1%","90.0","44.5%","23.6%","45.6%","23.0%","0.85","28.2%",NA,NA,"7.2",NA,NA,"31%",2022,"52.1%","19.6%","4.2%","90.6","66%","41%"
"Washington Nationals",".308","98",".295",".129","2.3%","20.4%","7.4%","86.7","35.7%","24.0%","45.7%","22.1%","0.87","30.1%",NA,NA,"-10.1",NA,NA,"27%",2022,"51.3%","18.6%","-1.2%","-95.2","71%","37%"
"League Average",".316","100",".290",".152","2.9%","22.4%","8.2%","88.1","38.5%","23.7%","42.7%","25.7%","0.76","29.5%",NA,NA,"-3",NA,NA,"30%",2022,"52.1%","18.5%","-0%","-11","75%","41%"
"",".316","100",".290",".152","2.9%","22.4%","8.2%","88.1","38.5%","23.7%","42.7%","25.7%","0.76","29.5%",NA,NA,"-85.9",NA,NA,"30%",2022,"52.1%","18.5%","-6.7%","-318.2","75%","41%"
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","EV","HardH%","LD%","GB%","FB%","GB/FB","Pull%",NA,NA,"WPA",NA,NA,"RS%",2022,"Cent%","Oppo%","cWPA","RE24","SB%","XBT%"
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","EV","HardH%","LD%","GB%","FB%","GB/FB","Pull%",NA,NA,"WPA",NA,NA,"RS%",2023,"Cent%","Oppo%","cWPA","RE24","SB%","XBT%"
"Arizona Diamondbacks",".324","96",".293",".158","2.7%","20.4%","8.8%","88.0","38.3%","23.8%","44.3%","24.5%","0.82","30.7%",NA,NA,"3.0",NA,NA,"32%",2023,"51.6%","17.7%","2.9%","-18.0","86%","46%"
"Atlanta Braves",".365","125",".306",".225","4.9%","20.6%","8.6%","90.9","46.2%","24.2%","43.1%","27.0%","0.76","31.0%",NA,NA,"19.4",NA,NA,"34%",2023,"52.1%","17.0%","7.4%","189.3","83%","51%"
"Baltimore Orioles",".324","106",".305",".166","3.0%","22.4%","8.4%","89.0","40.9%","23.5%","42.1%","26.7%","0.74","30.6%",NA,NA,"10.4",NA,NA,"35%",2023,"51.0%","18.4%","7.2%","72.7","83%","49%"
"Boston Red Sox",".329","100",".310",".166","3.0%","22.2%","7.9%","88.8","40.4%","24.1%","42.2%","26.0%","0.74","30.3%",NA,NA,"-2.7",NA,NA,"32%",2023,"51.9%","17.8%","0.5%","8.4","81%","39%"
"Chicago Cubs",".332","106",".303",".167","3.2%","22.4%","9.2%","88.4","38.5%","24.9%","42.8%","24.9%","0.76","29.4%",NA,NA,"0.3",NA,NA,"33%",2023,"52.4%","18.2%","-1.4%","63.5","80%","44%"
"Chicago White Sox",".298","83",".289",".146","2.9%","23.8%","6.3%","88.1","37.8%","24.2%","45.5%","22.9%","0.85","29.0%",NA,NA,"-14.3",NA,NA,"29%",2023,"52.1%","18.9%","-2.5%","-123.8","80%","42%"
"Cincinnati Reds",".334","99",".306",".170","3.2%","24.2%","9.0%","87.5","36.7%","23.7%","41.3%","26.3%","0.72","30.5%",NA,NA,"-1.9",NA,NA,"31%",2023,"51.9%","17.6%","-2.7%","-3.9","80%","47%"
"Cleveland Guardians",".307","89",".292",".131","2.0%","18.7%","7.7%","87.0","33.1%","25.2%","44.1%","22.7%","0.80","29.2%",NA,NA,"-6.8",NA,NA,"30%",2023,"51.6%","19.1%","-3.7%","-94.0","81%","43%"
"Colorado Rockies",".316","83",".315",".156","2.7%","25.5%","7.4%","87.5","36.6%","25.4%","42.1%","26.0%","0.74","30.1%",NA,NA,"-6.6",NA,NA,"32%",2023,"51.9%","18.0%","-1.2%","-79.9","75%","40%"
"Detroit Tigers",".305","89",".291",".146","2.7%","24.2%","8.4%","88.8","40.7%","23.6%","42.1%","27.0%","0.73","28.8%",NA,NA,"-10.1",NA,NA,"29%",2023,"52.8%","18.4%","-3.8%","-96.6","79%","45%"
"Houston Astros",".338","112",".294",".178","3.6%","19.9%","8.8%","88.2","38.9%","24.0%","41.6%","27.5%","0.72","29.5%",NA,NA,"3.2",NA,NA,"33%",2023,"52.1%","18.5%","4.0%","80.6","77%","37%"
"Kansas City Royals",".310","89",".296",".153","2.7%","23.3%","6.9%","88.9","41.2%","25.4%","40.0%","26.9%","0.68","30.1%",NA,NA,"-11.3",NA,NA,"30%",2023,"51.6%","18.3%","-2.0%","-74.5","78%","44%"
"Los Angeles Angels",".323","100",".295",".181","3.8%","24.8%","8.4%","88.9","40.4%","22.9%","41.4%","28.1%","0.72","30.5%",NA,NA,"-3.0",NA,NA,"29%",2023,"51.2%","18.3%","-0.5%","-20.8","70%","38%"
"Los Angeles Dodgers",".348","115",".294",".197","3.9%","21.5%","10.2%","89.0","40.8%","24.6%","38.2%","30.2%","0.62","31.3%",NA,NA,"11.5",NA,NA,"34%",2023,"51.3%","17.4%","7.2%","142.9","81%","41%"
"Miami Marlins",".319","88",".308",".146","2.8%","21.3%","7.1%","88.3","38.2%","24.2%","45.6%","23.5%","0.86","26.4%",NA,NA,"-7.3",NA,NA,"28%",2023,"53.3%","20.3%","-4.2%","-115.6","80%","38%"
"Milwaukee Brewers",".315","92",".292",".146","2.7%","23.2%","9.7%","88.0","37.9%","22.2%","44.9%","25.3%","0.82","29.8%",NA,NA,"-5.3",NA,NA,"31%",2023,"52.2%","18.0%","-3.6%","-36.1","82%","42%"
"Minnesota Twins",".331","105",".304",".184","3.8%","26.6%","9.6%","88.9","41.5%","24.7%","39.5%","27.9%","0.66","31.1%",NA,NA,"-4.7",NA,NA,"30%",2023,"50.6%","18.2%","-3.2%","11.6","83%","43%"
"New York Mets",".321","99",".275",".169","3.6%","22.0%","8.7%","89.0","40.2%","23.1%","41.8%","26.9%","0.73","30.9%",NA,NA,"-6.9",NA,NA,"29%",2023,"51.2%","17.9%","-1.4%","-21.4","89%","45%"
"New York Yankees",".307","89",".266",".171","3.7%","23.9%","9.3%","89.4","41.9%","23.2%","42.3%","27.1%","0.74","28.6%",NA,NA,"-7.5",NA,NA,"28%",2023,"53.7%","17.7%","-3.3%","-83.9","77%","39%"
"Oakland Athletics",".297","87",".276",".147","2.9%","25.1%","8.4%","87.1","35.3%","21.8%","42.6%","26.4%","0.77","30.8%",NA,NA,"-15.6",NA,NA,"26%",2023,"51.2%","18.0%","-0.4%","-151.0","83%","40%"
"Philadelphia Phillies",".337","107",".308",".182","3.5%","23.9%","8.7%","88.9","40.8%","24.5%","41.5%","26.6%","0.72","30.8%",NA,NA,"2.3",NA,NA,"32%",2023,"50.2%","19.1%","0.1%","30.8","84%","43%"
"Pittsburgh Pirates",".312","89",".296",".153","2.6%","24.0%","9.1%","88.4","40.6%","24.2%","42.7%","24.9%","0.76","30.1%",NA,NA,"-7.3",NA,NA,"30%",2023,"51.7%","18.2%","-3.5%","-76.9","74%","43%"
"San Diego Padres",".330","105",".283",".170","3.3%","21.2%","10.6%","88.6","39.5%","22.4%","42.2%","26.2%","0.74","30.6%",NA,NA,"-6.2",NA,NA,"30%",2023,"51.9%","17.5%","-3.8%","-7.5","81%","44%"
"Seattle Mariners",".324","110",".301",".170","3.4%","25.9%","8.8%","89.1","41.4%","24.3%","39.7%","27.9%","0.66","34.5%",NA,NA,"-1.4",NA,NA,"30%",2023,"49.4%","16.1%","-2.4%","26.7","80%","40%"
"San Francisco Giants",".309","93",".290",".149","2.9%","24.5%","8.9%","87.9","39.2%","23.4%","41.2%","27.0%","0.72","31.1%",NA,NA,"-5.5",NA,NA,"29%",2023,"50.6%","18.3%","-2.6%","-80.0","78%","43%"
"St. Louis Cardinals",".328","101",".291",".166","3.4%","21.4%","9.2%","89.0","41.6%","22.9%","43.0%","25.8%","0.76","29.0%",NA,NA,"-4.3",NA,NA,"28%",2023,"52.5%","18.5%","-1.3%","-47.1","78%","40%"
"Tampa Bay Rays",".342","115",".308",".185","3.7%","23.0%","8.3%","89.1","40.9%","22.6%","43.8%","25.4%","0.79","31.5%",NA,NA,"10.8",NA,NA,"34%",2023,"50.6%","17.9%","6.0%","124.9","80%","46%"
"Texas Rangers",".345","118",".310",".190","3.7%","22.5%","9.5%","89.5","41.6%","25.3%","39.7%","28.4%","0.66","29.0%",NA,NA,"6.9",NA,NA,"34%",2023,"53.0%","18.0%","6.4%","142.3","81%","39%"
"Toronto Blue Jays",".329","106",".301",".161","3.0%","21.0%","8.8%","88.2","39.0%","24.5%","41.6%","26.0%","0.72","28.8%",NA,NA,"-4.9",NA,NA,"29%",2023,"51.1%","20.1%","-3.7%","-12.6","74%","41%"
"Washington Nationals",".317","98",".293",".142","2.5%","18.9%","7.0%","87.3","35.3%","24.4%","44.4%","23.1%","0.82","31.3%",NA,NA,"-1.7",NA,NA,"31%",2023,"51.1%","17.6%","-1.0%","-46.3","81%","40%"
"League Average",".324","100",".297",".166","3.2%","22.7%","8.6%","88.5","39.5%","23.9%","42.3%","26.2%","0.74","30.2%",NA,NA,"-2",NA,NA,"31%",2023,"51.7%","18.2%","-0%","-10","80%","42%"
"",".324","100",".297",".166","3.2%","22.7%","8.6%","88.5","39.5%","23.9%","42.3%","26.2%","0.74","30.2%",NA,NA,"-67.5",NA,NA,"31%",2023,"51.7%","18.2%","-10.7%","-296.1","80%","42%"
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","EV","HardH%","LD%","GB%","FB%","GB/FB","Pull%",NA,NA,"WPA",NA,NA,"RS%",2023,"Cent%","Oppo%","cWPA","RE24","SB%","XBT%"
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","EV","HardH%","LD%","GB%","FB%","GB/FB","Pull%",NA,NA,"WPA",NA,NA,"RS%",2024,"Cent%","Oppo%","cWPA","RE24","SB%","XBT%"
"Arizona Diamondbacks",".341","115",".302",".177","3.4%","20.1%","9.1%","88.2","39.2%","22.7%","42.8%","25.3%","0.77","32.6%",NA,NA,"11.3",NA,NA,"35%",2024,"50.0%","17.4%","7.5%","154.3","80%","46%"
"Atlanta Braves",".321","101",".291",".172","3.5%","24.1%","8.0%","89.6","42.7%","23.9%","41.2%","27.6%","0.71","32.5%",NA,NA,"-5.2",NA,NA,"29%",2024,"50.6%","16.9%","-3.2%","-29.5","78%","40%"
"Baltimore Orioles",".329","118",".288",".186","3.8%","22.0%","7.9%","89.4","42.5%","24.1%","40.4%","27.8%","0.68","29.3%",NA,NA,"7.5",NA,NA,"32%",2024,"52.5%","18.2%","4.6%","95.7","80%","43%"
"Boston Red Sox",".328","104",".314",".171","3.1%","25.4%","8.0%","88.7","41.1%","24.0%","41.4%","26.8%","0.72","29.5%",NA,NA,"-1.6",NA,NA,"31%",2024,"53.0%","17.5%","0.4%","3.2","77%","44%"
"Chicago Cubs",".316","100",".291",".151","2.8%","22.3%","8.9%","88.2","38.4%","23.4%","40.4%","28.3%","0.69","30.3%",NA,NA,"-0.8",NA,NA,"32%",2024,"50.2%","19.5%","-2.1%","22.0","83%","43%"
"Chicago White Sox",".278","76",".272",".119","2.3%","23.9%","6.7%","87.5","35.4%","24.1%","42.1%","25.6%","0.74","28.2%",NA,NA,"-25.8",NA,NA,"25%",2024,"53.0%","18.8%","-2.3%","-214.4","73%","41%"
"Cincinnati Reds",".313","88",".283",".157","2.9%","24.4%","8.3%","87.2","36.0%","23.7%","41.3%","26.8%","0.71","31.8%",NA,NA,"-10.0",NA,NA,"31%",2024,"50.3%","17.9%","-3.3%","-45.6","82%","47%"
"Cleveland Guardians",".312","98",".271",".157","3.1%","20.2%","7.9%","87.1","33.8%","23.1%","40.8%","26.5%","0.70","34.0%",NA,NA,"-0.5",NA,NA,"32%",2024,"50.0%","16.0%","0.7%","1.6","76%","44%"
"Colorado Rockies",".310","86",".308",".158","3.0%","26.8%","7.5%","88.2","39.7%","24.3%","42.7%","27.1%","0.75","29.7%",NA,NA,"-6.8",NA,NA,"30%",2024,"51.6%","18.6%","-1.1%","-77.0","73%","42%"
"Detroit Tigers",".304","93",".288",".151","2.7%","24.3%","7.9%","88.5","38.1%","24.0%","40.8%","27.4%","0.69","30.6%",NA,NA,"-3.7",NA,NA,"31%",2024,"52.0%","17.4%","-2.0%","-36.9","76%","49%"
"Houston Astros",".326","111",".299",".157","3.1%","19.3%","7.3%","88.4","39.1%","24.0%","41.8%","27.1%","0.73","30.2%",NA,NA,"-0.9",NA,NA,"31%",2024,"51.9%","17.9%","-1.3%","42.3","79%","36%"
"Kansas City Royals",".315","97",".283",".156","2.8%","19.4%","7.2%","88.8","40.5%","22.9%","40.9%","27.4%","0.71","30.5%",NA,NA,"0.3",NA,NA,"33%",2024,"52.1%","17.3%","0.8%","21.9","81%","48%"
"Los Angeles Angels",".301","90",".279",".140","2.8%","23.7%","8.1%","87.9","36.6%","23.7%","42.4%","26.6%","0.74","30.4%",NA,NA,"-12.4",NA,NA,"29%",2024,"52.0%","17.6%","-2.0%","-88.2","73%","40%"
"Los Angeles Dodgers",".343","122",".297",".189","3.7%","21.4%","9.6%","89.1","41.4%","25.2%","38.5%","29.1%","0.63","30.3%",NA,NA,"11.5",NA,NA,"33%",2024,"50.9%","18.8%","8.8%","128.3","86%","49%"
"Miami Marlins",".301","80",".299",".134","2.5%","23.3%","6.7%","87.5","36.9%","22.1%","48.0%","23.1%","0.95","28.5%",NA,NA,"-13.2",NA,NA,"29%",2024,"52.6%","18.8%","-2.0%","-135.1","74%","38%"
"Milwaukee Brewers",".325","100",".305",".155","2.9%","23.7%","9.7%","87.8","38.6%","22.7%","44.2%","24.9%","0.82","28.8%",NA,NA,"-0.6",NA,NA,"32%",2024,"53.0%","18.3%","-0.6%","38.8","84%","43%"
"Minnesota Twins",".321","103",".289",".165","3.0%","21.3%","7.7%","88.5","38.4%","24.4%","38.9%","28.4%","0.64","31.6%",NA,NA,"-0.9",NA,NA,"32%",2024,"51.9%","16.6%","-2.1%","16.3","74%","42%"
"New York Mets",".326","110",".291",".169","3.4%","22.4%","8.3%","88.9","41.4%","24.4%","42.0%","25.9%","0.73","30.2%",NA,NA,"4.3",NA,NA,"31%",2024,"52.2%","17.6%","3.6%","53.1","83%","38%"
"New York Yankees",".338","116",".283",".181","3.8%","21.2%","10.8%","89.6","42.5%","23.5%","42.4%","26.7%","0.75","30.1%",NA,NA,"4.1",NA,NA,"31%",2024,"51.4%","18.5%","3.7%","97.6","77%","36%"
"Oakland Athletics",".308","101",".284",".159","3.3%","24.9%","8.2%","88.8","39.3%","22.6%","41.7%","27.5%","0.73","29.4%",NA,NA,"-8.8",NA,NA,"27%",2024,"52.7%","18.0%","-2.5%","-60.1","79%","39%"
"Philadelphia Phillies",".333","110",".306",".168","3.2%","22.2%","8.4%","88.6","40.3%","24.0%","42.5%","26.6%","0.75","30.4%",NA,NA,"3.8",NA,NA,"32%",2024,"50.7%","18.9%","3.2%","62.7","83%","41%"
"Pittsburgh Pirates",".305","88",".291",".137","2.6%","24.8%","8.0%","88.7","40.3%","23.8%","44.8%","24.0%","0.82","29.4%",NA,NA,"-8.3",NA,NA,"30%",2024,"52.3%","18.3%","-3.7%","-75.9","85%","45%"
"San Diego Padres",".329","107",".295",".157","3.1%","17.7%","7.5%","88.4","38.9%","24.9%","41.6%","25.5%","0.73","28.7%",NA,NA,"6.2",NA,NA,"31%",2024,"53.5%","17.8%","4.1%","35.8","81%","43%"
"Seattle Mariners",".310","106",".284",".152","3.1%","26.8%","9.4%","88.6","40.6%","23.0%","39.1%","28.7%","0.66","32.7%",NA,NA,"-3.0",NA,NA,"28%",2024,"50.9%","16.3%","-3.2%","-2.3","83%","40%"
"San Francisco Giants",".311","103",".290",".157","2.9%","24.0%","8.1%","88.8","39.9%","23.9%","40.2%","27.3%","0.68","31.0%",NA,NA,"-3.0",NA,NA,"30%",2024,"51.6%","17.4%","-1.5%","-11.0","76%","39%"
"St. Louis Cardinals",".311","95",".294",".144","2.7%","21.6%","7.8%","88.0","38.3%","25.2%","42.1%","24.5%","0.74","28.9%",NA,NA,"-3.8",NA,NA,"29%",2024,"52.8%","18.2%","-2.4%","-67.3","76%","44%"
"Tampa Bay Rays",".301","92",".289",".136","2.5%","24.7%","8.2%","87.5","36.7%","23.3%","42.1%","24.5%","0.74","30.3%",NA,NA,"-9.3",NA,NA,"27%",2024,"51.0%","18.7%","-2.7%","-109.8","77%","43%"
"Texas Rangers",".306","96",".279",".142","2.9%","21.2%","8.1%","88.3","39.0%","22.9%","42.1%","27.8%","0.73","29.6%",NA,NA,"-5.4",NA,NA,"30%",2024,"51.9%","18.5%","-3.5%","-16.8","80%","43%"
"Toronto Blue Jays",".314","101",".283",".148","2.6%","20.4%","8.4%","87.7","37.0%","24.6%","41.3%","25.4%","0.71","29.5%",NA,NA,"-6.4",NA,NA,"29%",2024,"51.6%","18.8%","-1.8%","-34.5","82%","37%"
"Washington Nationals",".308","95",".288",".132","2.3%","20.4%","7.6%","87.1","37.0%","22.7%","45.6%","23.3%","0.87","30.0%",NA,NA,"-5.7",NA,NA,"30%",2024,"51.4%","18.6%","-1.3%","-61.6","75%","45%"
"League Average",".316","100",".291",".156","3.0%","22.6%","8.2%","88.3","39.0%","23.7%","41.9%","26.4%","0.73","30.3%",NA,NA,"-3",NA,NA,"30%",2024,"51.7%","18.0%","-0%","-10","79%","42%"
"",".316","100",".291",".156","3.0%","22.6%","8.2%","88.3","39.0%","23.7%","41.9%","26.4%","0.73","30.3%",NA,NA,"-86.9",NA,NA,"30%",2024,"51.7%","18.0%","-7.5%","-292.3","79%","42%"
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","EV","HardH%","LD%","GB%","FB%","GB/FB","Pull%",NA,NA,"WPA",NA,NA,"RS%",2024,"Cent%","Oppo%","cWPA","RE24","SB%","XBT%"
