"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Year"
"Los Angeles Dodgers","","6244","1","-3","3","55","59","116","10.2","182","298","28.0",".505",".505","22.9","5.1","243","$81,684,334",2004
"Milwaukee Brewers","","6195","-139","2","-3","-19","62","-97","-11.2","180","83","6.4",".496",".497","8.8","-2.1","102","$27,528,500",2004
"Minnesota Twins","","6286","-54","4","2","-1","-4","-53","-3.9","234","181","18.0",".497",".498","17.1","1.1","182","$48,140,000",2004
"Montreal Expos","","6138","-186","0","1","44","57","-83","-9.8","180","98","7.7",".496",".500","3.7","3.9","53","$40,587,500",2004
"New York Mets","","6209","-100","2","-4","-37","52","-87","-10.2","183","96","7.6",".496",".498","11.9","-4.3","133","$78,844,303",2004
"New York Yankees","","6364","117","3","-8","-80","-3","29","3.8","234","263","25.7",".501",".504","32.4","-6.5","342","$184,193,950",2004
"Oakland Athletics","","6459","23","-5","-7","-19","-5","-13","0.1","238","226","22.4",".499",".502","23.3","-0.8","245","$59,102,167",2004
"Philadelphia Phillies","","6456","-8","5","4","16","60","77","6.3","187","264","24.5",".503",".504","23.3","1.5","248","$92,619,167",2004
"Pittsburgh Pirates","","6115","-107","-7","7","-22","56","-73","-8.9","179","105","8.5",".497",".499","11.2","-2.8","127","$32,227,929",2004
"San Diego Padres","","6313","45","1","5","-9","58","99","8.5","183","282","26.4",".504",".505","27.8","-1.4","291","$55,384,833",2004
"Seattle Mariners","","6362","-69","-3","8","20","-7","-52","-3.9","234","182","17.9",".497",".500","15.0","2.8","162","$81,215,834",2004
"San Francisco Giants","","6466","30","-13","-3","-47","63","31","1.1","189","220","19.3",".501",".502","24.5","-5.1","266","$72,569,166",2004
"St. Louis Cardinals","","6297","57","4","0","31","59","152","13.5","184","335","31.4",".506",".507","28.7","2.4","304","$83,840,333",2004
"Tampa Bay Devil Rays","","6098","-79","13","10","-2","-6","-64","-5.1","227","163","16.2",".496",".500","15.4","0.8","165","$29,554,167",2004
"Texas Rangers","","6256","-50","8","5","-32","-6","-75","-6.1","230","155","15.4",".496",".499","17.6","-2.2","187","$43,183,750",2004
"Toronto Blue Jays","","6178","-97","-4","-1","46","-6","-63","-4.9","230","168","16.6",".496",".499","11.2","5.4","122","$50,017,000",2004
"","0","188539","-726","0","0","-96","870","46","-3.2","6198","6246","587.5",".500",".502","590.6","-0.3","6340","$1,993,215,942",2004
"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary",2004
"Arizona Diamondbacks","","6327","-59","1","-1","-13","56","-17","-2.9","185","169","15.1",".499",".501","16.7","-1.5","182","$62,011,166",2005
"Atlanta Braves","","6186","-11","7","-3","58","61","112","10.3","180","292","27.8",".505",".505","22.1","6.0","235","$86,457,302",2005
