"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary","Year"
"Kansas City Royals","","6149","-61","8","1","9","-4","-48","-5.5","228","181","17.0",".497",".499","17.3","-0.2","172","$55,245,075",2012
"Los Angeles Angels of Anaheim","","6121","108","21","-7","48","-5","166","16.7","226","392","38.8",".510",".509","35.1","3.7","344","$140,112,000",2012
"Los Angeles Dodgers","","6091","-72","-6","-3","-7","53","-35","-3.7","178","144","13.8",".498",".500","13.3","0.4","151","$153,324,600",2012
"Miami Marlins","","6057","-125","1","4","-56","55","-121","-13.0","176","56","4.3",".494",".498","9.0","-4.7","112","$89,198,000",2012
"Milwaukee Brewers","","6224","6","0","-1","-6","53","52","5.7","182","235","23.5",".502",".503","22.7","0.8","241","$95,717,000",2012
"Minnesota Twins","","6209","-9","4","-3","35","-4","23","2.0","230","253","24.4",".501",".503","22.0","2.6","217","$92,566,000",2012
"New York Mets","","6091","-44","-8","2","-41","54","-37","-3.8","178","142","13.6",".498",".500","16.7","-3.1","183","$91,621,424",2012
"New York Yankees","","6231","89","-2","0","-5","-7","75","7.4","229","304","29.7",".504",".505","31.7","-2.1","309","$192,967,425",2012
"Oakland Athletics","","6183","-7","12","4","17","-5","22","1.8","230","252","24.2",".501",".502","23.8","0.5","235","$56,630,000",2012
"Philadelphia Phillies","","6172","-70","3","4","11","56","5","0.6","178","183","18.0",".500",".500","15.6","2.3","172","$171,501,558",2012
"Pittsburgh Pirates","","6014","-47","-14","3","-13","53","-19","-2.1","177","158","15.2",".499",".501","15.4","-0.2","171","$70,077,000",2012
"San Diego Padres","","6112","-8","4","6","-19","53","36","3.9","179","216","21.4",".502",".502","22.1","-1.0","234","$55,494,700",2012
"Seattle Mariners","","6057","-71","-5","3","21","-3","-55","-6.3","225","170","15.7",".496",".499","14.8","1.1","149","$77,752,000",2012
"San Francisco Giants","","6200","46","7","7","-4","60","116","12.4","180","296","30.0",".505",".505","29.1","1.0","300","$111,157,350",2012
"St. Louis Cardinals","","6326","52","-1","-2","-2","58","105","11.3","184","289","29.3",".505",".504","28.2","1.2","291","$111,221,000",2012
"Tampa Bay Rays","","6105","-7","-1","-8","18","-3","-1","-0.7","228","226","21.5",".500",".502","20.9","0.7","208","$62,888,000",2012
"Texas Rangers","","6216","37","-10","-1","-2","-5","20","1.5","228","248","23.8",".501",".502","25.4","-1.5","250","$123,638,900",2012
"Toronto Blue Jays","","6094","-48","2","2","52","-6","3","-0.2","227","230","22.0",".500",".502","17.9","4.2","178","$74,784,200",2012
"Washington Nationals","","6221","4","-2","-1","-14","52","39","4.3","181","221","22.0",".502",".502","22.2","-0.5","235","$88,105,000",2012
"","0","184179","-749","1","-1","-23","815","43","-1.3","6054","6098","589.4",".500",".502","590.9","0.0","6119","$2,803,041,565",2012
"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary",2012
"Arizona Diamondbacks","","6334","-37","-11","-4","56","54","58","5.2","193","251","24.3",".503",".504","18.1","6.5","195","$78,042,000",2013
"Atlanta Braves","","6133","-2","-3","-2","23","55","72","6.7","186","258","25.2",".504",".503","22.7","2.5","235","$93,993,750",2013
"Baltimore Orioles","","6144","2","-1","5","16","-4","19","4.3","217","236","24.9",".501",".504","21.5","3.5","219","$99,587,000",2013
"Boston Red Sox","","6382","117","15","-5","25","-6","146","18.1","223","369","39.3",".509",".509","35.1","4.2","344","$174,897,500",2013
"Chicago Cubs","","6079","-67","-5","-1","4","52","-17","-3.2","185","169","15.1",".499",".499","14.8","0.4","164","$56,804,000",2013
"Chicago White Sox","","6077","-127","-5","-7","-41","-6","-186","-17.7","216","31","3.0",".488",".492","5.9","-2.8","71","$80,908,900",2013
"Cincinnati Reds","","6293","-14","-2","-2","13","58","54","4.6","187","241","23.0",".503",".504","21.7","1.5","228","$101,955,535",2013
"Cleveland Indians","","6165","60","7","3","-27","-6","37","6.3","218","255","27.0",".502",".502","28.3","-1.3","282","$86,846,933",2013
"Colorado Rockies","","6152","-72","13","3","-16","51","-22","-3.9","190","169","15.0",".499",".501","16.8","-1.7","184","$73,278,000",2013
"Detroit Tigers","","6388","94","-19","-1","-48","-4","22","4.6","223","245","25.8",".501",".502","29.3","-3.4","292","$153,232,000",2013
"Houston Astros","","6020","-99","-8","-1","-47","-7","-163","-15.2","213","51","5.1",".490",".496","8.7","-3.6","97","$13,425,200",2013
"Kansas City Royals","","6093","-89","14","-4","72","-5","-11","1.2","216","205","21.9",".499",".500","12.5","9.4","133","$85,676,250",2013
"Los Angeles Angels of Anaheim","","6260","80","-1","-1","-67","-4","7","3.0","221","228","24.0",".500",".502","29.6","-5.4","295","$112,792,500",2013
"Los Angeles Dodgers","","6145","25","-8","1","38","54","110","10.8","188","299","29.5",".505",".504","25.4","4.2","261","$252,506,000",2013
"Miami Marlins","","6021","-195","-5","-1","7","51","-143","-17.6","184","42","0.6",".493",".496","0.0","0.9","34","$24,271,900",2013
"Milwaukee Brewers","","6064","-51","-7","5","5","49","1","-1.2","186","187","17.2",".500",".501","16.7","0.5","182","$75,472,000",2013
"Minnesota Twins","","6212","-65","-5","5","-29","-3","-98","-8.1","221","123","12.9",".494",".497","14.5","-1.2","152","$56,357,500",2013
"New York Mets","","6207","-65","10","5","-15","51","-14","-3.0","188","174","15.6",".499",".501","17.4","-1.8","189","$43,925,860",2013
"New York Yankees","","6045","-84","7","1","-13","-5","-95","-7.9","216","121","12.7",".494",".499","12.4","0.4","134","$244,952,650",2013
"Oakland Athletics","","6209","46","-3","-1","-37","-6","1","2.4","220","221","23.4",".500",".502","25.8","-2.3","258","$69,440,000",2013
"Philadelphia Phillies","","6014","-66","8","-1","-79","48","-89","-11.3","185","96","7.0",".496",".498","16.1","-9.3","175","$150,860,000",2013
"Pittsburgh Pirates","","6135","2","-10","2","20","52","66","6.0","188","254","24.6",".503",".504","22.4","2.1","234","$94,637,000",2013
"San Diego Padres","","6122","-16","3","6","-14","45","24","1.3","187","211","19.8",".501",".502","21.6","-2.3","225","$63,509,200",2013
"Seattle Mariners","","6172","-6","-4","2","-89","-5","-102","-8.5","219","118","12.4",".493",".498","20.4","-7.9","206","$70,187,000",2013
"San Francisco Giants","","6168","-3","2","3","-4","54","52","4.5","188","241","23.2",".502",".503","23.8","-0.4","245","$139,845,667",2013
"St. Louis Cardinals","","6202","8","-1","-8","-25","56","30","1.9","187","217","20.4",".501",".503","23.4","-3.0","242","$90,583,000",2013
"Tampa Bay Rays","","6242","35","-5","-3","15","-10","32","5.9","221","253","26.9",".502",".503","23.8","3.0","238","$63,173,500",2013
"Texas Rangers","","6196","10","14","-2","30","-6","47","7.4","219","266","28.1",".503",".503","23.3","4.9","235","$136,636,200",2013
"Toronto Blue Jays","","6152","-4","5","3","4","-4","4","2.7","217","222","23.4",".500",".501","21.4","2.1","217","$123,528,100",2013
"Washington Nationals","","6047","-52","3","2","5","52","10","-0.3","184","195","17.9",".500",".502","17.5","0.4","189","$112,002,250",2013
"","0","184873","-633","1","-1","-218","704","-147","-1.4","6086","5943","589.3",".500",".501","590.6","0.0","6157","$3,023,327,395",2013
"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary",2013
"Arizona Diamondbacks","","6089","-88","6","3","7","53","-19","-4.4","186","168","13.9",".499",".500","14.1","0.1","161","$86,861,500",2014
"Atlanta Braves","","6064","-86","1","-1","0","58","-29","-5.3","184","155","12.8",".499",".500","13.7","-0.6","155","$98,699,000",2014
"Baltimore Orioles","","6130","25","-13","-1","52","-4","59","8.7","216","276","29.8",".504",".504","23.1","6.9","224","$104,720,000",2014
"Boston Red Sox","","6226","-67","0","-6","43","-5","-36","-1.9","220","184","19.4",".498",".500","13.6","5.8","141","$134,628,929",2014
"Chicago Cubs","","6102","-83","-11","7","-20","51","-56","-8.6","186","130","9.7",".497",".499","12.9","-3.1","150","$57,222,500",2014
"Chicago White Sox","","6077","20","-12","0","-41","-6","-39","-2.3","216","178","18.6",".497",".500","22.3","-3.6","218","$82,375,500",2014
"Cincinnati Reds","","5978","-95","-4","7","40","53","2","-2.0","183","184","15.9",".500",".501","12.3","3.7","144","$101,217,500",2014
"Cleveland Indians","","6222","-24","6","-3","-47","-5","-72","-6.0","220","148","15.3",".495",".499","19.5","-4.1","194","$72,949,399",2014
"Colorado Rockies","","6164","4","-10","-3","6","53","49","3.3","190","239","21.9",".502",".502","22.2","-0.3","233","$95,403,500",2014
"Detroit Tigers","","6202","87","-3","-6","-45","-4","29","5.3","220","249","26.5",".502",".503","30.6","-3.9","294","$164,355,500",2014
"Houston Astros","","6055","-39","5","-2","-10","-5","-51","-3.7","214","163","17.1",".497",".498","17.2","-0.1","173","$40,984,800",2014
"Kansas City Royals","","6058","-66","7","1","36","-5","-27","-0.8","216","189","20.2",".498",".500","15.2","5.0","153","$84,594,075",2014
"Los Angeles Angels of Anaheim","","6285","83","1","6","-13","-6","72","9.9","222","294","31.4",".504",".506","31.9","-0.4","307","$128,166,250",2014
"Los Angeles Dodgers","","6231","74","-6","4","19","59","150","14.7","189","339","33.2",".507",".506","32.0","1.5","320","$220,886,026",2014
"Miami Marlins","","6185","-50","4","-2","-2","52","1","-2.1","187","188","16.5",".500",".501","17.7","-1.1","190","$41,836,900",2014
"Milwaukee Brewers","","6065","-35","-2","-8","-28","56","-17","-4.1","184","167","14.0",".499",".501","18.1","-4.0","195","$108,217,000",2014
"Minnesota Twins","","6233","1","3","1","-63","-4","-62","-4.7","220","158","16.7",".496",".500","22.7","-5.8","221","$85,462,500",2014
"New York Mets","","6145","-41","0","1","23","54","36","2.1","186","223","20.3",".502",".502","18.6","1.6","199","$82,056,990",2014
"New York Yankees","","6082","-45","4","-1","-17","-2","-61","-4.6","216","156","16.3",".496",".497","17.3","-0.6","172","$233,673,207",2014
"Oakland Athletics","","6245","8","5","-2","25","-5","31","5.6","222","253","27.1",".502",".502","23.4","3.8","228","$87,653,400",2014
"Philadelphia Phillies","","6198","-100","8","5","-21","55","-54","-8.2","189","135","10.3",".497",".499","13.6","-3.1","156","$176,444,967",2014
"Pittsburgh Pirates","","6224","42","-1","-1","9","54","103","9.2","190","293","27.9",".505",".505","27.9","0.0","284","$80,228,000",2014
"San Diego Padres","","5905","-98","-2","-2","21","45","-35","-6.1","181","146","11.8",".498",".500","10.3","1.0","125","$65,160,700",2014
"Seattle Mariners","","5977","-36","3","-1","8","-8","-34","-1.9","213","179","18.8",".498",".501","17.0","1.6","171","$95,471,000",2014
"San Francisco Giants","","6087","-7","1","1","-4","54","45","2.8","185","230","21.0",".502",".503","22.4","-1.5","234","$163,510,167",2014
"St. Louis Cardinals","","6086","-45","-10","1","44","55","46","3.1","185","231","21.2",".502",".503","17.1","4.1","186","$129,932,500",2014
"Tampa Bay Rays","","6205","-23","6","0","-21","-7","-45","-2.8","219","174","18.5",".497",".499","19.8","-1.5","195","$77,314,100",2014
"Texas Rangers","","6026","-59","2","-2","-32","-5","-97","-8.7","214","118","12.0",".493",".498","14.6","-2.5","150","$126,289,377",2014
"Toronto Blue Jays","","6167","59","3","2","-18","-4","41","6.5","217","258","27.6",".502",".504","28.6","-0.8","276","$128,427,700",2014
"Washington Nationals","","6216","-31","11","2","22","58","62","4.8","187","249","23.1",".503",".504","21.6","1.7","227","$135,483,680",2014
"","0","183929","-715","1","-1","-27","735","-8","-2.4","6057","6053","588.5",".500",".501","591.0","-0.2","6076","$3,290,226,667",2014
"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary",2014
"Arizona Diamondbacks","","6276","-26","16","-5","65","54","105","9.2","192","297","27.9",".505",".505","21.5","6.7","232","$54,934,000",2015
"Atlanta Braves","","6034","-93","-4","0","-17","53","-61","-8.5","184","124","9.5",".497",".500","12.0","-2.3","141","$96,481,250",2015
"Baltimore Orioles","","6007","-24","-6","0","18","-5","-17","-1.3","213","196","19.6",".499",".502","18.3","1.4","178","$111,744,833",2015
"Boston Red Sox","","6237","-17","8","3","18","-5","8","1.5","220","228","22.9",".500",".502","21.6","1.4","210","$181,353,400",2015
"Chicago Cubs","","6200","-17","4","6","-4","60","50","3.3","187","237","21.4",".502",".503","22.6","-0.9","241","$114,306,610",2015
"Chicago White Sox","","6070","-56","-7","1","-15","-2","-80","-7.9","215","135","12.9",".495",".497","15.1","-1.9","150","$112,373,700",2015
"Cincinnati Reds","","6196","-57","6","2","-3","52","0","-2.2","189","190","16.3",".500",".501","17.4","-0.8","192","$105,072,286",2015
"Cleveland Indians","","6109","-58","5","-2","11","-7","-50","-5.0","215","165","16.0",".497",".499","15.4","0.4","154","$59,163,766",2015
"Colorado Rockies","","6071","-88","6","1","-16","50","-46","-7.1","186","140","11.1",".498",".501","13.5","-2.5","156","$95,438,600",2015
"Detroit Tigers","","6159","32","-22","-8","9","-2","9","1.5","219","228","22.8",".500",".502","22.5","0.6","219","$172,284,750",2015
"Houston Astros","","6073","53","1","1","30","-6","79","9.1","214","293","30.0",".505",".503","27.3","2.5","263","$93,256,200",2015
"Kansas City Royals","","6116","-22","8","-1","52","-3","35","4.3","216","252","25.4",".502",".503","20.5","5.2","199","$119,607,025",2015
"Los Angeles Angels of Anaheim","","5990","-22","8","3","21","-5","5","1.0","213","218","21.8",".500",".503","20.1","1.8","197","$130,480,000",2015
"Los Angeles Dodgers","","6090","38","-18","-3","24","53","94","8.1","187","280","26.3",".504",".503","24.4","1.8","256","$227,292,429",2015
"Miami Marlins","","5988","-63","1","0","44","51","33","1.5","182","215","19.2",".501",".502","15.1","4.3","171","$69,256,500",2015
"Milwaukee Brewers","","6024","-78","3","-4","-8","52","-35","-5.8","186","151","12.3",".498",".500","13.9","-1.3","159","$69,850,000",2015
"Minnesota Twins","","6017","-55","-8","-7","-1","-6","-77","-7.6","214","137","13.2",".495",".497","14.0","-0.7","138","$107,755,000",2015
"New York Mets","","6145","-22","-1","-4","-15","57","15","-0.4","187","202","17.9",".501",".501","20.1","-2.0","217","$97,292,098",2015
"New York Yankees","","6268","17","-3","1","-26","-6","-16","-1.0","222","206","20.7",".499",".500","24.1","-3.5","232","$214,051,957",2015
"Oakland Athletics","","6171","-26","-1","6","5","-6","-22","-1.7","219","198","19.6",".499",".500","19.7","-0.1","193","$61,628,501",2015
"Philadelphia Phillies","","6053","-68","2","1","-57","49","-72","-9.8","187","115","8.4",".497",".498","15.3","-6.7","172","$60,193,000",2015
"Pittsburgh Pirates","","6285","-25","-2","4","17","54","49","3.2","192","241","22.3",".502",".503","21.2","1.2","224","$102,892,499",2015
"San Diego Padres","","6019","-58","5","-1","0","51","-4","-2.4","186","182","15.8",".500",".501","16.5","-0.3","182","$118,441,300",2015
"Seattle Mariners","","6131","18","-12","0","-47","-7","-49","-4.7","218","169","16.5",".497",".500","22.1","-5.9","216","$130,681,400",2015
"San Francisco Giants","","6153","-3","3","1","34","56","91","7.8","188","279","26.2",".504",".504","23.2","3.4","245","$172,701,500",2015
"St. Louis Cardinals","","6139","-45","-4","6","23","56","36","1.8","187","223","20.2",".502",".502","18.4","1.9","200","$128,241,500",2015
"Tampa Bay Rays","","6071","-5","-7","1","21","-9","1","0.7","217","218","21.8",".500",".502","20.1","1.4","196","$57,821,233",2015
"Texas Rangers","","6187","-10","12","3","-16","-8","-19","-1.3","219","200","20.0",".499",".500","22.3","-2.6","216","$167,242,789",2015
"Toronto Blue Jays","","6232","105","8","-6","3","-3","108","12.1","219","327","33.4",".507",".507","33.7","-0.1","324","$114,917,400",2015
"Washington Nationals","","6117","-28","-2","-1","-16","56","9","-1.3","185","195","16.8",".500",".501","19.2","-2.2","210","$168,587,472",2015
"","0","183628","-701","0","0","154","728","179","-3.1","6059","6241","588.2",".500",".502","591.3","0.0","6084","$3,515,342,998",2015
"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary",2015
"Arizona Diamondbacks","","6260","-64","17","3","-8","55","3","-1.7","190","193","16.7",".500",".501","18.1","-1.3","201","$78,399,500",2016
"Atlanta Braves","","6192","-84","-2","-1","-16","55","-47","-6.9","188","141","11.4",".498",".500","13.6","-1.8","157","$66,660,000",2016
"Baltimore Orioles","","6089","5","-2","-3","12","-5","7","1.5","215","223","22.4",".500",".502","21.5","0.9","210","$152,714,833",2016
"Boston Red Sox","","6320","96","9","3","54","-3","160","17.2","220","380","38.7",".510",".511","33.3","5.5","326","$209,143,250",2016
"Chicago Cubs","","6335","32","2","9","62","63","167","15.2","189","356","33.5",".507",".507","27.7","5.9","294","$174,554,333",2016
"Chicago White Sox","","6131","-6","-12","4","0","-3","-17","-1.0","216","199","20.1",".499",".502","20.3","-0.1","199","$113,416,000",2016
"Cincinnati Reds","","6094","-75","-3","-3","0","55","-26","-4.6","187","161","13.5",".499",".501","14.1","-0.3","161","$76,314,061",2016
"Cleveland Indians","","6155","-25","18","-4","17","-4","3","1.0","218","220","22.2",".500",".502","20.7","1.5","203","$94,511,067",2016
"Colorado Rockies","","6236","-33","3","-1","17","57","43","2.3","188","232","20.5",".502",".503","19.5","1.4","215","$88,688,000",2016
"Detroit Tigers","","6127","40","-8","-5","-46","-3","-22","-1.6","217","195","19.6",".499",".501","24.7","-4.9","241","$199,902,000",2016
"Houston Astros","","6204","33","5","-4","55","-6","83","9.1","218","301","30.3",".505",".507","24.8","5.3","245","$87,498,000",2016
"Kansas City Royals","","6052","-80","5","-3","31","-3","-50","-4.4","216","166","16.7",".497",".498","13.8","3.2","135","$121,107,675",2016
"Los Angeles Angels","","6041","8","-5","-3","29","-5","24","2.9","215","239","23.9",".501",".504","21.2","2.8","210","$119,162,000",2016
"Los Angeles Dodgers","","6164","-27","5","0","25","50","54","3.6","189","244","22.0",".502",".503","20.0","1.9","219","$219,332,096",2016
"Miami Marlins","","6134","-18","0","-1","5","53","39","2.0","188","227","20.2",".502",".502","20.4","0.0","221","$70,976,000",2016
"Milwaukee Brewers","","6061","-70","-1","-1","-4","54","-22","-4.3","186","164","13.8",".499",".500","14.9","-0.7","168","$50,550,100",2016
"Minnesota Twins","","6245","-24","4","6","-69","-2","-86","-8.1","221","136","13.4",".495",".498","20.8","-7.2","205","$93,333,700",2016
"New York Mets","","6115","-27","-10","-4","-9","53","3","-1.7","187","190","16.4",".500",".501","18.1","-1.5","199","$154,675,032",2016
"New York Yankees","","6059","-73","7","3","-2","-6","-71","-6.8","216","146","14.3",".496",".498","14.8","-0.6","147","$192,704,050",2016
"Oakland Athletics","","6022","-59","-4","-7","-54","-6","-130","-12.8","215","85","8.2",".492",".497","14.1","-6.0","139","$43,934,067",2016
"Philadelphia Phillies","","5992","-130","-3","1","-13","51","-95","-11.8","184","90","6.0",".496",".498","8.0","-2.0","103","$66,467,500",2016
"Pittsburgh Pirates","","6261","-17","-11","2","-29","49","-7","-2.6","192","186","16.0",".500",".501","19.6","-3.9","215","$81,187,933",2016
"San Diego Padres","","6001","-102","6","5","12","53","-26","-4.6","184","158","13.2",".499",".500","12.5","1.0","147","$41,479,900",2016
"Seattle Mariners","","6227","45","-5","-1","-10","-8","22","3.0","221","243","24.5",".501",".503","25.8","-1.7","253","$133,957,100",2016
"San Francisco Giants","","6271","-22","-2","7","42","61","86","7.0","191","277","25.4",".504",".503","21.7","4.1","235","$177,021,333",2016
"St. Louis Cardinals","","6223","41","-9","1","-24","51","60","4.3","191","251","22.8",".503",".502","26.0","-3.2","275","$138,669,500",2016
"Tampa Bay Rays","","6046","-2","-6","5","-3","-4","-10","-0.2","215","205","20.7",".499",".501","21.2","-0.4","208","$46,011,991",2016
"Texas Rangers","","6089","-26","-3","3","-3","-8","-37","-3.2","217","180","18.0",".498",".500","18.6","-0.9","183","$182,632,760",2016
"Toronto Blue Jays","","6233","13","-1","-13","24","-2","21","2.8","219","240","24.1",".501",".503","21.9","2.3","216","$182,175,767",2016
"Washington Nationals","","6201","-45","5","4","9","61","34","1.4","189","223","19.6",".501",".501","19.4","0.6","214","$152,448,000",2016
"","0","184580","-694","1","0","104","754","163","-3.0","6083","6249","588.0",".500",".502","591.1","0.0","6143","$3,609,627,548",2016
"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary",2016
"Arizona Diamondbacks","","6224","-53","11","5","13","60","37","1.9","190","227","20.3",".502",".502","19.6","0.9","214","$106,042,000",2017
"Atlanta Braves","","6216","-69","5","2","-37","57","-42","-6.0","189","147","12.2",".498",".499","16.7","-4.2","184","$119,167,750",2017
"Baltimore Orioles","","6140","-1","1","-4","0","-6","-10","-0.9","218","208","20.1",".499",".501","20.5","-0.6","208","$160,429,833",2017
"Boston Red Sox","","6338","-67","6","2","48","-3","-14","-1.1","222","209","20.4",".499",".501","15.9","4.6","161","$176,229,750",2017
"Chicago Cubs","","6283","-1","-4","5","38","60","98","8.2","191","289","26.6",".504",".504","23.4","3.3","251","$177,210,667",2017
"Chicago White Sox","","6059","-22","0","-1","-15","-4","-42","-4.1","216","174","16.7",".497",".500","18.6","-1.9","188","$97,306,000",2017
"Cincinnati Reds","","6213","-30","-13","0","55","59","71","5.3","189","260","23.5",".503",".504","18.6","5.3","205","$78,193,786",2017
"Cleveland Indians","","6234","25","10","3","28","-5","61","6.3","221","282","27.6",".503",".505","25.2","2.3","254","$113,888,067",2017
"Colorado Rockies","","6201","-88","3","-5","19","60","-11","-3.0","187","176","15.1",".499",".502","13.9","1.6","157","$101,113,000",2017
"Detroit Tigers","","6150","-14","-5","-1","-88","-6","-115","-11.4","219","104","9.7",".493",".495","18.9","-9.4","192","$118,375,600",2017
"Houston Astros","","6271","190","-6","-5","11","-6","184","18.4","221","405","39.7",".511",".510","39.1","0.4","394","$155,656,400",2017
"Kansas City Royals","","6027","-62","6","-4","-43","-3","-106","-10.6","215","108","10.2",".494",".498","14.9","-4.7","152","$127,555,817",2017
"Los Angeles Angels","","6073","-60","6","-3","55","-3","-5","-0.6","216","210","20.3",".500",".501","15.1","5.4","156","$180,048,000",2017
"Los Angeles Dodgers","","6191","26","0","-2","33","59","115","9.9","190","306","28.3",".505",".505","25.6","2.9","273","$176,619,596",2017
"Miami Marlins","","6248","49","1","9","23","58","140","12.3","189","329","30.5",".506",".506","28.9","2.0","306","$111,591,100",2017
"Milwaukee Brewers","","6135","-50","2","1","-5","56","4","-1.2","189","193","17.1",".500",".501","18.2","-0.9","198","$65,314,300",2017
"Minnesota Twins","","6261","29","8","5","36","-5","73","7.7","221","295","29.0",".504",".504","25.8","3.2","259","$100,087,500",2017
"New York Mets","","6169","6","-7","0","-45","56","10","-0.6","190","200","17.8",".500",".501","22.9","-4.8","245","$156,615,252",2017
"New York Yankees","","6354","61","2","1","14","-3","76","7.7","225","300","29.4",".504",".506","28.4","1.1","286","$182,424,700",2017
"Oakland Athletics","","6126","34","-2","-10","-38","-3","-20","-1.7","218","198","19.3",".499",".500","23.6","-4.1","236","$51,020,000",2017
"Philadelphia Phillies","","6133","-75","-6","1","-3","53","-30","-4.8","188","158","13.4",".499",".499","14.4","-0.9","161","$86,276,000",2017
"Pittsburgh Pirates","","6136","-103","-14","5","-2","55","-59","-7.7","189","129","10.5",".497",".499","11.4","-0.7","131","$97,903,333",2017
"San Diego Padres","","5954","-124","-3","3","2","54","-68","-8.5","184","116","9.2",".497",".498","9.6","-0.3","114","$35,159,300",2017
"Seattle Mariners","","6166","23","-4","1","25","-3","41","4.3","218","260","25.4",".502",".503","23.3","2.1","235","$165,044,700",2017
"San Francisco Giants","","6137","-154","3","-3","-34","54","-134","-15.3","189","56","3.0",".494",".498","7.0","-4.0","89","$174,899,833",2017
"St. Louis Cardinals","","6219","-4","-3","-4","3","57","49","3.2","191","240","21.7",".502",".502","22.0","-0.1","237","$129,117,933",2017
"Tampa Bay Rays","","6147","-18","1","7","16","-4","1","0.4","219","220","21.5",".500",".502","20.3","1.2","204","$75,927,733",2017
"Texas Rangers","","6122","-75","8","2","9","-4","-60","-5.9","218","158","15.1",".496",".498","14.7","0.4","149","$153,841,914",2017
"Toronto Blue Jays","","6154","-71","-6","-8","3","-3","-85","-8.5","219","134","12.6",".495",".497","12.7","0.0","131","$157,271,367",2017
"Washington Nationals","","6214","-16","2","-1","4","61","49","3.1","188","238","21.3",".502",".503","21.6","-0.1","234","$175,487,301",2017
"","0","185295","-714","1","0","125","799","209","-3.3","6118","6328","587.4",".500",".501","590.7","-0.1","6201","$3,805,818,532",2017
"Tm","G","PA","Rbat","Rbaser","Rdp","Rfield","Rpos","RAA","WAA","Rrep","RAR","WAR","waaWL%","162WL%","oWAR","dWAR","oRAR","Salary",2017
"Arizona Diamondbacks","","6157","-107","10","3","73","60","40","1.0","188","228","19.5",".502",".503","13.5","6.3","155","$121,250,600",2018
"Atlanta Braves","","6251","-16","4","1","46","60","96","6.9","189","285","25.6",".504",".505","22.6","3.3","239","$83,671,667",2018
"Baltimore Orioles","","6034","-87","2","-7","-39","-6","-137","-12.0","215","78","8.4",".492",".495","11.3","-3.0","116","$140,906,833",2018
"Boston Red Sox","","6302","97","5","-4","-11","-3","84","10.4","222","306","31.5",".505",".506","31.5","0.2","317","$209,780,000",2018
"Chicago Cubs","","6369","-29","2","8","95","57","132","10.9","195","328","30.0",".506",".505","21.7","8.3","232","$202,373,881",2018
"Chicago White Sox","","6071","-54","-3","0","-28","-5","-90","-7.1","216","126","13.4",".494",".497","15.2","-1.8","154","$75,092,000",2018
"Cincinnati Reds","","6240","-47","-16","-1","-7","58","-13","-4.7","190","177","14.1",".499",".501","16.7","-2.7","184","$94,042,500",2018
"Cleveland Indians","","6300","47","14","2","-15","-5","43","6.5","220","263","27.3",".502",".504","27.7","-0.5","278","$135,791,733",2018
"Colorado Rockies","","6178","-77","3","-1","10","59","-6","-4.0","186","180","14.4",".500",".501","15.2","-0.6","170","$135,498,500",2018
"Detroit Tigers","","6029","-122","-2","-1","-46","-7","-178","-16.3","215","36","4.2",".489",".494","7.8","-3.8","82","$111,531,000",2018
"Houston Astros","","6146","49","-4","-12","38","-6","66","8.8","217","282","29.4",".504",".505","24.4","4.9","244","$170,224,800",2018
"Kansas City Royals","","6063","-77","-5","-6","-39","-1","-128","-11.0","215","87","9.5",".492",".496","12.3","-2.6","126","$92,500,167",2018
"Los Angeles Angels","","6108","-11","6","0","10","-4","1","1.9","217","218","22.4",".500",".503","20.3","2.3","208","$166,198,166",2018
"Los Angeles Dodgers","","6358","76","17","-1","32","56","180","15.7","195","375","35.0",".507",".506","33.5","1.4","343","$156,203,429",2018
"Miami Marlins","","6083","-102","-9","6","-4","46","-63","-9.9","188","126","8.6",".497",".499","11.0","-2.6","129","$85,315,143",2018
"Milwaukee Brewers","","6210","-2","4","2","89","51","145","12.0","190","335","30.7",".506",".506","23.1","7.5","246","$102,430,700",2018
"Minnesota Twins","","6154","-40","0","4","-8","-4","-48","-2.8","219","170","18.0",".497",".499","17.7","0.3","178","$108,275,000",2018
"New York Mets","","6177","-17","-1","0","-24","59","18","-1.4","190","208","17.4",".501",".501","21.9","-4.2","232","$160,289,748",2018
"New York Yankees","","6271","85","8","5","8","-2","105","12.9","221","326","34.0",".506",".506","32.0","2.3","318","$139,500,175",2018
"Oakland Athletics","","6255","78","-1","-9","3","-4","67","9.1","222","288","30.2",".504",".505","28.7","1.5","286","$68,788,333",2018
